1,0 1.674.504.608 6.000 279.084,0 278.752,0 276.224 648.512 9.028,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.293.536 6.000 278.715,0 278.464,0 276.288 673.728 8.477,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.232.256 6.000 279.205,0 278.528,0 276.448 653.664 14.984,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.646.944 6.000 278.774,0 278.496,0 276.416 650.912 8.363,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.902.560 6.000 278.983,0 278.592,0 276.512 654.080 11.030,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.886.656 6.000 278.814,0 278.560,0 276.352 647.808 8.397,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.390.688 6.000 279.065,0 278.880,0 276.928 641.728 6.912,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.116.448 6.000 279.019,0 278.688,0 276.672 1.039.552 11.993,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.739.296 6.000 279.289,0 278.656,0 276.384 663.904 14.229,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.283.968 6.000 275.214,0 274.880,0 272.096 642.208 9.795,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.006.880 6.000 279.001,0 278.752,0 276.512 639.328 8.183,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.570.688 6.000 278.761,0 278.560,0 276.384 641.184 6.969,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.279.936 6.000 279.046,0 278.656,0 276.544 656.192 10.847,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.559.456 6.000 278.926,0 278.528,0 276.608 643.808 10.682,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.286.592 6.000 279.047,0 278.656,0 276.672 644.384 10.628,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.650.619.712 6.000 275.103,0 274.656,0 272.160 639.424 11.855,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.297.280 6.000 279.382,0 279.136,0 276.672 660.032 8.316,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.700.256 6.000 275.783,0 275.296,0 272.480 1.347.136 16.158,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.003.680 6.000 275.500,0 275.040,0 272.608 1.739.200 20.640,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.466.208 6.000 279.244,0 278.912,0 276.544 648.096 9.611,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.128.288 6.000 278.854,0 278.592,0 276.544 646.112 8.380,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.092.896 6.000 279.015,0 278.720,0 276.672 646.688 9.483,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.330.880 6.000 275.555,0 275.232,0 272.352 648.288 9.696,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.627.008 6.000 278.937,0 278.624,0 276.480 654.304 9.633,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.348.832 6.000 279.391,0 278.848,0 276.672 1.942.400 23.039,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.670.486.976 6.000 278.414,0 278.240,0 276.224 648.384 6.837,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.340.192 6.000 279.056,0 278.560,0 276.224 646.368 12.749,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.284.032 6.000 275.714,0 275.456,0 272.832 641.056 8.313,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.625.088 6.000 279.270,0 278.784,0 276.736 1.761.024 20.830,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.997.472 6.000 279.332,0 278.848,0 276.608 651.968 12.539,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.252.544 6.000 279.208,0 278.656,0 276.384 644.224 13.307,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.790.368 6.000 279.465,0 278.176,0 276.096 2.384.000 33.197,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.966.528 6.000 275.661,0 275.264,0 272.544 641.184 10.737,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.644.864 6.000 279.107,0 278.720,0 276.864 646.496 9.737,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.868.896 6.000 275.311,0 274.848,0 272.096 641.472 11.659,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.670.280.000 6.000 278.380,0 278.016,0 275.968 644.192 10.607,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.162.912 6.000 279.027,0 278.720,0 276.640 640.896 9.391,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.573.024 6.000 278.762,0 278.336,0 276.320 653.184 11.559,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.190.624 6.000 275.531,0 275.168,0 272.352 654.240 9.736,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.879.584 6.000 278.979,0 278.688,0 276.480 652.960 9.499,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.056.192 6.000 279.009,0 278.720,0 276.640 646.848 7.493,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.288.832 6.000 278.548,0 278.272,0 276.032 640.640 9.574,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.272.096 6.000 279.212,0 278.848,0 276.544 650.720 9.743,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.966.304 6.000 279.327,0 278.944,0 276.864 660.064 9.848,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.641.664 6.000 279.106,0 278.656,0 276.448 641.536 11.572,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.069.728 6.000 278.845,0 278.368,0 276.320 655.392 12.527,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.670.772.288 6.000 278.462,0 278.208,0 276.256 652.064 8.356,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.884.576 6.000 278.647,0 278.304,0 276.320 646.720 9.632,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.709.184 6.000 279.118,0 278.784,0 276.288 654.240 9.707,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.325.248 6.000 279.387,0 278.880,0 276.960 644.768 10.075,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.758.240 6.000 279.293,0 278.624,0 276.512 1.352.096 18.693,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.954.432 6.000 279.159,0 278.752,0 276.608 673.568 10.886,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.426.304 6.000 279.237,0 278.912,0 276.704 641.344 9.403,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.923.264 6.000 278.987,0 278.400,0 276.384 1.780.032 21.627,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.028.960 6.000 278.838,0 278.528,0 276.384 642.048 8.758,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.016.256 6.000 278.669,0 278.432,0 276.160 691.552 8.691,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.362.944 6.000 279.393,0 278.912,0 276.960 1.302.880 16.303,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.828.896 6.000 278.804,0 278.560,0 276.256 662.688 8.634,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.194.080 6.000 278.865,0 278.592,0 276.288 655.456 8.536,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.825.536 6.000 279.304,0 278.752,0 276.576 645.120 13.400,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.464.672 6.000 278.577,0 278.304,0 276.032 645.568 8.357,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.229.760 6.000 279.038,0 278.560,0 274.976 1.643.168 19.433,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.530.240 6.000 278.588,0 278.400,0 276.352 646.304 6.957,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.652.749.344 6.000 275.458,0 275.168,0 272.736 648.896 9.689,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.060.064 6.000 275.676,0 275.008,0 272.480 2.689.664 32.047,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.565.408 6.000 278.594,0 278.304,0 276.064 645.632 9.461,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.533.952 6.000 278.589,0 278.368,0 276.064 641.152 6.961,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.747.744 6.000 278.791,0 278.432,0 276.000 654.048 10.637,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.541.408 6.000 279.256,0 278.928,0 276.704 654.880 9.619,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.977.760 6.000 278.663,0 278.400,0 276.256 642.272 8.308,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.361.888 6.000 279.227,0 278.976,0 276.736 674.368 8.583,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.590.464 6.000 279.098,0 278.752,0 276.704 658.304 9.772,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.670.113.440 6.000 278.352,0 278.240,0 272.256 639.328 10.689,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.542.048 6.000 275.757,0 274.976,0 272.384 2.745.056 33.313,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.033.792 6.000 278.672,0 278.368,0 276.448 653.760 9.524,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.468.032 6.000 278.744,0 278.464,0 276.416 647.104 8.430,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.430.816 6.000 275.571,0 274.784,0 271.936 646.656 8.953,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.662.368 6.000 279.110,0 278.848,0 276.704 640.832 8.379,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.144.288 6.000 275.690,0 275.168,0 272.256 650.080 12.663,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.226.688 6.000 279.037,0 278.592,0 276.512 1.423.360 16.969,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.679.215.616 6.000 279.869,0 278.784,0 276.480 652.768 18.832,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.659.008 6.000 278.776,0 278.528,0 276.480 639.808 8.242,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.656.459.968 6.000 276.076,0 275.136,0 272.512 2.470.112 31.754,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.969.440 6.000 278.661,0 278.304,0 276.224 642.784 9.958,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.398.976 6.000 279.066,0 278.560,0 276.320 651.712 12.563,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.679.526.912 6.000 279.921,0 279.072,0 276.896 1.781.952 23.684,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.804.896 6.000 279.300,0 278.528,0 276.320 2.775.488 33.922,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.313.024 6.000 275.718,0 275.360,0 272.512 643.104 8.721,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.652.156.352 6.000 275.359,0 275.104,0 272.096 650.080 8.482,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.796.000 6.000 279.632,0 278.816,0 276.672 643.936 16.281,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.678.505.248 6.000 279.750,0 279.488,0 277.376 651.680 8.395,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.840.768 6.000 278.973,0 278.528,0 274.080 686.400 11.967,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.269.504 6.000 279.378,0 279.104,0 276.800 644.480 8.438,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.205.056 6.000 279.200,0 278.816,0 276.480 642.784 9.766,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.515.840 6.000 278.919,0 278.624,0 276.544 643.072 9.555,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.657.703.552 6.000 276.283,0 275.488,0 272.000 644.864 10.014,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.182.816 6.000 278.697,0 278.272,0 276.192 643.872 11.609,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.712.640 6.000 279.452,0 278.944,0 276.736 1.957.760 23.171,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.105.248 6.000 275.684,0 275.296,0 272.608 642.912 11.648,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.218.624 6.000 279.203,0 278.944,0 275.008 651.328 8.372,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.624.704 6.000 275.770,0 275.264,0 272.416 661.184 12.837,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.574.464 6.000 279.095,0 278.752,0 276.416 646.688 10.635,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.761.312 6.000 279.293,0 278.848,0 276.800 659.392 11.785,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.637.824 6.000 278.939,0 278.656,0 276.512 641.184 8.354,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.707.776 6.000 279.284,0 278.784,0 276.768 652.800 12.618,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.124.736 6.000 278.854,0 278.528,0 276.480 646.400 9.605,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.889.280 6.000 278.648,0 278.272,0 276.256 685.184 10.884,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.655.908.224 6.000 275.984,0 274.784,0 272.544 2.772.384 34.064,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.230.688 6.000 279.038,0 278.720,0 276.224 645.120 9.431,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.516.128 6.000 279.586,0 279.232,0 277.184 657.440 9.743,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.287.808 6.000 279.048,0 278.752,0 276.480 642.976 9.510,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.650.279.424 6.000 275.046,0 274.816,0 272.192 644.608 8.487,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.171.008 6.000 278.861,0 278.656,0 276.416 663.424 7.475,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.359.968 6.000 275.226,0 274.944,0 272.032 650.400 9.671,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.894.592 6.000 278.649,0 278.272,0 275.968 655.840 9.793,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.655.086.912 6.000 275.847,0 275.200,0 272.672 2.748.160 33.024,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.062.176 6.000 278.843,0 278.528,0 276.032 654.912 9.650,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
