     38,0       99.328.768        127     782.116,0     532.576,0       6.752    5.129.792     844.758,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.955.200        127      86.261,0      79.008,0      52.832      151.520      27.880,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.100.448        128      47.659,0      47.584,0      47.072       53.312         740,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      130.777.024        127   1.029.740,0     779.136,0       9.408    3.192.288      932.790,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.775.072        127     116.339,0     109.536,0      70.976      205.472       38.245,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.183.328        128      63.932,0      63.952,0      63.200       71.872          862,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0       71.179.840        127     560.471,0     417.888,0      5.472   1.688.192     492.969,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.444.608        127      58.619,0      54.112,0     35.776     105.216      18.428,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.128.032        128      32.250,0      32.160,0     31.872      36.896         586,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       75.004.768        127     590.588,0     423.424,0      5.440   3.923.904     606.395,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0        7.447.936        127      58.645,0      53.824,0     36.384     105.376      18.605,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.130.848        128      32.272,0      32.144,0     31.840      36.384         563,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      130.666.496        127   1.028.870,0     669.952,0       9.568    3.196.576      938.226,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.778.688        127     116.367,0     105.760,0      70.720      206.336       38.373,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.168.288        128      63.814,0      63.696,0      63.136       72.000          855,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0       97.141.216        127     764.891,0     557.952,0      6.784    3.501.920     707.738,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.952.224        127      86.238,0      79.040,0     52.960      151.456      27.727,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      3,0        7.478.336        128      58.424,0      47.616,0     47.136    1.429.312     122.126,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       75.211.328        127     592.215,0     417.952,0      5.312   3.099.072     587.731,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0        7.458.272        127      58.726,0      54.240,0     36.064     105.408      18.629,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.124.288        128      32.221,0      32.032,0     31.840      37.216         677,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      109.082.560        127     858.917,0     513.472,0      6.336    8.044.416   1.198.466,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.895.488        127      85.791,0      78.464,0     52.352      151.808      27.949,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.067.968        128      47.406,0      47.072,0     46.752       53.568       1.033,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      129.322.112        127   1.018.284,0     728.544,0       7.328    3.172.352      926.216,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.689.664        127     115.666,0     107.008,0      45.536      206.688       38.919,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.036.704        128      62.786,0      63.136,0      40.160       72.480        3.601,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      134.024.736        127   1.055.312,0     733.120,0       9.120    5.418.432    1.001.317,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.790.848        127     116.463,0     107.200,0      69.792      205.888       38.225,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.116.032        128      63.406,0      63.152,0      62.304       72.800        1.235,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0       70.524.864        127     555.313,0     421.504,0      5.472   1.705.504     488.617,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.440.160        127      58.583,0      54.176,0     36.416     104.864      18.480,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.114.304        128      32.143,0      32.032,0     31.840      36.704         464,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0      135.021.440        127   1.063.160,0     726.240,0       9.440    4.013.920      973.152,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.763.616        127     116.248,0     105.856,0      70.816      206.400       38.252,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.184.512        128      63.941,0      63.776,0      63.136       72.800        1.086,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      131.556.768        127   1.035.880,0     786.336,0       9.728    3.188.352      939.523,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.788.704        127     116.446,0     109.376,0      70.560      206.816       38.354,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.181.024        128      63.914,0      63.808,0      63.168       71.904          820,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       95.826.816        127     754.541,0     563.424,0       6.336    2.340.160     671.065,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0        7.881.696        127      62.060,0      59.040,0      37.024      113.568      19.730,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        4.201.056        128      32.820,0      32.752,0      32.224       39.072         625,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       79.639.584        127     627.083,0     468.448,0      6.016   1.917.056     553.340,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        8.935.584        127      70.358,0      65.216,0     43.232     125.632      22.335,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.950.624        128      38.676,0      38.688,0     38.112      43.776         559,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0       79.773.536        127     628.138,0     468.896,0      6.016   1.895.072     553.239,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        8.950.336        127      70.475,0      65.344,0     43.168     125.152      22.304,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.971.872        128      38.842,0      38.832,0     38.144      44.384         548,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0       63.719.904        127     501.731,0     369.920,0      5.056   1.514.592     442.635,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.438.592        127      58.571,0      53.920,0     36.160     103.296      18.688,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.127.776        128      32.248,0      32.224,0     31.936      36.288         386,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      132.924.192        127   1.046.647,0     775.008,0      10.176    3.181.184      923.112,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.926.976        127     117.535,0     108.800,0      71.936      205.824       37.432,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.196.768        128      64.037,0      63.904,0      63.520       72.160          801,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       96.303.808        127     758.297,0     558.048,0       6.816    2.332.704     676.823,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0        7.883.200        127      62.072,0      57.824,0      37.120      116.352      19.879,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        4.228.448        128      33.034,0      33.024,0      32.256       39.424         650,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      131.434.624        127   1.034.918,0     795.040,0       9.760    3.123.008      939.785,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.798.048        127     116.520,0     107.104,0      70.400      206.496       38.492,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.185.440        128      63.948,0      63.680,0      63.168       83.776        1.975,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      129.899.360        127   1.022.829,0     676.064,0       9.696    3.123.904      934.173,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.760.640        127     116.225,0     105.568,0      70.560      205.536       38.277,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.172.640        128      63.848,0      63.728,0      63.168       72.800          896,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      131.482.112        127   1.035.292,0     737.984,0       9.184    3.135.200      932.172,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.802.048        127     116.551,0     107.840,0      69.984      207.296       38.297,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.121.056        128      63.445,0      63.376,0      62.272       72.032        1.003,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      132.831.584        127   1.045.918,0     785.984,0       9.984    3.154.336      920.361,0  CUDA_KERNEL  lud_internal(float *, int, int) 
