4,0 9.202.656 127 72.461,0 67.968,0 44.960 130.304 22.906,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.435.200 127 58.544,0 54.336,0 36.192 105.056 18.496,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.842.944 127 69.629,0 64.384,0 42.528 125.728 22.272,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.770.944 127 116.306,0 105.696,0 69.312 206.240 38.420,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.943.584 127 70.421,0 65.056,0 43.264 124.992 22.317,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.855.328 127 69.727,0 64.352,0 43.200 123.648 22.048,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.789.856 127 116.455,0 106.848,0 70.752 206.976 38.197,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.831.392 127 116.782,0 108.672,0 70.368 206.176 38.164,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.440.128 127 58.583,0 54.400,0 36.224 104.672 18.404,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.778.624 127 116.367,0 105.792,0 70.848 208.000 38.478,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.984.864 127 86.495,0 79.872,0 53.632 151.264 27.518,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 9.209.152 127 72.513,0 67.648,0 44.992 129.984 22.920,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.820.000 127 116.692,0 107.360,0 70.432 206.144 38.117,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.804.032 127 116.567,0 107.296,0 70.464 206.176 38.154,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.911.232 127 117.411,0 108.672,0 72.128 206.624 37.537,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.782.784 127 116.399,0 107.584,0 70.656 205.888 38.079,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.835.424 127 116.814,0 108.672,0 70.816 207.648 38.163,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.875.840 127 117.132,0 108.640,0 70.592 206.112 37.672,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.440.672 127 58.588,0 54.240,0 35.968 103.360 18.683,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.439.904 127 58.581,0 54.304,0 36.000 102.784 18.618,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.808.256 127 116.600,0 109.088,0 70.656 207.680 37.885,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.746.016 127 116.110,0 105.696,0 70.560 205.440 38.250,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.777.472 127 116.358,0 107.136,0 70.624 206.240 38.037,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.434.976 127 58.543,0 54.112,0 35.936 102.880 18.670,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.938.432 127 109.751,0 107.200,0 45.760 206.432 46.195,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.432.544 127 58.524,0 54.208,0 35.840 105.472 18.494,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.765.056 127 116.260,0 106.720,0 69.888 207.616 38.167,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.442.400 127 58.601,0 54.432,0 36.384 104.896 18.463,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.930.432 127 70.318,0 65.312,0 43.648 125.504 22.324,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 9.185.760 127 72.328,0 64.096,0 42.656 141.184 26.295,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.433.952 127 58.535,0 54.176,0 36.000 104.832 18.430,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.426.176 127 58.473,0 54.368,0 35.808 105.088 18.500,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.777.408 127 116.357,0 105.984,0 70.976 205.952 38.347,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.783.808 127 116.407,0 107.968,0 70.464 206.432 38.334,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.429.824 127 58.502,0 53.856,0 36.320 102.976 18.609,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.991.360 127 86.546,0 80.000,0 53.216 151.264 27.478,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.797.984 127 116.519,0 108.512,0 70.592 206.176 38.254,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.822.336 127 69.467,0 63.904,0 42.944 123.552 22.248,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.849.920 127 69.684,0 64.512,0 43.008 123.488 22.093,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.772.352 127 116.317,0 105.760,0 70.784 205.376 38.369,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.845.888 127 69.652,0 64.448,0 42.752 123.584 22.086,0 CUDA_KERNEL lud_perimeter(float *, int, int)
