38,0 92.509.504 127 728.421,0 544.864,0 7.488 2.219.648 644.518,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 81.642.528 127 642.854,0 480.128,0 6.176 1.943.296 566.532,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 71.428.896 127 562.432,0 421.440,0 5.376 1.700.640 493.970,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 79.796.544 127 628.319,0 478.240,0 6.304 1.922.208 555.260,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.126.144 127 1.032.489,0 679.808,0 7.808 3.230.144 946.835,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 80.002.944 127 629.944,0 473.312,0 6.048 1.907.456 555.393,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 79.189.024 127 623.535,0 469.984,0 5.984 1.896.992 548.521,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.746.304 127 1.037.372,0 745.056,0 9.376 3.175.520 940.495,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 133.932.064 127 1.054.583,0 802.784,0 9.376 3.219.744 939.010,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 71.394.592 127 562.162,0 426.208,0 5.344 1.708.864 493.623,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.449.824 127 1.035.038,0 676.032,0 9.600 3.170.752 944.193,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 92.608.448 127 729.200,0 545.536,0 7.264 2.203.040 644.475,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 82.241.696 127 647.572,0 495.872,0 6.848 1.941.088 569.059,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 132.210.240 127 1.041.025,0 744.192,0 9.536 3.171.648 930.679,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 132.177.184 127 1.040.765,0 743.488,0 9.408 3.176.352 937.374,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.341.280 127 1.049.931,0 799.392,0 11.008 3.145.664 925.685,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.759.616 127 1.029.603,0 737.600,0 9.504 3.191.296 931.192,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 133.068.800 127 1.047.785,0 796.416,0 9.600 3.222.112 934.001,0 CUDA_KERNEL lud_internal(float *, int, int)
35,0 133.884.896 127 1.054.211,0 799.008,0 9.536 3.190.880 929.755,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 64.081.376 127 504.577,0 381.024,0 5.120 1.521.024 445.299,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 63.953.856 127 503.573,0 376.800,0 5.088 1.520.416 444.447,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.601.920 127 1.051.983,0 800.224,0 8.544 3.191.872 938.070,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.732.640 127 1.029.390,0 686.464,0 9.696 3.146.112 940.726,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.139.616 127 1.040.469,0 753.824,0 9.376 3.178.336 938.324,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 64.125.952 127 504.928,0 380.672,0 5.024 1.521.376 445.088,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.625.632 127 1.028.548,0 742.240,0 7.136 3.103.776 938.227,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.503.904 127 563.022,0 428.800,0 5.344 1.707.392 494.121,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.794.272 127 1.037.750,0 733.600,0 9.440 3.174.880 938.820,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.441.568 127 562.532,0 426.976,0 5.440 1.689.952 493.925,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 80.339.136 127 632.591,0 479.904,0 6.656 1.920.768 556.878,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 83.043.584 127 653.886,0 466.624,0 5.760 2.088.864 600.908,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.303.936 127 561.448,0 419.712,0 5.312 1.727.968 494.202,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.149.536 127 560.232,0 422.944,0 5.216 1.694.560 492.212,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.845.888 127 1.038.156,0 689.696,0 9.536 3.208.672 945.644,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.836.000 127 1.045.952,0 795.488,0 9.952 3.235.712 947.824,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 63.848.800 127 502.746,0 373.824,0 4.928 1.525.216 444.156,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 93.008.000 127 732.346,0 553.120,0 7.264 2.217.280 647.505,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.325.408 127 1.041.932,0 792.704,0 9.760 3.190.944 943.635,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 79.519.168 127 626.135,0 459.712,0 5.760 1.894.016 555.439,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 79.808.640 127 628.414,0 470.592,0 6.080 1.887.680 552.544,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.285.888 127 1.033.747,0 677.056,0 9.888 3.197.024 945.131,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 79.512.032 127 626.079,0 471.776,0 5.920 1.893.504 551.113,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 80.156.928 127 631.156,0 473.856,0 5.952 1.926.496 555.481,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 64.031.872 127 504.188,0 379.424,0 4.928 1.532.736 444.898,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 136.707.776 127 1.076.439,0 731.168,0 9.472 6.341.504 1.069.378,0 CUDA_KERNEL lud_internal(float *, int, int)
