2,0 4.112.768 128 32.131,0 32.000,0 31.840 36.288 432,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.909.792 128 38.357,0 38.272,0 37.888 43.712 528,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.168.576 128 63.817,0 63.616,0 62.304 72.224 897,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.941.376 128 38.604,0 38.576,0 38.112 43.584 506,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.911.648 128 38.372,0 38.272,0 38.112 43.616 505,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.105.568 128 63.324,0 63.184,0 62.272 71.808 1.000,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.149.632 128 63.669,0 63.648,0 62.336 71.584 1.124,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.122.432 128 32.206,0 32.176,0 31.808 36.544 463,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.168.288 128 63.814,0 63.664,0 63.168 71.360 815,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.123.904 128 47.843,0 47.776,0 47.520 53.184 511,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 5.070.752 128 39.615,0 39.600,0 38.720 45.024 621,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.125.664 128 63.481,0 63.504,0 62.336 72.480 1.182,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.115.040 128 63.398,0 63.184,0 62.272 72.288 1.134,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.213.088 128 64.164,0 63.904,0 63.520 72.416 867,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.111.040 128 63.367,0 63.216,0 62.272 72.384 1.091,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.133.760 128 63.545,0 63.584,0 62.368 71.712 1.072,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.197.600 128 64.043,0 64.224,0 62.336 71.712 935,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.123.456 128 32.214,0 32.176,0 31.776 36.064 386,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.123.904 128 32.218,0 32.160,0 31.872 35.712 348,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.119.104 128 63.430,0 63.552,0 62.304 72.928 1.055,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.164.576 128 63.785,0 63.664,0 63.136 71.712 808,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.111.392 128 63.370,0 63.168,0 62.336 71.680 982,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.127.936 128 32.249,0 32.288,0 31.776 35.744 393,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.337.952 128 57.327,0 62.944,0 39.808 72.032 10.262,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.136.800 128 32.318,0 32.288,0 31.840 36.384 396,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.097.056 128 63.258,0 63.056,0 62.272 71.712 1.012,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.112.928 128 32.132,0 32.000,0 31.840 37.120 496,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.959.008 128 38.742,0 38.752,0 38.144 43.936 518,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 5.023.232 128 39.244,0 38.432,0 37.856 49.856 1.855,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.141.600 128 32.356,0 32.368,0 31.840 36.896 447,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.126.912 128 32.241,0 32.288,0 31.840 36.224 429,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.182.752 128 63.927,0 63.696,0 63.168 71.360 833,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.172.512 128 63.847,0 63.712,0 63.136 71.968 824,0 CUDA_KERNEL lud_diagonal(float *, int, int)
