1,0 166.903.776 2.000 83.451,0 81.696,0 80.672 214.432 11.378,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.746.944 2.000 83.373,0 81.664,0 80.512 211.744 11.178,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.881.056 2.000 82.940,0 81.280,0 80.352 211.456 10.906,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.065.088 2.000 84.032,0 81.600,0 80.512 1.926.400 42.369,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 164.809.184 2.000 82.404,0 81.088,0 80.096 210.592 8.531,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.062.112 2.000 83.031,0 81.280,0 80.416 210.240 11.045,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 170.292.480 2.000 85.146,0 80.928,0 79.840 1.447.264 35.180,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 164.894.304 2.000 82.447,0 80.960,0 80.128 209.504 8.530,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 170.803.264 2.000 85.401,0 81.568,0 80.672 2.096.576 47.645,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.486.880 2.000 82.743,0 81.248,0 80.320 211.104 9.621,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.736.736 2.000 83.868,0 81.184,0 80.096 1.891.968 41.974,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.083.264 2.000 83.041,0 81.728,0 80.736 149.856 6.450,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.720.256 2.000 83.360,0 81.440,0 80.288 209.312 11.005,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.499.680 2.000 82.749,0 81.312,0 80.384 212.960 9.801,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 170.769.344 2.000 85.384,0 81.376,0 80.512 212.832 18.829,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.040.704 2.000 83.020,0 81.744,0 80.736 212.352 8.645,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.846.848 2.000 83.423,0 81.312,0 80.320 209.312 13.077,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.421.920 2.000 83.711,0 81.696,0 80.576 211.456 11.527,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.149.216 2.000 84.074,0 81.280,0 80.384 208.480 14.306,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.504.128 2.000 84.252,0 82.208,0 81.152 1.104.640 24.879,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.770.240 2.000 82.885,0 81.088,0 80.096 211.136 11.439,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.581.344 2.000 82.790,0 81.312,0 80.320 210.368 9.160,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.635.072 2.000 82.817,0 81.312,0 80.384 209.536 8.741,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.119.840 2.000 84.059,0 81.568,0 80.480 211.104 11.984,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.969.152 2.000 84.484,0 81.504,0 80.512 212.032 14.701,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.904.160 2.000 83.952,0 81.824,0 80.736 212.992 12.559,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.397.696 2.000 83.698,0 81.632,0 80.672 1.063.136 24.370,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.781.536 2.000 84.390,0 81.376,0 80.320 1.905.056 49.101,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 169.767.904 2.000 84.884,0 81.248,0 80.256 210.368 17.803,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.808.192 2.000 83.404,0 81.568,0 80.608 211.968 9.384,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.508.448 2.000 83.754,0 81.376,0 80.448 211.616 13.518,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 170.724.320 2.000 85.362,0 81.600,0 80.544 210.496 18.100,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.863.872 2.000 82.931,0 81.248,0 80.352 209.728 10.951,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.338.144 2.000 83.169,0 81.440,0 80.416 212.704 11.186,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.847.200 2.000 83.423,0 81.472,0 80.576 897.088 20.313,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.879.456 2.000 83.439,0 81.664,0 80.704 211.040 11.274,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.487.328 2.000 83.743,0 81.536,0 80.544 1.489.632 32.994,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.681.312 2.000 83.340,0 81.056,0 80.032 209.696 13.571,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.053.952 2.000 83.027,0 81.088,0 80.192 210.528 12.268,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.130.816 2.000 82.565,0 81.152,0 80.224 209.184 8.528,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.806.752 2.000 84.403,0 81.760,0 80.800 1.858.656 41.137,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.662.816 2.000 83.831,0 81.312,0 80.320 211.424 12.117,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.413.824 2.000 83.206,0 81.472,0 80.352 210.592 11.133,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
