0,0 333.952 3 111.317,0 112.480,0 107.680 113.792 3.217,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.216 3 111.072,0 110.752,0 110.496 111.968 786,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 339.776 3 113.258,0 113.664,0 109.856 116.256 3.219,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 192.480 3 64.160,0 64.416,0 63.296 64.768 768,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 342.304 3 114.101,0 113.856,0 109.216 119.232 5.012,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 343.488 3 114.496,0 112.096,0 110.336 121.056 5.748,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 332.704 3 110.901,0 111.168,0 110.208 111.328 605,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 329.088 3 109.696,0 109.408,0 108.704 110.976 1.163,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 328.832 3 109.610,0 110.208,0 108.032 110.592 1.380,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 330.240 3 110.080,0 109.696,0 109.216 111.328 1.107,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.264 3 111.754,0 111.520,0 109.312 114.432 2.568,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.744 3 110.581,0 109.856,0 109.344 112.544 1.718,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.112 3 112.704,0 112.320,0 110.880 114.912 2.043,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.280 3 111.093,0 110.880,0 108.576 113.824 2.630,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.984 3 111.328,0 110.432,0 107.968 115.584 3.886,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 346.592 3 115.530,0 112.448,0 111.872 122.272 5.845,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.592 3 112.864,0 112.736,0 111.776 114.080 1.157,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.144 3 112.714,0 112.800,0 110.432 114.912 2.241,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.048 3 112.682,0 110.400,0 109.120 118.528 5.102,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 343.040 3 114.346,0 111.968,0 110.432 120.640 5.504,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 346.848 3 115.616,0 112.512,0 111.552 122.784 6.226,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 337.280 3 112.426,0 109.632,0 109.344 118.304 5.092,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 346.752 3 115.584,0 112.832,0 112.608 121.312 4.961,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.952 3 115.317,0 112.608,0 111.136 122.208 6.012,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
