36,0 3.585.718.976 6.000 597.619,0 583.776,0 579.072 2.479.488 86.482,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.602.796.768 6.000 600.466,0 584.864,0 580.800 2.425.312 78.641,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.591.272.160 6.000 598.545,0 584.448,0 579.904 2.499.168 88.645,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.574.561.280 6.000 595.760,0 584.064,0 579.680 2.463.200 82.952,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.577.156.128 6.000 596.192,0 584.512,0 580.160 2.428.320 82.376,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.570.235.200 6.000 595.039,0 584.000,0 579.552 2.443.904 77.372,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.574.586.368 6.000 595.764,0 585.088,0 581.024 2.438.752 78.327,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.556.000.704 6.000 592.666,0 583.744,0 579.008 2.421.952 68.739,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.575.912.064 6.000 595.985,0 584.608,0 580.224 2.481.504 79.476,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.651.538.144 6.000 608.589,0 583.840,0 579.648 3.401.344 133.526,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.565.895.168 6.000 594.315,0 584.896,0 580.064 2.496.960 59.953,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.617.665.664 6.000 602.944,0 584.608,0 580.000 5.327.808 116.126,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.565.451.040 6.000 594.241,0 584.544,0 580.384 2.429.600 68.847,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.577.831.136 6.000 596.305,0 584.448,0 579.872 2.539.520 80.853,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.568.618.656 6.000 594.769,0 585.088,0 580.576 2.429.952 63.875,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.588.975.680 6.000 598.162,0 585.120,0 580.608 2.419.680 79.520,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.563.837.152 6.000 593.972,0 584.800,0 580.768 2.233.248 64.844,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.665.377.856 6.000 610.896,0 584.000,0 579.808 3.292.000 132.252,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.565.715.648 6.000 594.285,0 585.408,0 580.224 2.428.320 70.189,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.592.888.032 6.000 598.814,0 584.352,0 579.488 2.980.512 93.723,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.588.633.760 6.000 598.105,0 584.672,0 580.416 2.410.176 80.169,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.617.060.416 6.000 602.843,0 583.968,0 579.456 2.421.152 100.554,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.572.427.232 6.000 595.404,0 584.512,0 580.256 2.461.248 82.347,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
