1.2 3037568 12 253130.7 272384.0 193888 309056 49634.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035264 12 252938.7 271776.0 193792 309792 49813.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2360608 12 196717.3 216016.0 145344 244448 43168.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036032 12 253002.7 271248.0 194080 309920 49643.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037952 12 253162.7 271936.0 193664 309632 49824.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3036768 12 253064.0 271760.0 193472 309472 49844.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037536 12 253128.0 272032.0 194304 309504 49865.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3034912 12 252909.3 271504.0 194176 309184 49700.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035104 12 252925.3 271360.0 193728 309184 49716.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037952 12 253162.7 272800.0 194112 309888 49819.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3033184 12 252765.3 271952.0 193440 309248 49768.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036000 12 253000.0 272160.0 193408 308992 49551.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034912 12 252909.3 271968.0 193632 308896 49846.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036960 12 253080.0 271808.0 194240 309408 49817.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035584 12 252965.3 272064.0 193632 309472 49875.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036992 12 253082.7 272688.0 193728 309504 49989.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037632 12 253136.0 271792.0 193824 309568 49720.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 2914336 12 242861.3 243968.0 145024 309024 55969.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037376 12 253114.7 271744.0 193600 309376 49832.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036640 12 253053.3 271504.0 193984 308928 49694.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035520 12 252960.0 271904.0 193824 309760 49875.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036864 12 253072.0 271264.0 194144 309792 49885.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036512 12 253042.7 271632.0 193792 308928 49776.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037152 12 253096.0 272112.0 193824 309664 49950.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034848 12 252904.0 271728.0 194496 309216 49647.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038656 12 253221.3 271984.0 193824 309632 49879.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3040224 12 253352.0 272256.0 194656 310176 49815.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035392 12 252949.3 271808.0 194144 309536 49732.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037312 12 253109.3 271776.0 193600 309632 49996.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038496 12 253208.0 271760.0 194144 309728 49669.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038208 12 253184.0 272000.0 193440 309344 49778.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3039584 12 253298.7 272368.0 193600 310336 50166.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034240 12 252853.3 271904.0 193600 309536 49733.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036224 12 253018.7 271664.0 193696 310112 50000.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
