7.0 15887776 12 1323981.3 409520.0 151648 6715904 1961948.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20933760 12 1744480.0 521536.0 201696 8951488 2617939.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20885152 12 1740429.3 518416.0 200288 8943616 2615471.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20889344 12 1740778.7 518960.0 202848 8949504 2616943.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20863232 12 1738602.7 518192.0 201664 8938912 2613918.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20882848 12 1740237.3 517952.0 200352 8946400 2616112.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20909120 12 1742426.7 518176.0 200384 8952320 2618115.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.9 15901056 12 1325088.0 409392.0 153536 6708352 1960203.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20931008 12 1744250.7 522448.0 199552 8943424 2616054.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20974048 12 1747837.3 521440.0 199488 8957472 2620986.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.7 20883168 12 1740264.0 522096.0 199328 8948192 2615874.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20878688 12 1739890.7 519152.0 200192 8958272 2618122.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20910688 12 1742557.3 521792.0 202880 8953504 2617725.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20937984 12 1744832.0 521104.0 203360 8950592 2617681.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20940160 12 1745013.3 523776.0 202336 8953152 2618099.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20922400 12 1743533.3 520240.0 201696 8950912 2617783.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20914688 12 1742890.7 520320.0 200512 8940256 2615405.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
