1,0 11.054.528 2 5.527.264,0 5.527.264,0 5.514.880 5.539.648 17.513,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.933.696 2 5.966.848,0 5.966.848,0 5.525.824 6.407.872 623.702,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.152.352 2 5.576.176,0 5.576.176,0 5.564.160 5.588.192 16.993,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.985.984 2 6.492.992,0 6.492.992,0 5.554.048 7.431.936 1.327.867,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.095.264 2 5.547.632,0 5.547.632,0 5.517.760 5.577.504 42.245,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.034.432 2 5.517.216,0 5.517.216,0 5.512.864 5.521.568 6.154,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.084.768 2 7.042.384,0 7.042.384,0 6.635.456 7.449.312 575.483,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.824.896 2 7.412.448,0 7.412.448,0 7.364.832 7.460.064 67.339,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.566.656 2 6.783.328,0 6.783.328,0 6.130.880 7.435.776 922.700,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.027.232 2 5.513.616,0 5.513.616,0 5.506.432 5.520.800 10.159,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.046.592 2 5.523.296,0 5.523.296,0 5.516.768 5.529.824 9.232,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.132.928 2 5.566.464,0 5.566.464,0 5.555.872 5.577.056 14.979,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 12.196.064 2 6.098.032,0 6.098.032,0 5.578.080 6.617.984 735.323,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.050.976 2 5.525.488,0 5.525.488,0 5.522.304 5.528.672 4.502,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
