26,0 1.129.181.888 3.900 289.533,0 265.872,0 258.080 452.288 43.167,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 1.001.721.472 3.900 256.851,0 211.760,0 185.920 3.085.120 82.695,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 898.609.376 3.900 230.412,0 213.648,0 182.048 885.760 44.418,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 810.489.312 3.900 207.817,0 208.640,0 174.624 3.076.064 57.418,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 1.421.477.856 3.900 364.481,0 352.080,0 188.736 451.488 22.177,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 1.111.298.112 3.900 284.948,0 266.720,0 260.032 451.488 36.881,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
13,0 963.387.968 3.900 247.022,0 222.144,0 174.848 450.912 65.054,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
25,0 1.096.338.144 3.900 281.112,0 263.664,0 256.928 452.576 36.597,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 1.190.367.008 3.900 305.222,0 272.576,0 259.616 455.936 53.023,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 1.115.301.760 3.900 285.974,0 267.296,0 259.648 455.872 37.376,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 1.059.624.256 3.900 271.698,0 214.336,0 191.296 449.664 78.497,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
17,0 728.891.808 3.900 186.895,0 179.632,0 174.400 240.160 12.920,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 766.205.408 3.900 196.462,0 206.272,0 177.312 236.160 15.172,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 709.417.920 3.900 181.902,0 178.720,0 174.304 232.672 6.669,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
12,0 1.221.316.544 3.900 313.158,0 350.752,0 188.192 451.200 73.823,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
11,0 1.055.652.096 3.900 270.680,0 238.624,0 185.248 456.224 72.358,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
12,0 740.708.096 3.900 189.925,0 181.760,0 174.976 234.720 14.513,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.306.744.096 3.900 335.062,0 351.040,0 256.928 452.704 50.480,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
16,0 1.071.145.088 3.900 274.652,0 262.880,0 180.416 451.168 51.153,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 820.485.792 3.900 210.381,0 208.320,0 203.936 883.040 12.152,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
23,0 717.379.520 3.900 183.943,0 178.688,0 174.752 232.960 9.771,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
23,0 720.105.856 3.900 184.642,0 178.752,0 176.416 232.608 10.533,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 709.456.256 3.900 181.911,0 178.720,0 174.272 235.648 6.718,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
22,0 721.438.080 3.900 184.984,0 178.656,0 174.272 268.608 11.504,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
16,0 1.320.297.888 3.900 338.537,0 351.552,0 188.672 2.527.456 75.874,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 1.107.242.176 3.900 283.908,0 267.232,0 257.056 456.288 35.050,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.197.619.680 3.900 307.082,0 273.184,0 256.672 452.160 50.825,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 1.045.136.736 3.900 267.983,0 213.040,0 187.520 2.262.880 82.957,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 1.076.749.184 3.900 276.089,0 217.520,0 185.024 455.712 76.722,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 1.126.991.712 3.900 288.972,0 270.272,0 185.024 448.928 46.595,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.295.391.104 3.900 332.151,0 350.976,0 184.864 453.120 62.751,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 708.840.832 3.900 181.754,0 178.688,0 174.208 228.256 6.390,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.128.635.520 3.900 289.393,0 265.984,0 256.800 457.344 42.405,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 824.269.568 3.900 211.351,0 207.552,0 203.712 3.173.152 57.370,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 831.266.656 3.900 213.145,0 208.160,0 177.856 1.778.720 36.018,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 796.115.104 3.900 204.132,0 207.168,0 177.216 241.440 12.808,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 968.394.368 3.900 248.306,0 211.936,0 187.616 456.384 59.491,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 1.355.500.096 3.900 347.564,0 351.264,0 177.664 451.232 50.108,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
15,0 726.738.176 3.900 186.343,0 179.296,0 176.928 231.680 11.668,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 1.135.966.080 3.900 291.273,0 265.856,0 256.800 452.736 45.024,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 1.033.837.600 3.900 265.086,0 211.824,0 188.224 2.420.800 84.638,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 980.689.984 3.900 251.459,0 210.528,0 177.248 876.192 76.647,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
20,0 718.180.416 3.900 184.148,0 178.592,0 174.496 235.904 10.489,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 852.712.992 3.900 218.644,0 208.064,0 174.528 2.183.456 47.329,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 821.811.136 3.900 210.720,0 208.800,0 203.552 1.551.776 22.247,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
11,0 785.417.888 3.900 201.389,0 185.280,0 176.352 458.208 42.539,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 950.928.416 3.900 243.827,0 216.128,0 175.776 451.584 58.532,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 1.425.014.080 3.900 365.388,0 352.288,0 343.104 451.488 21.278,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
9,0 753.629.536 3.900 193.238,0 185.440,0 174.592 239.104 15.757,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 803.060.736 3.900 205.913,0 207.904,0 174.528 335.968 15.002,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 877.639.616 3.900 225.035,0 210.336,0 177.632 1.791.712 51.835,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 805.559.872 3.900 206.553,0 208.704,0 174.560 2.175.520 35.700,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
22,0 718.654.592 3.900 184.270,0 178.688,0 174.240 231.616 10.217,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
20,0 717.258.848 3.900 183.912,0 178.848,0 175.136 236.352 10.113,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
14,0 957.982.592 3.900 245.636,0 226.992,0 177.504 448.768 55.477,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 924.136.960 3.900 236.958,0 211.456,0 178.304 886.912 55.309,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 804.960.928 3.900 206.400,0 207.584,0 173.824 1.114.464 18.653,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 818.962.432 3.900 209.990,0 207.552,0 178.752 1.543.008 22.073,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 1.004.823.776 3.900 257.647,0 212.192,0 203.616 878.176 74.437,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 899.388.928 3.900 230.612,0 209.632,0 188.384 2.816.128 65.934,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
25,0 1.159.148.000 3.900 297.217,0 270.672,0 187.776 450.464 48.370,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 935.343.392 3.900 239.831,0 211.296,0 189.760 1.596.288 65.116,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 788.230.240 3.900 202.110,0 207.104,0 177.184 2.276.096 36.085,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 869.753.984 3.900 223.013,0 208.928,0 185.696 457.888 40.213,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 799.040.096 3.900 204.882,0 208.896,0 174.432 239.680 14.032,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 1.358.974.432 3.900 348.455,0 351.296,0 256.992 451.424 42.655,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
11,0 740.700.352 3.900 189.923,0 181.520,0 174.496 239.264 14.902,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
20,0 717.235.616 3.900 183.906,0 178.752,0 176.576 232.832 9.630,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
25,0 1.132.949.504 3.900 290.499,0 267.696,0 260.032 453.856 42.431,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.053.038.944 3.900 270.010,0 262.880,0 257.632 335.104 12.646,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 776.062.144 3.900 198.990,0 206.400,0 177.312 239.392 14.736,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 1.071.484.512 3.900 274.739,0 214.656,0 189.280 2.819.264 88.231,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 821.060.640 3.900 210.528,0 208.448,0 178.176 1.540.160 22.098,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 753.466.592 3.900 193.196,0 185.344,0 175.200 241.024 16.040,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 1.038.306.048 3.900 266.232,0 262.784,0 184.576 449.024 47.290,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
19,0 1.129.115.808 3.900 289.516,0 267.488,0 177.472 455.392 73.416,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 803.346.240 3.900 205.986,0 207.264,0 173.984 1.536.096 24.537,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 1.282.325.184 3.900 328.801,0 350.688,0 184.832 455.744 60.324,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
25,0 1.177.254.304 3.900 301.860,0 273.664,0 257.440 452.768 47.762,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 827.240.992 3.900 212.113,0 209.856,0 203.936 3.196.736 48.221,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 840.830.528 3.900 215.597,0 208.384,0 174.368 2.419.648 48.411,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 709.100.768 3.900 181.820,0 178.496,0 174.784 231.136 6.666,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
12,0 741.597.952 3.900 190.153,0 182.112,0 176.992 233.024 13.871,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 890.409.952 3.900 228.310,0 209.056,0 178.176 3.156.832 66.092,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 965.584.448 3.900 247.585,0 213.568,0 185.056 451.872 58.838,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 982.447.520 3.900 251.909,0 211.136,0 191.424 451.264 68.992,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 858.312.704 3.900 220.080,0 209.824,0 174.688 882.496 43.189,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 782.796.384 3.900 200.717,0 206.752,0 177.248 236.000 14.274,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 1.093.833.344 3.900 280.470,0 265.824,0 256.384 457.472 31.993,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
22,0 888.810.208 3.900 227.900,0 212.960,0 174.368 452.736 60.231,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
25,0 1.117.541.248 3.900 286.549,0 266.096,0 257.280 452.576 39.333,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
25,0 1.105.331.392 3.900 283.418,0 265.136,0 256.832 452.064 37.911,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 999.925.600 3.900 256.391,0 215.536,0 188.448 449.088 68.011,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 882.965.408 3.900 226.401,0 210.720,0 180.672 2.198.144 54.666,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
21,0 721.543.040 3.900 185.011,0 178.784,0 174.336 236.736 11.148,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 760.921.504 3.900 195.108,0 188.768,0 174.272 239.360 15.913,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
11,0 1.068.729.504 3.900 274.033,0 262.112,0 176.160 451.904 75.167,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.271.592.128 3.900 326.049,0 350.944,0 178.208 655.904 66.473,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
12,0 1.073.835.200 3.900 275.342,0 254.320,0 176.416 453.248 72.669,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
15,0 724.730.688 3.900 185.828,0 179.104,0 174.336 235.584 11.835,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.210.871.328 3.900 310.479,0 276.560,0 256.896 456.160 53.450,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
23,0 1.126.447.776 3.900 288.832,0 271.136,0 256.704 451.232 39.355,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
9,0 1.102.396.032 3.900 282.665,0 262.304,0 178.688 797.600 75.890,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 1.077.399.904 3.900 276.256,0 214.464,0 189.760 450.880 79.492,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
9,0 1.098.729.440 3.900 281.725,0 260.352,0 177.888 2.181.344 84.764,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
10,0 856.657.760 3.900 219.655,0 212.800,0 175.488 332.544 29.945,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 873.663.232 3.900 224.016,0 208.480,0 188.512 447.872 41.869,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 851.833.664 3.900 218.418,0 212.288,0 174.528 2.273.728 45.349,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 783.238.656 3.900 200.830,0 206.784,0 177.088 240.224 14.319,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 881.985.888 3.900 226.150,0 209.184,0 174.464 455.904 44.697,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
22,0 862.433.824 3.900 221.136,0 213.824,0 187.040 292.640 14.067,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 811.855.168 3.900 208.168,0 208.224,0 175.456 2.420.384 36.929,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
28,0 709.407.712 3.900 181.899,0 178.912,0 174.272 222.560 6.359,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
23,0 713.471.904 3.900 182.941,0 178.592,0 174.944 231.392 8.450,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 839.216.608 3.900 215.183,0 207.744,0 177.952 885.792 29.537,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
19,0 1.129.091.456 3.900 289.510,0 266.464,0 188.576 456.672 56.735,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 802.814.304 3.900 205.849,0 207.072,0 177.280 240.064 11.415,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 905.464.640 3.900 232.170,0 210.112,0 176.224 451.488 55.682,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
12,0 1.017.100.096 3.900 260.794,0 226.400,0 185.088 449.536 69.457,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 1.169.239.616 3.900 299.805,0 271.712,0 187.680 451.680 50.410,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 803.985.664 3.900 206.150,0 206.944,0 177.376 237.024 10.709,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 753.438.752 3.900 193.189,0 184.736,0 172.512 241.024 16.910,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
22,0 717.677.216 3.900 184.019,0 178.880,0 174.400 234.496 9.767,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
10,0 879.729.056 3.900 225.571,0 206.848,0 177.184 452.064 61.406,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 940.419.264 3.900 241.133,0 215.200,0 177.248 871.872 60.409,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
16,0 1.127.866.176 3.900 289.196,0 262.816,0 185.184 456.736 74.933,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
16,0 1.093.372.160 3.900 280.351,0 242.048,0 181.824 450.528 77.736,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.372.816.960 3.900 352.004,0 351.392,0 257.376 457.088 41.875,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
10,0 748.155.936 3.900 191.834,0 184.368,0 174.272 237.312 15.114,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
11,0 1.055.004.096 3.900 270.513,0 229.168,0 177.536 450.816 73.465,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
12,0 1.044.899.584 3.900 267.923,0 239.184,0 177.472 905.920 71.214,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 796.008.224 3.900 204.104,0 207.136,0 174.304 239.168 13.205,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 880.006.624 3.900 225.642,0 212.496,0 187.872 876.832 42.216,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 808.319.328 3.900 207.261,0 208.992,0 174.368 238.016 11.700,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 818.581.568 3.900 209.892,0 207.456,0 203.648 884.544 12.163,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 859.227.168 3.900 220.314,0 209.792,0 177.664 1.529.408 41.913,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.438.453.856 3.900 368.834,0 355.072,0 343.264 450.688 23.099,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.183.769.792 3.900 303.530,0 272.416,0 178.240 452.416 54.188,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 872.668.160 3.900 223.761,0 208.896,0 177.248 456.256 43.759,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
15,0 1.070.977.856 3.900 274.609,0 262.368,0 177.696 457.056 68.595,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.094.229.248 3.900 280.571,0 263.600,0 256.800 456.384 35.988,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
22,0 719.462.816 3.900 184.477,0 178.688,0 174.720 233.984 10.443,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 742.917.760 3.900 190.491,0 181.152,0 176.800 261.952 16.622,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
26,0 1.089.142.368 3.900 279.267,0 264.224,0 257.280 454.592 32.483,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
24,0 1.100.109.952 3.900 282.079,0 265.696,0 256.096 456.448 35.188,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 1.076.102.240 3.900 275.923,0 215.168,0 178.240 906.816 79.772,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 884.664.032 3.900 226.836,0 209.792,0 188.096 447.744 47.569,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 799.540.224 3.900 205.010,0 207.552,0 177.344 236.896 12.201,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
23,0 738.747.776 3.900 189.422,0 179.744,0 176.384 275.040 17.804,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 834.762.560 3.900 214.041,0 209.696,0 188.224 458.080 22.487,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
28,0 1.409.941.984 3.900 361.523,0 351.392,0 347.136 448.032 18.054,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
9,0 751.471.200 3.900 192.684,0 184.640,0 174.848 243.616 16.089,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
11,0 971.821.856 3.900 249.185,0 210.848,0 176.896 877.568 81.367,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 708.530.016 3.900 181.674,0 178.528,0 174.272 223.520 6.386,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
