1,0 873.490.624 6.000 145.581,0 145.344,0 142.944 330.816 5.463,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.906.816 6.000 146.151,0 145.824,0 143.552 339.680 6.686,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.177.728 6.000 146.029,0 145.696,0 144.224 348.768 6.838,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.687.968 6.000 145.781,0 145.536,0 143.968 332.992 5.442,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.312.704 6.000 146.552,0 146.272,0 144.896 340.960 5.174,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 864.819.360 6.000 144.136,0 143.776,0 142.336 340.992 7.120,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.177.568 6.000 146.362,0 146.048,0 144.480 340.928 5.759,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.709.728 6.000 145.951,0 145.632,0 144.416 349.216 6.988,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.868.672 6.000 146.311,0 146.112,0 144.800 338.368 4.886,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.830.592 6.000 146.138,0 145.824,0 144.480 352.128 7.068,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.496.512 6.000 146.416,0 146.048,0 144.576 341.888 7.708,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.745.216 6.000 145.957,0 145.600,0 143.968 346.368 7.251,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.171.264 6.000 146.195,0 145.792,0 144.256 349.440 8.115,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.109.184 6.000 146.018,0 145.792,0 144.384 333.792 5.545,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.921.280 6.000 146.486,0 146.240,0 143.456 341.888 5.580,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.301.824 6.000 146.217,0 146.016,0 144.608 332.704 4.907,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.322.272 6.000 146.053,0 145.792,0 144.288 345.920 5.605,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 881.517.312 6.000 146.919,0 146.496,0 145.088 345.120 8.577,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.266.272 6.000 146.044,0 145.792,0 144.384 340.032 5.555,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.371.904 6.000 146.562,0 146.272,0 144.896 343.904 6.619,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.719.008 6.000 146.786,0 146.336,0 145.088 340.352 7.453,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.458.944 6.000 146.076,0 145.568,0 144.288 344.032 8.265,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.237.664 6.000 146.039,0 145.728,0 144.288 342.976 6.818,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
