1,0 7.648.416 100 76.484,0 65.584,0 64.384 102.496 13.821,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.219.520 100 82.195,0 91.936,0 63.872 102.688 13.484,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.312.384 100 93.123,0 92.944,0 91.328 102.240 1.206,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.745.952 100 87.459,0 92.784,0 63.456 103.424 11.312,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.379.968 100 73.799,0 64.608,0 63.392 101.920 13.564,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.089.632 100 80.896,0 91.440,0 63.232 103.424 13.735,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.216.000 100 92.160,0 91.920,0 90.560 105.312 1.554,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.914.304 100 79.143,0 79.504,0 63.616 103.456 14.369,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.374.912 100 93.749,0 93.680,0 91.552 104.512 1.392,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.327.264 100 83.272,0 93.264,0 63.680 102.848 14.048,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.599.072 100 75.990,0 65.168,0 58.464 101.664 14.098,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.636.544 100 76.365,0 65.120,0 63.840 102.784 14.076,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.640.896 100 76.409,0 65.056,0 63.040 100.032 13.750,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.809.376 100 88.093,0 92.560,0 63.648 102.208 10.454,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.700.736 100 77.007,0 65.296,0 58.144 102.144 14.763,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.120.672 100 81.206,0 92.688,0 63.584 102.656 14.542,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.835.008 100 78.350,0 65.536,0 63.744 101.376 14.439,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.179.360 100 81.793,0 93.024,0 63.776 101.824 14.561,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.540.608 100 75.406,0 65.104,0 63.712 103.200 13.749,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.952.192 100 89.521,0 92.560,0 63.232 100.992 8.849,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.088.736 100 70.887,0 64.672,0 63.744 102.016 11.979,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.268.672 100 82.686,0 92.032,0 63.616 102.528 13.559,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.255.296 100 92.553,0 92.656,0 76.992 104.224 2.288,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.001.152 100 90.011,0 93.376,0 64.160 102.528 9.344,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.205.216 100 92.052,0 92.448,0 77.248 100.896 2.872,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.894.336 100 78.943,0 90.528,0 57.920 102.240 14.864,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.111.744 100 81.117,0 91.936,0 63.904 102.208 13.908,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.703.616 100 77.036,0 65.120,0 63.392 101.696 13.814,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.890.048 100 48.900,0 48.832,0 48.192 55.168 694,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.546.784 100 65.467,0 65.360,0 63.296 72.384 971,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.390.624 100 73.906,0 65.008,0 57.600 101.984 14.345,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.713.024 100 87.130,0 94.080,0 63.648 104.032 12.923,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.985.280 100 79.852,0 91.456,0 63.392 102.592 14.086,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.652.096 100 76.521,0 65.120,0 63.616 100.224 13.894,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.788.768 100 77.887,0 65.312,0 63.264 102.176 13.893,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.963.552 100 79.635,0 88.832,0 63.712 101.056 13.765,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.729.920 100 77.299,0 65.520,0 59.168 102.624 13.969,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.890.464 100 48.904,0 48.800,0 48.000 55.904 787,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.900.864 100 49.008,0 48.896,0 48.192 55.136 715,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.845.760 100 48.457,0 48.368,0 47.488 54.464 715,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.574.432 100 55.744,0 55.648,0 54.720 63.072 882,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.017.184 100 80.171,0 87.856,0 64.192 103.072 14.191,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.136.032 100 81.360,0 92.176,0 63.712 101.824 14.176,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.482.624 100 84.826,0 92.144,0 63.904 103.776 12.690,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.947.392 100 79.473,0 90.864,0 63.552 102.624 13.829,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.288.480 100 72.884,0 64.960,0 57.600 99.808 13.524,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.512.256 100 75.122,0 65.056,0 58.432 100.928 13.850,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.351.872 100 63.518,0 51.808,0 48.160 102.848 18.229,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.474.816 100 64.748,0 64.704,0 63.616 72.064 891,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.108.256 100 71.082,0 73.904,0 63.904 82.784 5.385,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.876.864 100 48.768,0 48.752,0 47.712 55.392 819,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.800.512 100 68.005,0 64.608,0 63.648 102.592 9.419,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.532.096 100 55.321,0 56.816,0 50.528 64.224 3.156,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.895.232 100 48.952,0 48.864,0 47.936 55.264 730,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.887.168 100 48.871,0 48.784,0 48.032 55.200 721,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.901.440 100 49.014,0 48.944,0 48.288 55.072 706,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.885.824 100 48.858,0 48.768,0 48.032 55.744 860,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.917.504 100 49.175,0 49.152,0 48.320 56.160 763,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.574.112 100 65.741,0 55.328,0 48.352 103.712 18.789,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.938.976 100 69.389,0 64.432,0 47.552 103.552 19.594,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.247.328 100 62.473,0 64.336,0 56.448 70.656 3.336,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.103.360 100 71.033,0 65.488,0 55.648 103.968 14.538,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.866.912 100 78.669,0 65.824,0 63.680 103.808 14.924,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.372.512 100 73.725,0 65.104,0 55.808 101.952 15.253,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.201.536 100 72.015,0 65.088,0 58.720 102.368 12.762,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.577.024 100 75.770,0 65.328,0 63.840 100.640 14.156,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.881.408 100 78.814,0 88.784,0 63.456 102.208 13.718,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.715.840 100 77.158,0 65.696,0 51.616 104.480 15.546,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.004.128 100 50.041,0 48.992,0 47.904 67.072 3.076,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.907.264 100 49.072,0 49.024,0 48.000 55.296 740,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.905.824 100 49.058,0 48.992,0 47.904 54.944 717,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.918.656 100 49.186,0 49.056,0 48.288 54.464 723,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.903.072 100 49.030,0 48.944,0 48.128 54.496 665,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.886.752 100 88.867,0 92.768,0 63.744 102.368 10.078,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.928.224 100 49.282,0 49.152,0 48.448 56.256 796,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.464.000 100 64.640,0 64.592,0 63.424 72.096 877,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.457.920 100 74.579,0 65.024,0 63.616 103.360 13.361,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.340.608 100 93.406,0 93.328,0 91.200 102.528 1.161,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.281.376 100 92.813,0 92.768,0 87.296 103.488 1.511,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.802.688 100 88.026,0 92.464,0 63.392 101.760 10.431,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.207.328 100 82.073,0 92.208,0 63.488 102.528 14.225,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.985.056 100 49.850,0 49.696,0 48.736 55.904 784,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.926.816 100 49.268,0 49.168,0 48.128 55.520 740,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.904.128 100 49.041,0 48.896,0 48.032 56.032 956,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.885.984 100 48.859,0 48.800,0 47.680 55.424 765,0 CUDA_KERNEL prepare(long, float *, float *, float *)
