     13,0       30.911.488        100     309.114,0     308.624,0     306.400      354.432       4.742,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       35.080.160        100     350.801,0     351.280,0     328.192      397.568       6.622,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     15,0       36.023.232        100     360.232,0     359.536,0     356.416      412.256       5.549,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     18,0       72.080.064        100     720.800,0     721.632,0     358.016    3.992.992      575.585,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.101.984        100     311.019,0     310.480,0     307.776      357.856       4.855,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.132.672        100     311.326,0     310.768,0     308.352      355.520       4.616,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.070.272        100     310.702,0     310.160,0     308.224      357.536       4.833,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.100.256        100     311.002,0     310.416,0     307.840      352.576       4.384,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       39.635.296        100     396.353,0     396.016,0     393.600      441.120        4.655,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       30.997.280        100     309.972,0     309.760,0     306.656      351.904       4.506,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     10,0       31.889.216        100     318.892,0     318.784,0     304.768      366.432        5.614,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       72.114.528        100     721.145,0     761.760,0     356.384      808.256      128.505,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       31.044.544        100     310.445,0     309.632,0     307.680      353.056       4.608,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     16,0       44.214.240        100     442.142,0     394.608,0     392.608    2.743.456     330.150,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       35.680.960        100     356.809,0     358.864,0     344.288      412.512        7.470,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       35.292.384        100     352.923,0     352.416,0     348.640      399.232       5.030,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       34.397.184        100     343.971,0     342.656,0     339.744      411.936       7.747,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       34.296.288        100     342.962,0     342.464,0     340.320      389.600       4.810,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       34.270.944        100     342.709,0     343.248,0     319.296      387.552       6.189,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     17,0       73.516.512        100     735.165,0     735.056,0     702.048      794.688       20.135,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     10,0       31.000.608        100     310.006,0     309.488,0     307.456      352.992        4.462,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.124.064        100     311.240,0     310.960,0     308.416      355.872       4.685,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.047.520        100     310.475,0     309.936,0     307.520      353.248       4.479,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       35.824.384        100     358.243,0     359.024,0     326.400      410.912       8.794,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     16,0       60.404.928        100     604.049,0     749.328,0     393.952      792.000      182.901,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.033.952        100     310.339,0     309.840,0     307.552      351.488       4.315,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     18,0       75.611.168        100     756.111,0     727.456,0     350.496    3.230.464      312.797,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     22,0       70.537.824        100     705.378,0     749.696,0     357.088      816.224     133.172,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     11,0       31.828.160        100     318.281,0     319.312,0     308.032      361.696        6.174,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     18,0       78.838.656        100     788.386,0     751.440,0     711.456    4.114.784      337.098,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     11,0       31.296.160        100     312.961,0     312.704,0     309.216      352.512        4.332,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
