45,0 70.611.328 100 706.113,0 326.144,0 317.152 4.296.576 953.543,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 34.562.912 100 345.629,0 344.880,0 342.464 412.608 6.861,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
47,0 74.109.824 100 741.098,0 746.016,0 350.400 3.350.656 539.221,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 39.687.296 100 396.873,0 396.288,0 393.696 456.352 6.110,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 31.152.288 100 311.522,0 310.864,0 308.608 367.552 5.800,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
43,0 32.092.896 100 320.929,0 320.528,0 316.288 382.624 6.448,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
47,0 72.284.640 100 722.846,0 400.848,0 392.416 4.085.344 835.193,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 39.541.568 100 395.415,0 394.816,0 392.640 463.008 6.882,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 40.338.368 100 403.383,0 342.816,0 337.920 2.368.576 305.167,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 79.022.944 100 790.229,0 396.368,0 391.168 4.352.192 834.430,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 38.204.672 100 382.046,0 310.192,0 306.560 2.095.552 276.709,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
43,0 38.603.616 100 386.036,0 394.368,0 355.936 467.072 17.430,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 48.650.592 100 486.505,0 358.992,0 337.600 3.315.424 412.316,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 34.334.912 100 343.349,0 342.624,0 340.096 410.400 6.871,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 31.124.992 100 311.249,0 310.368,0 308.672 377.280 6.762,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 50.155.936 100 501.559,0 394.880,0 390.432 2.731.168 436.670,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 40.429.440 100 404.294,0 351.712,0 318.528 2.251.584 295.125,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 30.971.776 100 309.717,0 308.672,0 306.144 375.840 6.855,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 32.747.712 100 327.477,0 309.616,0 307.296 2.022.976 171.389,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 47.005.184 100 470.051,0 394.320,0 314.656 2.760.800 422.064,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 34.350.176 100 343.501,0 342.688,0 341.024 409.152 6.706,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 35.879.744 100 358.797,0 358.208,0 353.376 426.592 7.235,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 39.439.840 100 394.398,0 393.664,0 392.000 467.040 7.379,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
39,0 31.124.032 100 311.240,0 310.400,0 307.424 376.448 6.749,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
