1,0 5.945.248 100 59.452,0 55.104,0 45.984 79.680 12.195,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.437.632 100 64.376,0 72.048,0 45.920 81.760 11.365,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.184.000 100 61.840,0 58.432,0 47.168 82.816 12.915,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.997.280 100 69.972,0 74.944,0 47.680 78.816 9.954,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.369.792 100 73.697,0 73.712,0 72.160 83.424 1.185,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.416.736 100 74.167,0 74.128,0 72.544 82.208 1.061,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.064.352 100 60.643,0 59.408,0 40.768 80.448 14.501,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.393.920 100 73.939,0 73.888,0 72.128 82.688 1.071,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.335.168 100 63.351,0 53.584,0 44.864 85.312 16.022,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.287.648 100 52.876,0 48.032,0 39.424 80.576 13.417,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.075.360 100 70.753,0 75.616,0 48.128 81.344 9.972,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.795.168 100 77.951,0 77.920,0 76.448 82.592 802,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.891.008 100 68.910,0 73.664,0 46.912 81.536 9.990,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.579.712 100 65.797,0 72.992,0 46.880 81.024 11.228,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.385.760 100 63.857,0 74.464,0 47.776 80.896 12.767,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.744.640 100 67.446,0 75.312,0 47.936 82.080 11.872,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.679.776 100 66.797,0 73.376,0 47.168 80.320 11.100,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.513.088 100 75.130,0 75.136,0 73.568 80.256 849,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.591.872 100 55.918,0 47.344,0 38.976 80.736 14.493,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.280.672 100 52.806,0 46.704,0 43.040 91.296 12.225,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.830.976 100 58.309,0 49.232,0 44.320 80.352 12.289,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.053.248 100 60.532,0 51.104,0 47.424 80.960 13.398,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.444.448 100 54.444,0 46.480,0 45.376 84.576 12.425,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.338.016 100 53.380,0 47.872,0 38.880 84.448 12.476,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.931.712 100 69.317,0 73.312,0 47.104 82.624 8.918,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.332.512 100 63.325,0 51.936,0 48.416 82.048 14.205,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.399.744 100 53.997,0 47.568,0 38.944 80.864 13.751,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.592.192 100 55.921,0 48.576,0 40.416 81.984 12.286,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.839.136 100 68.391,0 73.232,0 46.816 79.776 9.835,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.644.992 100 76.449,0 76.416,0 74.560 80.864 851,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.092.192 100 60.921,0 54.192,0 40.096 81.824 10.630,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.327.168 100 63.271,0 73.520,0 47.360 79.168 12.508,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.471.072 100 74.710,0 74.624,0 73.248 80.224 860,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.488.256 100 54.882,0 47.696,0 40.032 81.536 11.627,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.413.280 100 64.132,0 72.864,0 46.688 92.864 12.401,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.254.784 100 72.547,0 72.384,0 71.584 81.216 1.005,0 CUDA_KERNEL prepare(long, float *, float *, float *)
