4,0 23.905.856 200 119.529,0 92.912,0 26.080 235.072 87.446,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.581.408 200 112.907,0 96.736,0 27.360 235.680 83.393,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.271.264 200 121.356,0 96.896,0 27.360 234.784 88.465,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.656.448 200 113.282,0 96.976,0 27.456 236.000 83.590,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 25.454.464 200 127.272,0 96.416,0 27.136 235.616 91.514,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.693.632 200 138.468,0 137.984,0 43.008 235.264 95.496,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.658.912 200 138.294,0 137.136,0 42.528 235.392 95.673,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.857.280 200 109.286,0 83.888,0 22.560 235.168 82.443,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.658.720 200 138.293,0 137.968,0 42.720 235.264 95.513,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.679.712 200 103.398,0 84.208,0 22.560 234.368 78.494,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.585.696 200 97.928,0 83.872,0 22.688 235.328 74.603,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.640.992 200 128.205,0 96.960,0 27.200 235.584 92.078,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.708.000 200 138.540,0 137.920,0 43.040 235.616 95.439,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.662.848 200 128.314,0 114.784,0 27.584 235.744 91.291,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.508.608 200 122.543,0 97.552,0 27.552 235.392 88.958,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 23.397.920 200 116.989,0 117.888,0 27.424 235.840 85.385,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 24.403.680 200 122.018,0 96.544,0 27.264 236.224 88.910,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.816.672 200 124.083,0 97.440,0 27.520 236.000 89.860,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.732.192 200 138.661,0 137.728,0 42.816 236.032 95.765,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.811.072 200 104.055,0 83.936,0 22.528 235.552 79.204,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.959.712 200 99.798,0 92.144,0 25.888 235.424 74.194,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.293.824 200 106.469,0 91.936,0 25.088 235.488 78.840,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.047.744 200 105.238,0 92.976,0 26.240 235.136 77.990,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.157.088 200 100.785,0 94.048,0 26.400 234.624 74.977,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.764.000 200 98.820,0 82.128,0 22.400 235.488 74.299,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.874.912 200 129.374,0 97.232,0 27.520 235.808 92.058,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.635.936 200 108.179,0 93.104,0 25.952 235.264 80.495,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.062.240 200 100.311,0 83.488,0 22.528 235.456 76.535,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.437.536 200 102.187,0 84.352,0 22.752 235.328 75.769,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.479.584 200 127.397,0 97.248,0 27.584 235.968 91.294,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.637.056 200 138.185,0 137.536,0 42.592 235.488 95.567,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.991.296 200 114.956,0 83.968,0 22.784 236.032 82.693,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 23.253.280 200 116.266,0 96.608,0 27.296 236.160 85.505,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.689.952 200 138.449,0 137.952,0 43.008 235.072 95.393,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.505.760 200 102.528,0 84.512,0 22.880 235.168 75.730,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.784.512 200 118.922,0 96.976,0 27.392 235.040 87.162,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.720.928 200 138.604,0 138.080,0 43.008 235.232 95.548,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.092.352 200 120.461,0 97.200,0 27.456 235.104 87.088,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.714.400 200 123.572,0 97.600,0 27.552 235.456 89.521,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.645.696 200 98.228,0 83.712,0 22.560 235.232 74.482,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.101.248 200 135.506,0 97.888,0 27.712 234.688 94.410,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.702.560 200 133.512,0 97.728,0 27.488 235.520 93.920,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
