0,0 20.832 2 10.416,0 10.416,0 10.272 10.560 203,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.352 2 10.176,0 10.176,0 9.248 11.104 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.008 2 9.504,0 9.504,0 9.504 9.504 0,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.608 2 10.304,0 10.304,0 9.824 10.784 678,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 9.216 11.232 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.128 2 10.064,0 10.064,0 9.440 10.688 882,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.512 2 10.256,0 10.256,0 9.632 10.880 882,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.192 2 10.096,0 10.096,0 9.312 10.880 1.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.152 2 10.576,0 10.576,0 8.992 12.160 2.240,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 9.184 10.880 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.416 2 10.208,0 10.208,0 9.088 11.328 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.096 2 10.048,0 10.048,0 9.280 10.816 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.608 2 10.304,0 10.304,0 9.216 11.392 1.538,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.840 2 9.920,0 9.920,0 9.216 10.624 995,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 24.320 2 12.160,0 12.160,0 11.680 12.640 678,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.888 2 10.944,0 10.944,0 10.368 11.520 814,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.480 2 10.240,0 10.240,0 9.664 10.816 814,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.872 2 9.936,0 9.936,0 9.664 10.208 384,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 24.960 2 12.480,0 12.480,0 11.424 13.536 1.493,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.568 2 10.784,0 10.784,0 9.376 12.192 1.991,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 9.280 10.784 1.063,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.384 2 10.192,0 10.192,0 9.728 10.656 656,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.272 2 11.136,0 11.136,0 10.656 11.616 678,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.768 2 10.384,0 10.384,0 9.376 11.392 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.704 2 10.352,0 10.352,0 9.312 11.392 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.672 2 10.336,0 10.336,0 9.920 10.752 588,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.640 2 10.320,0 10.320,0 9.184 11.456 1.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.312 2 10.656,0 10.656,0 9.472 11.840 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.056 2 10.528,0 10.528,0 10.144 10.912 543,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 26.784 2 13.392,0 13.392,0 12.320 14.464 1.516,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.128 2 10.064,0 10.064,0 9.344 10.784 1.018,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.768 2 10.384,0 10.384,0 9.056 11.712 1.878,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.864 2 10.432,0 10.432,0 9.344 11.520 1.538,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.480 2 10.240,0 10.240,0 9.184 11.296 1.493,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.224 2 10.112,0 10.112,0 9.184 11.040 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.056 2 10.528,0 10.528,0 9.344 11.712 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.936 2 9.968,0 9.968,0 9.056 10.880 1.289,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 24.480 2 12.240,0 12.240,0 11.296 13.184 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.992 2 10.496,0 10.496,0 9.056 11.936 2.036,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
