0,0 23.584 2 11.792,0 11.792,0 8.928 14.656 4.050,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.064 2 12.032,0 12.032,0 9.024 15.040 4.254,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.736 2 12.368,0 12.368,0 9.152 15.584 4.548,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.384 2 12.192,0 12.192,0 9.824 14.560 3.348,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.616 2 11.808,0 11.808,0 9.088 14.528 3.846,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.968 2 11.984,0 11.984,0 9.312 14.656 3.778,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 22.976 2 11.488,0 11.488,0 8.864 14.112 3.710,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.808 2 11.904,0 11.904,0 8.800 15.008 4.389,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.840 2 11.920,0 11.920,0 9.056 14.784 4.050,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.168 2 11.584,0 11.584,0 8.896 14.272 3.801,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.800 2 12.400,0 12.400,0 10.176 14.624 3.145,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 29.216 2 14.608,0 14.608,0 10.944 18.272 5.181,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.776 2 11.888,0 11.888,0 8.832 14.944 4.321,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.584 2 11.792,0 11.792,0 9.088 14.496 3.824,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.224 2 12.112,0 12.112,0 8.928 15.296 4.502,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.368 2 13.184,0 13.184,0 11.104 15.264 2.941,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.672 2 12.336,0 12.336,0 10.304 14.368 2.873,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.584 2 11.792,0 11.792,0 9.024 14.560 3.914,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.032 2 12.016,0 12.016,0 9.120 14.912 4.095,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.520 2 11.760,0 11.760,0 8.960 14.560 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.096 2 12.048,0 12.048,0 9.056 15.040 4.231,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.712 2 11.856,0 11.856,0 9.216 14.496 3.733,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.616 2 11.808,0 11.808,0 8.928 14.688 4.072,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.040 2 11.520,0 11.520,0 8.960 14.080 3.620,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.288 2 12.144,0 12.144,0 9.056 15.232 4.367,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.456 2 11.728,0 11.728,0 9.184 14.272 3.597,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 28.928 2 14.464,0 14.464,0 11.008 17.920 4.887,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.488 2 11.744,0 11.744,0 9.184 14.304 3.620,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.904 2 11.952,0 11.952,0 9.248 14.656 3.824,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.088 2 12.544,0 12.544,0 9.408 15.680 4.435,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.384 2 12.192,0 12.192,0 8.896 15.488 4.661,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.648 2 11.824,0 11.824,0 9.088 14.560 3.869,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.608 2 12.304,0 12.304,0 9.120 15.488 4.502,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.384 2 12.192,0 12.192,0 8.864 15.520 4.706,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.680 2 13.840,0 13.840,0 11.008 16.672 4.005,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.128 2 12.064,0 12.064,0 8.896 15.232 4.480,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.904 2 11.952,0 11.952,0 8.992 14.912 4.186,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.200 2 11.600,0 11.600,0 8.832 14.368 3.914,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.808 2 11.904,0 11.904,0 8.800 15.008 4.389,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.648 2 11.824,0 11.824,0 9.056 14.592 3.914,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.008 2 11.504,0 11.504,0 9.024 13.984 3.507,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.424 2 11.712,0 11.712,0 9.216 14.208 3.529,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.616 2 11.808,0 11.808,0 8.896 14.720 4.118,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.744 2 11.872,0 11.872,0 9.024 14.720 4.027,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.968 2 11.984,0 11.984,0 8.928 15.040 4.321,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.072 2 11.536,0 11.536,0 8.992 14.080 3.597,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.288 2 12.144,0 12.144,0 9.952 14.336 3.100,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.256 2 12.128,0 12.128,0 9.024 15.232 4.389,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.264 2 11.632,0 11.632,0 8.864 14.400 3.914,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 29.600 2 14.800,0 14.800,0 12.000 17.600 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.616 2 11.808,0 11.808,0 9.088 14.528 3.846,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.864 2 12.432,0 12.432,0 9.056 15.808 4.774,0 CUDA_KERNEL Fan1(float *, float *, int, int)
