2,0 90.944 2 45.472,0 45.472,0 41.216 49.728 6.018,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.496 2 45.248,0 45.248,0 41.056 49.440 5.928,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.072 2 45.536,0 45.536,0 41.152 49.920 6.199,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.656 2 45.328,0 45.328,0 41.568 49.088 5.317,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.040 2 45.520,0 45.520,0 41.824 49.216 5.226,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.680 2 33.840,0 33.840,0 31.136 36.544 3.824,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.624 2 45.312,0 45.312,0 41.440 49.184 5.475,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.912 2 45.456,0 45.456,0 41.856 49.056 5.091,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.848 2 45.424,0 45.424,0 41.344 49.504 5.770,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.560 2 45.280,0 45.280,0 41.696 48.864 5.068,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.112 2 45.056,0 45.056,0 41.216 48.896 5.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.816 2 45.408,0 45.408,0 41.088 49.728 6.109,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.456 2 45.728,0 45.728,0 41.856 49.600 5.475,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 89.760 2 44.880,0 44.880,0 41.056 48.704 5.408,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.464 2 45.232,0 45.232,0 41.664 48.800 5.045,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.656 2 45.328,0 45.328,0 41.440 49.216 5.498,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.136 2 45.568,0 45.568,0 41.696 49.440 5.475,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.560 2 45.280,0 45.280,0 41.440 49.120 5.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.400 2 45.200,0 45.200,0 41.184 49.216 5.679,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.336 2 45.168,0 45.168,0 41.376 48.960 5.362,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.360 2 33.680,0 33.680,0 31.008 36.352 3.778,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.584 2 33.792,0 33.792,0 31.008 36.576 3.937,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.040 2 33.520,0 33.520,0 30.848 36.192 3.778,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.336 2 45.168,0 45.168,0 41.600 48.736 5.045,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.688 2 45.344,0 45.344,0 41.216 49.472 5.837,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.232 2 45.616,0 45.616,0 41.312 49.920 6.086,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 46.496 2 23.248,0 23.248,0 21.312 25.184 2.737,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.328 2 45.664,0 45.664,0 41.568 49.760 5.792,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.136 2 33.568,0 33.568,0 31.008 36.128 3.620,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.104 2 45.552,0 45.552,0 41.568 49.536 5.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.400 2 45.200,0 45.200,0 41.120 49.280 5.770,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.976 2 45.488,0 45.488,0 41.760 49.216 5.272,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
