36,0 114.652.096 127 902.772,0 642.688,0 7.872 2.692.000 830.473,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 121.806.336 127 959.105,0 637.984,0 7.072 5.806.816 1.004.659,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.551.872 127 901.983,0 642.464,0 8.480 2.707.488 832.791,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 80.607.744 127 634.706,0 457.952,0 6.336 1.888.640 581.366,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.204.160 127 891.371,0 651.456,0 8.096 2.663.552 823.571,0 CUDA_KERNEL lud_internal(float *, int, int)
35,0 59.250.784 127 466.541,0 335.808,0 3.840 1.397.728 433.150,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.977.760 127 897.462,0 670.720,0 8.192 2.706.784 827.709,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.097.120 127 890.528,0 632.640,0 6.816 2.681.920 833.358,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 85.917.312 127 676.514,0 503.936,0 5.472 2.472.992 619.326,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.924.160 127 897.040,0 656.864,0 7.072 2.682.208 829.864,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 62.475.360 127 491.932,0 341.792,0 3.872 3.257.792 505.137,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 81.057.216 127 638.245,0 474.496,0 6.240 1.892.640 583.300,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 64.311.808 127 506.392,0 348.672,0 3.840 3.388.608 560.420,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.331.072 127 467.173,0 320.192,0 3.840 1.413.792 434.736,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 81.037.504 127 638.090,0 444.864,0 6.304 1.908.064 584.510,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 80.107.328 127 630.766,0 453.344,0 5.152 1.901.952 581.587,0 CUDA_KERNEL lud_internal(float *, int, int)
