     36,0      113.473.120        127     893.489,0     630.240,0      8.512    2.685.152     825.126,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.690.272        127     115.671,0     106.848,0     69.696      206.560      38.698,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.413.856        128      65.733,0      67.440,0     62.336       71.008       2.635,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      114.011.328        127     897.727,0     616.352,0      7.008    2.689.664     836.819,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.585.824        127     114.849,0     106.752,0     68.352      206.336      39.278,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.303.200        128      64.868,0      65.968,0     61.248       70.656       3.053,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.840.416        127     904.255,0     644.544,0      8.032    2.693.888     834.612,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.695.840        127     115.715,0     107.360,0     68.864      205.664      38.734,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.414.080        128      65.735,0      66.176,0     62.336       71.104       2.616,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     35,0       73.984.224        127     582.552,0     399.840,0      4.384   1.767.136     561.472,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0        7.631.872        127      60.093,0      58.176,0     34.496     113.632      20.812,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.370.784        128      34.146,0      35.472,0     31.168      38.368       2.229,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      112.961.152        127     889.457,0     648.320,0      8.544    2.695.424     822.185,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.683.008        127     115.614,0     107.904,0     69.408      206.336      38.840,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.392.288        128      65.564,0      67.392,0     62.304       70.240       2.725,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.804.928        127     896.101,0     640.800,0      7.968    2.675.712     827.173,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.697.728        127     115.730,0     109.120,0     68.736      205.952      38.760,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.390.624        128      65.551,0      67.392,0     62.240       70.656       2.801,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      111.435.456        127     877.444,0     592.032,0      7.168    2.675.904     821.230,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.543.360        127     114.514,0     104.608,0     68.416      206.432      39.181,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.258.592        128      64.520,0      64.272,0     61.120       70.080       2.917,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.207.904        127     891.400,0     611.776,0      6.848    2.702.752     827.457,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.584.672        127     114.839,0     105.696,0     67.872      205.952      39.379,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.316.896        128      64.975,0      64.448,0     61.248       70.464       3.038,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      112.559.136        127     886.292,0     614.464,0      8.000    2.662.784     817.171,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.683.520        127     115.618,0     108.320,0     69.248      205.248      38.597,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.378.880        128      65.460,0      66.048,0     62.272       70.656       2.622,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.454.784        127     893.344,0     643.232,0      8.128    2.681.568     825.707,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.677.376        127     115.569,0     107.392,0     69.440      207.200      38.842,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.397.216        128      65.603,0      67.584,0     62.272       71.040       2.664,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.683.840        127     895.148,0     631.456,0      8.544    2.693.536     825.073,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.682.880        127     115.613,0     107.872,0     68.736      207.328      38.633,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.382.688        128      65.489,0      66.160,0     62.336       70.752       2.645,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.460.160        127     893.387,0     646.272,0      8.000    2.677.120     825.219,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.679.328        127     115.585,0     108.864,0     69.472      206.368      38.812,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.393.280        128      65.572,0      67.456,0     62.240       70.304       2.839,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      113.226.912        127     891.550,0     651.264,0      6.912    2.689.888     823.287,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.589.536        127     114.878,0     108.224,0     67.680      206.656      39.361,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.324.576        128      65.035,0      67.296,0     61.216       71.072       3.071,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      113.557.152        127     894.150,0     641.280,0      6.944    2.688.320     828.096,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.641.600        127     115.288,0     108.096,0     67.808      205.824      39.046,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.343.520        128      65.183,0      67.152,0     61.184       70.432       3.107,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      113.515.744        127     893.824,0     634.912,0      6.560    2.709.824     829.462,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.584.704        127     114.840,0     105.568,0     67.840      206.944      39.398,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.314.080        128      64.953,0      66.240,0     61.152       69.920       3.070,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.084.736        127     898.305,0     631.264,0      7.360    2.688.416     829.992,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.669.088        127     115.504,0     107.648,0     67.744      206.368      38.831,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.375.808        128      65.436,0      66.912,0     61.216       70.048       2.716,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.148.224        127     898.804,0     650.016,0      8.064    2.695.584     830.632,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.673.824        127     115.541,0     108.512,0     69.440      206.432      38.695,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.401.536        128      65.637,0      67.584,0     62.272       71.392       2.666,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.922.944        127     897.031,0     645.280,0      7.904    2.682.336     828.366,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.677.856        127     115.573,0     107.776,0     68.768      206.688      38.782,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.394.752        128      65.584,0      67.072,0     62.240       71.040       2.772,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.043.360        127     890.105,0     624.320,0      8.512    2.668.832     822.815,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.677.760        127     115.572,0     108.416,0     69.312      206.144      38.664,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.403.488        128      65.652,0      67.536,0     62.304       71.264       2.624,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      114.032.800        127     897.896,0     652.224,0      6.720    2.688.736     829.724,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.619.168        127     115.111,0     108.320,0     67.648      205.920      39.336,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.336.000        128      65.125,0      65.744,0     61.216       70.464       3.084,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      112.949.344        127     889.364,0     635.008,0      6.784    2.661.920     820.887,0  CUDA_KERNEL  lud_internal(float *, int, int) 
