4,0 14.682.176 127 115.607,0 106.432,0 69.536 206.624 38.613,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.658.784 127 115.423,0 108.352,0 67.840 205.792 39.208,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.689.792 127 115.667,0 106.944,0 69.600 206.976 38.735,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 10.957.568 127 86.280,0 80.224,0 51.648 150.656 28.905,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.666.720 127 115.486,0 107.872,0 68.832 205.760 38.629,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.402.336 127 58.286,0 54.272,0 34.912 104.832 19.580,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.685.056 127 115.630,0 107.648,0 69.568 206.112 38.633,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.548.896 127 114.558,0 106.528,0 67.520 205.984 39.175,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.929.536 127 86.059,0 82.848,0 50.912 151.008 29.141,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.596.576 127 114.933,0 109.120,0 67.712 206.016 39.350,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.408.192 127 58.332,0 54.112,0 34.752 105.088 19.602,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 10.959.840 127 86.298,0 80.512,0 51.936 150.848 28.850,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.399.008 127 58.259,0 54.176,0 34.592 105.280 19.574,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.392.544 127 58.209,0 53.952,0 34.784 104.672 19.625,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.953.600 127 86.248,0 80.512,0 51.520 151.840 28.932,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 10.827.520 127 85.256,0 80.096,0 44.000 151.328 29.980,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.394.752 127 58.226,0 53.632,0 34.464 104.480 19.610,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 10.969.664 127 86.375,0 80.384,0 51.808 151.424 28.895,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.391.168 127 58.198,0 54.176,0 34.592 105.056 19.703,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.390.208 127 58.190,0 54.080,0 34.688 104.800 19.594,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.375.392 127 58.074,0 53.792,0 34.368 104.928 19.616,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.487.296 127 58.955,0 54.976,0 35.360 106.304 19.899,0 CUDA_KERNEL lud_perimeter(float *, int, int)
