0,0 3.397.344 1 3.397.344,0 3.397.344,0 3.397.344 3.397.344 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.529.472 1 4.529.472,0 4.529.472,0 4.529.472 4.529.472 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.309.536 1 2.309.536,0 2.309.536,0 2.309.536 2.309.536 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.529.600 1 4.529.600,0 4.529.600,0 4.529.600 4.529.600 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.311.680 1 2.311.680,0 2.311.680,0 2.311.680 2.311.680 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.307.552 1 2.307.552,0 2.307.552,0 2.307.552 2.307.552 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.315.104 1 2.315.104,0 2.315.104,0 2.315.104 2.315.104 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.530.048 1 4.530.048,0 4.530.048,0 4.530.048 4.530.048 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.157.088 1 5.157.088,0 5.157.088,0 5.157.088 5.157.088 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.964.832 1 2.964.832,0 2.964.832,0 2.964.832 2.964.832 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.300.512 1 2.300.512,0 2.300.512,0 2.300.512 2.300.512 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.448.416 1 2.448.416,0 2.448.416,0 2.448.416 2.448.416 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.969.728 1 2.969.728,0 2.969.728,0 2.969.728 2.969.728 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.966.912 1 2.966.912,0 2.966.912,0 2.966.912 2.966.912 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.150.720 1 5.150.720,0 5.150.720,0 5.150.720 5.150.720 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.531.392 1 4.531.392,0 4.531.392,0 4.531.392 4.531.392 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.312.704 1 2.312.704,0 2.312.704,0 2.312.704 2.312.704 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.311.296 1 2.311.296,0 2.311.296,0 2.311.296 2.311.296 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.977.888 1 2.977.888,0 2.977.888,0 2.977.888 2.977.888 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.166.272 1 5.166.272,0 5.166.272,0 5.166.272 5.166.272 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.309.216 1 2.309.216,0 2.309.216,0 2.309.216 2.309.216 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.967.776 1 2.967.776,0 2.967.776,0 2.967.776 2.967.776 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.530.272 1 4.530.272,0 4.530.272,0 4.530.272 4.530.272 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.954.240 1 2.954.240,0 2.954.240,0 2.954.240 2.954.240 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.308.704 1 2.308.704,0 2.308.704,0 2.308.704 2.308.704 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.306.464 1 2.306.464,0 2.306.464,0 2.306.464 2.306.464 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.530.016 1 4.530.016,0 4.530.016,0 4.530.016 4.530.016 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.305.824 1 2.305.824,0 2.305.824,0 2.305.824 2.305.824 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.967.424 1 2.967.424,0 2.967.424,0 2.967.424 2.967.424 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.873.760 1 2.873.760,0 2.873.760,0 2.873.760 2.873.760 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.529.120 1 4.529.120,0 4.529.120,0 4.529.120 4.529.120 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.311.104 1 2.311.104,0 2.311.104,0 2.311.104 2.311.104 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.144 1 4.534.144,0 4.534.144,0 4.534.144 4.534.144 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.313.856 1 2.313.856,0 2.313.856,0 2.313.856 2.313.856 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.979.648 1 2.979.648,0 2.979.648,0 2.979.648 2.979.648 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.866.592 1 3.866.592,0 3.866.592,0 3.866.592 3.866.592 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.396.288 1 3.396.288,0 3.396.288,0 3.396.288 3.396.288 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.005.248 1 3.005.248,0 3.005.248,0 3.005.248 3.005.248 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.861.856 1 2.861.856,0 2.861.856,0 2.861.856 2.861.856 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.306.816 1 2.306.816,0 2.306.816,0 2.306.816 2.306.816 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.529.312 1 4.529.312,0 4.529.312,0 4.529.312 4.529.312 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.397.120 1 3.397.120,0 3.397.120,0 3.397.120 3.397.120 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.448.800 1 2.448.800,0 2.448.800,0 2.448.800 2.448.800 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.943.840 1 3.943.840,0 3.943.840,0 3.943.840 3.943.840 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.319.040 1 2.319.040,0 2.319.040,0 2.319.040 2.319.040 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.975.936 1 2.975.936,0 2.975.936,0 2.975.936 2.975.936 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.307.840 1 2.307.840,0 2.307.840,0 2.307.840 2.307.840 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.759.424 1 2.759.424,0 2.759.424,0 2.759.424 2.759.424 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.150.016 1 3.150.016,0 3.150.016,0 3.150.016 3.150.016 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.310.624 1 2.310.624,0 2.310.624,0 2.310.624 2.310.624 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.530.592 1 4.530.592,0 4.530.592,0 4.530.592 4.530.592 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.304.992 1 2.304.992,0 2.304.992,0 2.304.992 2.304.992 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.397.920 1 3.397.920,0 3.397.920,0 3.397.920 3.397.920 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.105.824 1 5.105.824,0 5.105.824,0 5.105.824 5.105.824 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.977.568 1 2.977.568,0 2.977.568,0 2.977.568 2.977.568 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.301.472 1 2.301.472,0 2.301.472,0 2.301.472 2.301.472 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.447.104 1 2.447.104,0 2.447.104,0 2.447.104 2.447.104 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.854.848 1 2.854.848,0 2.854.848,0 2.854.848 2.854.848 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.973.120 1 2.973.120,0 2.973.120,0 2.973.120 2.973.120 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.313.504 1 2.313.504,0 2.313.504,0 2.313.504 2.313.504 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.531.232 1 4.531.232,0 4.531.232,0 4.531.232 4.531.232 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.310.560 1 2.310.560,0 2.310.560,0 2.310.560 2.310.560 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.303.552 1 2.303.552,0 2.303.552,0 2.303.552 2.303.552 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.444.800 1 2.444.800,0 2.444.800,0 2.444.800 2.444.800 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.344.704 1 3.344.704,0 3.344.704,0 3.344.704 3.344.704 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.395.456 1 3.395.456,0 3.395.456,0 3.395.456 3.395.456 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.530.240 1 4.530.240,0 4.530.240,0 4.530.240 4.530.240 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.530.048 1 4.530.048,0 4.530.048,0 4.530.048 4.530.048 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
