41,0 919.275.552 10 91.927.555,0 91.691.168,0 86.869.056 95.658.976 2.861.402,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 963.816.544 10 96.381.654,0 92.542.368,0 86.858.624 130.726.688 12.452.883,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 919.471.360 10 91.947.136,0 91.744.352,0 86.944.448 98.527.840 3.187.275,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.007.456.608 10 100.745.660,0 94.863.488,0 86.791.648 124.643.072 12.441.871,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 922.679.744 10 92.267.974,0 91.673.088,0 86.745.664 98.565.760 3.449.893,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 990.160.864 10 99.016.086,0 92.094.672,0 86.905.248 159.655.616 21.521.031,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 922.943.136 10 92.294.313,0 91.754.896,0 86.911.232 98.685.536 3.439.784,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.135.659.264 10 113.565.926,0 91.992.768,0 86.829.632 178.829.952 36.334.263,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 929.415.712 10 92.941.571,0 92.502.176,0 86.923.872 101.041.152 3.702.875,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
45,0 1.827.032.960 10 182.703.296,0 191.828.672,0 129.476.736 211.934.944 24.138.125,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 963.929.120 10 96.392.912,0 92.496.832,0 86.853.600 135.424.544 13.919.485,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.361.826.368 10 136.182.636,0 130.363.472,0 86.693.184 190.551.424 46.472.603,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 960.793.856 10 96.079.385,0 93.023.536,0 86.930.528 125.192.192 10.715.193,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 919.462.240 10 91.946.224,0 91.749.360,0 86.749.408 98.572.768 3.295.802,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 922.929.056 10 92.292.905,0 91.694.848,0 86.878.144 98.569.568 3.432.775,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 922.165.888 10 92.216.588,0 91.681.504,0 86.778.144 98.545.088 3.452.422,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 967.530.816 10 96.753.081,0 92.277.408,0 86.932.224 141.141.184 15.744.899,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.065.311.104 10 106.531.110,0 92.529.408,0 86.807.552 164.988.800 30.876.094,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 925.857.728 10 92.585.772,0 91.943.232,0 86.753.312 101.662.464 3.812.852,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 919.009.344 10 91.900.934,0 91.712.240,0 86.781.792 95.651.136 2.870.200,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 920.959.840 10 92.095.984,0 91.750.832,0 86.938.240 98.599.936 3.109.223,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 939.107.008 10 93.910.700,0 92.758.704,0 86.751.104 104.319.168 4.877.030,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 954.928.192 10 95.492.819,0 93.300.640,0 86.967.680 118.384.800 8.665.697,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.075.588.320 10 107.558.832,0 92.544.368,0 86.998.560 178.010.592 32.289.655,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 961.013.152 10 96.101.315,0 92.601.840,0 86.899.072 126.667.456 11.183.935,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 919.307.808 10 91.930.780,0 91.735.344,0 86.706.144 98.588.704 3.259.588,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.109.457.056 10 110.945.705,0 91.637.328,0 86.970.432 192.036.608 40.846.620,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 933.310.368 10 93.331.036,0 92.248.672,0 86.728.000 99.038.848 3.805.792,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.670.714.816 10 167.071.481,0 185.757.152,0 95.155.680 221.109.632 50.909.854,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.648.285.088 10 164.828.508,0 186.588.304,0 92.513.856 210.477.344 48.712.219,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 934.245.632 10 93.424.563,0 92.080.432,0 86.852.896 100.403.616 4.071.447,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 986.029.344 10 98.602.934,0 93.769.280,0 86.875.008 148.887.776 17.967.603,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 957.033.920 10 95.703.392,0 93.577.008,0 86.949.792 120.185.696 9.197.372,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 916.821.024 10 91.682.102,0 91.666.112,0 86.909.824 98.630.720 3.033.179,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
45,0 1.656.479.360 10 165.647.936,0 183.619.760,0 88.873.504 211.578.304 46.604.978,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.091.890.080 10 109.189.008,0 94.068.656,0 86.762.240 175.106.144 29.064.223,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 922.905.184 10 92.290.518,0 91.790.528,0 86.845.376 98.568.864 3.413.979,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
41,0 941.438.528 10 94.143.852,0 92.497.920,0 86.824.000 109.209.664 6.097.574,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
45,0 1.906.020.288 10 190.602.028,0 191.438.416,0 147.986.528 229.408.128 24.677.340,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.026.757.056 10 102.675.705,0 93.033.664,0 86.952.512 172.114.048 25.379.998,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.175.929.952 10 117.592.995,0 91.654.640,0 86.765.696 187.011.328 44.036.330,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 983.329.152 10 98.332.915,0 93.800.576,0 86.860.384 127.881.568 12.407.593,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
