     35.4       1282102624       3900     328744.3     346144.0     253856     464896      40628.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1305655552       3900     334783.5     346208.0     253600     445824      36434.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.6       1313422048       3900     336774.9     346208.0     253856     428928      34514.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.9       1129203904       3900     289539.5     264528.0     203360     456960      55784.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.7       1236326976       3900     317006.9     345856.0     205376     432896      49348.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1288341408       3900     330344.0     346048.0     253920     433344      39546.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.4       1368694880       3900     350947.4     346496.0     339232     432864      11230.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.4       1298451936       3900     332936.4     346144.0     253888     432928      37935.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.9       1166504032       3900     299103.6     269536.0     206304     440416      52655.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.5       1218920352       3900     312543.7     345760.0     254432     430496      45622.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1151964160       3900     295375.4     264576.0     254688     432800      44504.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.6       1154507616       3900     296027.6     264688.0     253568     433088      44604.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.1       1102851232       3900     282782.4     260144.0     202880     452256      50155.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.6       1162322656       3900     298031.5     265296.0     218144     432928      45133.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.0       1368929984       3900     351007.7     346464.0     338144     431232      11307.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.3       1152364896       3900     295478.2     264640.0     253632     432448      44536.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.9       1285506688       3900     329617.1     346272.0     203136     432160      47761.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1133146656       3900     290550.4     261216.0     253888     429504      42938.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.9       1211629088       3900     310674.1     345760.0     253664     435360      45767.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.7       1202165024       3900     308247.4     345728.0     254464     432992      45882.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.5       1368081824       3900     350790.2     346560.0     338048     426496      11047.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1292608704       3900     331438.1     346016.0     253984     432064      38668.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1134768064       3900     290966.2     261920.0     205696     430464      47424.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.1       1236456032       3900     317040.0     345792.0     253856     429088      44885.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1105975232       3900     283583.4     260096.0     254112     431680      39471.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1163110304       3900     298233.4     265344.0     254432     432672      45057.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.6       1368080768       3900     350789.9     346368.0     339584     450272      11303.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.5       1123678272       3900     288122.6     261312.0     206688     431840      54921.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1367840224       3900     350728.3     346400.0     338528     433408      11102.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.1       1368006976       3900     350771.0     346368.0     339200     451616      11204.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1319797984       3900     338409.7     346208.0     253504     433408      33027.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.2       1220765920       3900     313016.9     345760.0     253824     433504      45464.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.7       1201457984       3900     308066.1     345696.0     254080     432864      45859.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.6       1258200064       3900     322615.4     345920.0     253920     433920      43415.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.7       1266785696       3900     324816.8     345920.0     253888     433472      42507.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1098265824       3900     281606.6     259968.0     206208     433344      42650.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33.7       1240824448       3900     318160.1     345824.0     254272     430848      44827.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1118234720       3900     286726.9     260256.0     253600     430880      41163.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.7       1294732928       3900     331982.8     346208.0     254688     452128      38439.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1367731904       3900     350700.5     346432.0     338528     442336      11159.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.5       1262228736       3900     323648.4     345856.0     254112     462048      42866.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
