1,0 1.688.845.376 6.000 281.474,0 278.784,0 276.800 651.552 30.781,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.813.664 6.000 278.802,0 278.560,0 276.480 654.624 8.458,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.362.752 6.000 278.727,0 278.400,0 276.352 652.320 9.774,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.656.090.944 6.000 276.015,0 275.232,0 272.544 649.760 10.227,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.679.450.656 6.000 279.908,0 278.496,0 276.128 652.544 22.377,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.652.788.768 6.000 275.464,0 275.104,0 272.480 652.096 9.964,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.917.152 6.000 278.986,0 278.752,0 276.672 656.416 8.448,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.574.112 6.000 278.762,0 278.496,0 276.480 656.704 8.532,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.607.488 6.000 278.934,0 278.592,0 276.736 647.456 10.736,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.141.216 6.000 279.190,0 278.912,0 276.768 650.016 8.581,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.855.424 6.000 279.142,0 278.784,0 276.480 650.144 9.847,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.473.664 6.000 279.412,0 278.816,0 276.704 1.355.520 18.134,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.710.560 6.000 275.618,0 275.232,0 272.576 648.992 10.652,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.855.072 6.000 279.309,0 278.656,0 276.608 650.400 14.398,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.513.408 6.000 278.918,0 278.592,0 276.512 656.352 9.617,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.427.776 6.000 279.404,0 278.912,0 276.640 650.976 11.084,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.841.408 6.000 279.473,0 279.040,0 276.896 1.118.048 14.480,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.577.216 6.000 279.262,0 278.720,0 276.608 648.832 10.437,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.321.568 6.000 278.886,0 278.560,0 276.608 1.097.056 12.839,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.675.488 6.000 279.112,0 278.624,0 276.384 652.384 12.670,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.294.272 6.000 279.215,0 278.720,0 276.576 682.944 12.989,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.686.120.192 6.000 281.020,0 278.304,0 276.256 688.352 31.199,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.689.376 6.000 279.114,0 278.784,0 276.864 658.592 9.823,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.999.360 6.000 275.333,0 274.848,0 272.320 649.184 9.061,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.200.160 6.000 278.866,0 278.464,0 276.512 660.192 10.960,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.272.864 6.000 279.545,0 278.816,0 276.640 1.484.576 20.723,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.068.320 6.000 275.511,0 275.136,0 272.512 651.456 8.719,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.655.451.872 6.000 275.908,0 275.040,0 271.968 672.768 11.460,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.408.032 6.000 279.234,0 278.752,0 276.352 646.496 12.646,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.714.048 6.000 279.119,0 278.656,0 276.576 677.440 10.201,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.217.888 6.000 278.869,0 278.528,0 276.480 657.792 8.796,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.241.440 6.000 278.706,0 278.336,0 276.416 677.344 10.949,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.217.568 6.000 279.202,0 278.208,0 276.064 655.872 18.002,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.179.296 6.000 279.196,0 278.816,0 276.832 650.816 10.783,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.870.624 6.000 279.311,0 278.880,0 277.120 663.520 10.895,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.528.320 6.000 275.588,0 275.328,0 273.088 653.952 8.603,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.122.144 6.000 275.187,0 274.944,0 272.224 651.264 8.549,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.708.320 6.000 278.951,0 278.592,0 276.608 654.400 10.740,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.838.880 6.000 278.973,0 278.624,0 276.768 656.416 10.828,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.949.728 6.000 279.325,0 278.656,0 276.736 1.532.512 21.818,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.681.727.168 6.000 280.287,0 278.656,0 276.672 651.424 22.135,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.780.352 6.000 279.630,0 278.976,0 277.056 655.136 14.564,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.611.424 6.000 279.435,0 278.912,0 276.768 654.464 11.966,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.077.472 6.000 279.179,0 278.656,0 276.608 1.084.576 15.101,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.774.688 6.000 279.129,0 278.784,0 276.576 649.056 9.838,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.684.548.544 6.000 280.758,0 278.560,0 276.480 654.848 27.845,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.558.432 6.000 279.259,0 278.944,0 277.024 654.560 9.685,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.608.800 6.000 279.268,0 278.720,0 276.288 668.640 11.331,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.657.048.928 6.000 276.174,0 275.136,0 272.064 3.879.904 47.107,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.598.912 6.000 279.433,0 279.008,0 276.704 657.696 11.838,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.847.968 6.000 279.141,0 278.816,0 275.232 651.008 9.689,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.105.856 6.000 279.184,0 278.656,0 276.320 660.192 13.586,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.990.368 6.000 279.165,0 278.784,0 276.576 650.304 9.925,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.678.805.120 6.000 279.800,0 279.008,0 276.928 3.603.744 43.740,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.659.622.432 6.000 276.603,0 275.488,0 272.608 2.367.136 35.231,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.652.228.800 6.000 275.371,0 274.720,0 272.032 652.960 9.960,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.974.720 6.000 279.662,0 279.200,0 276.800 658.240 12.790,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.483.296 6.000 279.247,0 278.880,0 276.864 679.872 10.968,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.679.071.360 6.000 279.845,0 279.264,0 277.088 655.616 14.059,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.497.120 6.000 275.749,0 274.976,0 272.128 651.008 8.992,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.112.576 6.000 278.685,0 278.336,0 276.256 669.120 9.935,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.658.783.360 6.000 276.463,0 275.776,0 272.704 1.126.368 15.503,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.664.682.176 6.000 277.447,0 275.296,0 272.224 659.104 16.937,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.692.736 6.000 275.615,0 275.072,0 272.512 1.518.240 18.843,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.681.835.584 6.000 280.305,0 278.592,0 276.352 660.288 24.836,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.631.456 6.000 279.271,0 278.752,0 276.608 649.888 13.517,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
