0,0 16.800 3 5.600,0 5.600,0 4.544 6.656 1.056,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.944 3 7.648,0 8.224,0 6.304 8.416 1.167,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.568,0 4.128 6.752 1.314,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.672 3 5.557,0 5.568,0 4.256 6.848 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.864 3 5.621,0 5.856,0 4.256 6.752 1.264,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.768 3 5.589,0 5.600,0 4.384 6.784 1.200,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.600 3 7.200,0 7.488,0 6.176 7.936 914,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.936 3 5.312,0 5.184,0 3.968 6.784 1.412,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.744 3 5.248,0 5.152,0 3.840 6.752 1.458,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.544 3 5.514,0 5.696,0 4.160 6.688 1.273,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.752 3 7.584,0 8.032,0 6.240 8.480 1.185,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.400 3 7.466,0 8.032,0 6.304 8.064 1.007,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.376,0 4.192 6.752 1.281,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.064 3 5.354,0 5.568,0 3.904 6.592 1.356,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.632,0 4.064 6.720 1.335,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.544 3 5.514,0 6.016,0 3.968 6.560 1.366,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.160 3 5.386,0 5.632,0 4.000 6.528 1.281,0 CUDA_KERNEL lud_internal(float *, int, int)
