4,0 107.136 3 35.712,0 35.616,0 34.688 36.832 1.075,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.552 3 35.850,0 36.000,0 34.464 37.088 1.318,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.424 3 35.808,0 35.712,0 34.496 37.216 1.362,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 113.120 3 37.706,0 37.440,0 36.832 38.848 1.034,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.840 3 35.946,0 35.872,0 35.104 36.864 882,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.328 3 35.776,0 35.840,0 34.432 37.056 1.313,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.392 3 35.797,0 35.904,0 34.336 37.152 1.411,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.328 3 35.776,0 35.680,0 34.656 36.992 1.171,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 113.184 3 37.728,0 37.376,0 36.032 39.776 1.896,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.808 3 35.936,0 35.712,0 34.976 37.120 1.089,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 106.880 3 35.626,0 35.232,0 34.688 36.960 1.186,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.456 3 35.818,0 35.808,0 34.592 37.056 1.232,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 114.304 3 38.101,0 37.024,0 36.960 40.320 1.921,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 113.568 3 37.856,0 37.888,0 36.448 39.232 1.392,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.680 3 35.893,0 35.904,0 34.624 37.152 1.264,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.264 3 35.754,0 35.904,0 35.136 36.224 559,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.200 3 35.733,0 35.744,0 34.400 37.056 1.328,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.552 3 35.850,0 36.128,0 35.072 36.352 683,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.096 3 36.032,0 36.064,0 34.816 37.216 1.200,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.192 3 36.064,0 35.904,0 34.528 37.760 1.621,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.360 3 35.786,0 35.648,0 34.624 37.088 1.237,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 113.696 3 37.898,0 37.824,0 36.384 39.488 1.553,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.200 3 35.733,0 35.392,0 35.264 36.544 705,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.320 3 36.106,0 36.384,0 35.168 36.768 835,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.552 3 35.850,0 35.872,0 34.528 37.152 1.312,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.416 3 36.138,0 35.584,0 35.168 37.664 1.337,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.168 3 35.722,0 35.680,0 34.368 37.120 1.376,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.896 3 36.298,0 35.936,0 35.072 37.888 1.442,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.424 3 35.808,0 35.840,0 34.592 36.992 1.200,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.352 3 36.117,0 36.544,0 34.592 37.216 1.363,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.200 3 35.733,0 35.616,0 34.528 37.056 1.268,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.808 3 35.936,0 35.776,0 35.008 37.024 1.017,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.872 3 35.957,0 35.936,0 35.104 36.832 864,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.776 3 35.925,0 36.064,0 34.592 37.120 1.269,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.256 3 36.085,0 35.904,0 34.464 37.888 1.719,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 113.856 3 37.952,0 37.408,0 37.344 39.104 998,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.200 3 35.733,0 35.424,0 34.656 37.120 1.260,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.864 3 36.288,0 36.640,0 35.168 37.056 992,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.552 3 35.850,0 35.808,0 34.304 37.440 1.568,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 106.944 3 35.648,0 35.296,0 34.528 37.120 1.331,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 121.024 3 40.341,0 40.800,0 39.328 40.896 878,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.512 3 36.170,0 35.840,0 34.496 38.176 1.862,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.384 3 36.128,0 36.384,0 34.720 37.280 1.299,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.424 3 35.808,0 36.192,0 34.304 36.928 1.353,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.168 3 35.722,0 35.872,0 34.336 36.960 1.318,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.872 3 35.957,0 36.384,0 34.336 37.152 1.455,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.136 3 35.712,0 35.712,0 34.368 37.056 1.344,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.968 3 35.989,0 35.808,0 34.432 37.728 1.655,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 109.728 3 36.576,0 36.320,0 35.328 38.080 1.393,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.360 3 35.786,0 35.840,0 34.464 37.056 1.296,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.360 3 35.786,0 35.840,0 34.336 37.184 1.424,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 107.456 3 35.818,0 35.872,0 34.528 37.056 1.264,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.544 3 36.181,0 36.128,0 34.944 37.472 1.264,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.520 3 35.840,0 35.872,0 34.496 37.152 1.328,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 106.464 3 35.488,0 35.264,0 35.040 36.160 592,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.680 3 35.893,0 35.808,0 34.688 37.184 1.250,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 106.144 3 35.381,0 35.360,0 34.336 36.448 1.056,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.136 3 35.712,0 36.096,0 34.304 36.736 1.260,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.584 3 35.861,0 35.872,0 34.528 37.184 1.328,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 107.520 3 35.840,0 35.968,0 34.656 36.896 1.125,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 111.232 3 37.077,0 37.088,0 35.648 38.496 1.424,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.392 3 35.797,0 35.872,0 34.496 37.024 1.265,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.552 3 35.850,0 35.840,0 34.592 37.120 1.264,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.776 3 35.925,0 35.424,0 35.232 37.120 1.039,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.072 3 35.690,0 35.296,0 35.200 36.576 768,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.520 3 35.840,0 35.808,0 34.880 36.832 976,0 CUDA_KERNEL lud_perimeter(float *, int, int)
