4,0 130.304 4 32.576,0 31.760,0 31.168 35.616 2.060,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 129.824 4 32.456,0 31.616,0 31.136 35.456 2.045,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.848 4 32.712,0 31.952,0 31.168 35.776 2.076,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.856 4 34.464,0 33.168,0 32.768 38.752 2.871,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.496 4 32.624,0 32.032,0 31.136 35.296 1.830,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.464 4 32.616,0 32.096,0 31.168 35.104 1.716,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.752 4 32.688,0 32.032,0 31.200 35.488 1.910,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.104 4 32.776,0 32.032,0 31.200 35.840 2.081,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.088 4 34.272,0 32.832,0 32.704 38.720 2.966,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.432 4 32.608,0 31.584,0 31.136 36.128 2.380,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.888 4 32.472,0 31.648,0 31.200 35.392 1.987,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.848 4 32.712,0 32.048,0 31.168 35.584 1.959,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.720 4 34.680,0 33.648,0 32.832 38.592 2.636,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.048 4 34.512,0 33.200,0 32.704 38.944 2.979,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.072 4 32.768,0 31.984,0 31.136 35.968 2.170,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 128.672 4 32.168,0 31.248,0 31.136 35.040 1.915,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.504 4 32.376,0 31.632,0 31.168 35.072 1.844,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.792 4 32.448,0 31.520,0 31.200 35.552 2.076,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.784 4 32.696,0 31.808,0 31.136 36.032 2.276,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.464 4 32.616,0 31.504,0 31.136 36.320 2.477,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 128.864 4 32.216,0 31.296,0 31.136 35.136 1.950,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 136.992 4 34.248,0 33.184,0 32.768 37.856 2.413,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.728 4 32.432,0 31.376,0 31.296 35.680 2.166,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.728 4 32.432,0 31.968,0 31.136 34.656 1.535,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.504 4 32.376,0 31.184,0 31.136 36.000 2.416,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.952 4 32.488,0 31.696,0 31.200 35.360 1.936,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.336 4 32.584,0 31.760,0 31.200 35.616 2.053,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.496 4 32.624,0 31.904,0 31.232 35.456 1.939,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 129.792 4 32.448,0 31.648,0 31.168 35.328 1.967,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.656 4 32.664,0 32.000,0 31.200 35.456 1.899,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.360 4 32.840,0 32.000,0 31.136 36.224 2.293,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.144 4 32.536,0 31.632,0 31.168 35.712 2.149,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.592 4 32.648,0 32.000,0 31.136 35.456 1.916,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.008 4 32.752,0 31.968,0 31.168 35.904 2.137,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.600 4 32.400,0 31.584,0 31.200 35.232 1.922,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.144 4 34.536,0 33.136,0 33.120 38.752 2.810,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.648 4 32.912,0 32.048,0 31.200 36.352 2.327,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.344 4 32.336,0 31.392,0 31.232 35.328 1.996,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.240 4 32.560,0 31.728,0 31.168 35.616 2.066,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.008 4 32.752,0 31.968,0 31.680 35.392 1.765,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.296 4 36.824,0 35.744,0 35.584 40.224 2.270,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.240 4 32.560,0 31.568,0 31.104 36.000 2.320,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.088 4 32.272,0 31.408,0 31.168 35.104 1.891,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.528 4 32.632,0 32.000,0 31.232 35.296 1.821,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.560 4 32.640,0 31.696,0 31.200 35.968 2.267,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.792 4 32.448,0 31.584,0 31.136 35.488 2.039,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.496 4 32.624,0 32.016,0 31.136 35.328 1.850,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.336 4 32.584,0 31.536,0 31.136 36.128 2.386,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.560 4 32.640,0 31.760,0 31.136 35.904 2.195,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.616 4 32.904,0 31.984,0 31.136 36.512 2.438,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.976 4 32.744,0 32.016,0 31.168 35.776 2.060,0 CUDA_KERNEL lud_diagonal(float *, int, int)
3,0 130.944 4 32.736,0 31.760,0 31.136 36.288 2.389,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.368 4 32.592,0 31.552,0 31.168 36.096 2.357,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.424 4 32.856,0 32.064,0 31.232 36.064 2.175,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.432 4 32.608,0 31.408,0 31.168 36.448 2.563,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 131.040 4 32.760,0 32.016,0 31.136 35.872 2.116,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.592 4 32.648,0 31.824,0 31.200 35.744 2.094,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.824 4 32.456,0 31.776,0 31.136 35.136 1.815,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.488 4 32.872,0 32.096,0 31.968 35.328 1.640,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 130.688 4 32.672,0 32.032,0 31.200 35.424 1.876,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 134.464 4 33.616,0 32.576,0 32.256 37.056 2.305,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.816 4 32.704,0 31.920,0 31.168 35.808 2.099,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 131.072 4 32.768,0 32.048,0 31.136 35.840 2.093,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.248 4 32.312,0 31.424,0 31.104 35.296 1.996,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.624 4 32.656,0 31.744,0 31.136 36.000 2.251,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.592 4 32.648,0 31.872,0 31.168 35.680 2.048,0 CUDA_KERNEL lud_diagonal(float *, int, int)
