0,0 25.248 2 12.624,0 12.624,0 8.224 17.024 6.222,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.120 2 12.560,0 12.560,0 8.320 16.800 5.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.640 2 12.320,0 12.320,0 8.160 16.480 5.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.560 2 9.280,0 9.280,0 6.592 11.968 3.801,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.992 2 12.496,0 12.496,0 8.352 16.640 5.860,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.600 2 12.800,0 12.800,0 8.928 16.672 5.475,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.656 2 13.328,0 13.328,0 8.320 18.336 7.082,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.704 2 12.352,0 12.352,0 8.160 16.544 5.928,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.544 2 12.272,0 12.272,0 8.192 16.352 5.770,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.920 2 12.960,0 12.960,0 8.128 17.792 6.833,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.216 2 12.608,0 12.608,0 8.288 16.928 6.109,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.928 2 12.464,0 12.464,0 8.192 16.736 6.041,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.888 2 8.944,0 8.944,0 6.048 11.840 4.095,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.952 2 12.976,0 12.976,0 8.544 17.408 6.267,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.056 2 12.528,0 12.528,0 8.416 16.640 5.815,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.400 2 13.200,0 13.200,0 8.288 18.112 6.946,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.440 2 12.720,0 12.720,0 9.024 16.416 5.226,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.088 2 12.544,0 12.544,0 8.256 16.832 6.064,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.792 2 8.896,0 8.896,0 6.048 11.744 4.027,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 17.664 2 8.832,0 8.832,0 6.048 11.616 3.937,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.856 2 8.928,0 8.928,0 6.080 11.776 4.027,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.896 2 12.448,0 12.448,0 8.192 16.704 6.018,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.808 2 7.904,0 7.904,0 5.280 10.528 3.710,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.344 2 12.672,0 12.672,0 8.416 16.928 6.018,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.048 2 13.024,0 13.024,0 8.288 17.760 6.697,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.280 2 6.640,0 6.640,0 4.288 8.992 3.326,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.952 2 8.976,0 8.976,0 6.240 11.712 3.869,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 15.808 2 7.904,0 7.904,0 5.312 10.496 3.665,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.016 2 13.008,0 13.008,0 8.256 17.760 6.720,0 CUDA_KERNEL Fan1(float *, float *, int, int)
