27,0 2.835.552 1 2.835.552,0 2.835.552,0 2.835.552 2.835.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.832 1 2.832.832,0 2.832.832,0 2.832.832 2.832.832 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.488 1 2.835.488,0 2.835.488,0 2.835.488 2.835.488 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 2.833.440 1 2.833.440,0 2.833.440,0 2.833.440 2.833.440 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.836.192 1 2.836.192,0 2.836.192,0 2.836.192 2.836.192 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.833.056 1 2.833.056,0 2.833.056,0 2.833.056 2.833.056 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.360 1 2.835.360,0 2.835.360,0 2.835.360 2.835.360 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.838.176 1 2.838.176,0 2.838.176,0 2.838.176 2.838.176 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.833.056 1 2.833.056,0 2.833.056,0 2.833.056 2.833.056 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.124.896 1 2.124.896,0 2.124.896,0 2.124.896 2.124.896 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.400 1 2.834.400,0 2.834.400,0 2.834.400 2.834.400 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.831.616 1 2.831.616,0 2.831.616,0 2.831.616 2.831.616 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.833.792 1 2.833.792,0 2.833.792,0 2.833.792 2.833.792 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.568 1 2.833.568,0 2.833.568,0 2.833.568 2.833.568 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.831.296 1 2.831.296,0 2.831.296,0 2.831.296 2.831.296 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.830.336 1 2.830.336,0 2.830.336,0 2.830.336 2.830.336 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.836.384 1 2.836.384,0 2.836.384,0 2.836.384 2.836.384 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 2.831.968 1 2.831.968,0 2.831.968,0 2.831.968 2.831.968 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
24,0 2.834.752 1 2.834.752,0 2.834.752,0 2.834.752 2.834.752 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.830.816 1 2.830.816,0 2.830.816,0 2.830.816 2.830.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.835.936 1 2.835.936,0 2.835.936,0 2.835.936 2.835.936 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.832.960 1 2.832.960,0 2.832.960,0 2.832.960 2.832.960 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.960 1 2.832.960,0 2.832.960,0 2.832.960 2.832.960 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.833.568 1 2.833.568,0 2.833.568,0 2.833.568 2.833.568 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.912 1 2.834.912,0 2.834.912,0 2.834.912 2.834.912 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.831.360 1 2.831.360,0 2.831.360,0 2.831.360 2.831.360 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
22,0 2.125.440 1 2.125.440,0 2.125.440,0 2.125.440 2.125.440 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.835.552 1 2.835.552,0 2.835.552,0 2.835.552 2.835.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.984 1 2.833.984,0 2.833.984,0 2.833.984 2.833.984 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.834.464 1 2.834.464,0 2.834.464,0 2.834.464 2.834.464 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.831.712 1 2.831.712,0 2.831.712,0 2.831.712 2.831.712 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.831.168 1 2.831.168,0 2.831.168,0 2.831.168 2.831.168 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.088 1 2.833.088,0 2.833.088,0 2.833.088 2.833.088 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.834.304 1 2.834.304,0 2.834.304,0 2.834.304 2.834.304 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.696 1 2.833.696,0 2.833.696,0 2.833.696 2.833.696 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
17,0 1.425.024 1 1.425.024,0 1.425.024,0 1.425.024 1.425.024 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.836.128 1 2.836.128,0 2.836.128,0 2.836.128 2.836.128 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.830.656 1 2.830.656,0 2.830.656,0 2.830.656 2.830.656 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.836.000 1 2.836.000,0 2.836.000,0 2.836.000 2.836.000 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.833.056 1 2.833.056,0 2.833.056,0 2.833.056 2.833.056 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
