0.0 70048 8 8756.0 8256.0 8000 11360 1105.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70912 8 8864.0 8672.0 8096 10688 809.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69888 8 8736.0 8352.0 8096 11424 1105.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 54208 8 6776.0 6688.0 6208 8032 628.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70048 8 8756.0 8544.0 8224 10432 739.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70336 8 8792.0 8336.0 8224 11776 1211.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69408 8 8676.0 8352.0 8160 10688 843.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68000 8 8500.0 8352.0 7936 10368 776.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68992 8 8624.0 8416.0 8160 10304 696.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69216 8 8652.0 8352.0 7872 10400 802.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 36032 8 4504.0 4192.0 3968 5792 633.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69760 8 8720.0 8480.0 8192 10304 697.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 52896 8 6612.0 6416.0 5888 7968 683.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68544 8 8568.0 8240.0 7840 11296 1117.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68704 8 8588.0 8368.0 7936 10272 716.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 55360 8 6920.0 6752.0 6240 8064 680.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68544 8 8568.0 8352.0 7904 10336 742.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 36896 8 4612.0 4240.0 3968 5824 735.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68544 8 8568.0 8320.0 7776 10336 777.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 67744 8 8468.0 8288.0 7936 10240 728.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69568 8 8696.0 8512.0 7904 10368 780.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69760 8 8720.0 8496.0 8096 10336 724.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68384 8 8548.0 8304.0 8096 10336 736.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69664 8 8708.0 8464.0 7936 10432 776.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69824 8 8728.0 8624.0 8160 10240 661.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69664 8 8708.0 8352.0 8032 10848 910.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69248 8 8656.0 8560.0 8096 10272 686.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69984 8 8748.0 8384.0 8128 10528 790.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69504 8 8688.0 8416.0 8160 10432 749.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68256 8 8532.0 8320.0 8000 10464 790.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70176 8 8772.0 8592.0 8128 10336 720.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70240 8 8780.0 8304.0 8096 11360 1106.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69920 8 8740.0 8352.0 8128 10368 790.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68032 8 8504.0 8272.0 7808 10368 789.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68032 8 8504.0 8224.0 7744 10688 909.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68768 8 8596.0 8320.0 8128 10368 743.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68640 8 8580.0 8352.0 8128 10272 697.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68256 8 8532.0 8272.0 8000 10400 774.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69600 8 8700.0 8384.0 8160 10368 776.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69344 8 8668.0 8288.0 7872 11296 1085.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68960 8 8620.0 8320.0 7968 10336 767.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 54912 8 6864.0 6848.0 6176 8128 660.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68352 8 8544.0 8368.0 7840 10464 798.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 52608 8 6576.0 6336.0 6080 8128 665.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68224 8 8528.0 8272.0 8192 10400 758.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69728 8 8716.0 8352.0 8192 10304 764.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69600 8 8700.0 8336.0 8128 10336 740.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70752 8 8844.0 8624.0 7872 11584 1147.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
