0.1 188128 8 23516.0 25024.0 12160 28832 5575.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185856 8 23232.0 24944.0 11232 28832 5798.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188512 8 23564.0 25472.0 11744 28640 5563.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185760 8 23220.0 24736.0 11648 28512 5507.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185760 8 23220.0 24624.0 11808 28768 5500.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 189696 8 23712.0 24768.0 12512 29760 5501.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185984 8 23248.0 24816.0 11488 28896 5715.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 142080 8 17760.0 18880.0 9344 22144 4197.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187776 8 23472.0 24864.0 12000 29024 5703.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187584 8 23448.0 24864.0 11904 28864 5417.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186944 8 23368.0 24704.0 12000 29792 5561.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185728 8 23216.0 24640.0 11872 28768 5416.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188000 8 23500.0 25040.0 11552 29600 5829.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186880 8 23360.0 24944.0 11968 29152 5546.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 96928 8 12116.0 13248.0 5760 15680 3152.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186880 8 23360.0 24848.0 12128 29216 5485.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 141952 8 17744.0 18912.0 9152 22432 4331.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187744 8 23468.0 24880.0 12256 29472 5563.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188608 8 23576.0 25168.0 12128 29504 5446.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 141984 8 17748.0 18752.0 8800 22048 4310.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185824 8 23228.0 24704.0 11168 29600 5826.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 96736 8 12092.0 13040.0 5728 14688 2944.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186880 8 23360.0 25168.0 12256 28032 5476.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186944 8 23368.0 24944.0 11904 28736 5495.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 189024 8 23628.0 24800.0 12128 29024 5462.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186752 8 23344.0 24800.0 12192 28864 5415.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187584 8 23448.0 24864.0 12032 29760 5577.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188160 8 23520.0 24976.0 11328 29440 5882.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185600 8 23200.0 24928.0 11872 28960 5553.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187264 8 23408.0 24784.0 11904 29408 5646.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187936 8 23492.0 24352.0 11328 30816 5992.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187680 8 23460.0 24624.0 11776 29600 5765.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187744 8 23468.0 25200.0 12000 29184 5561.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186816 8 23352.0 25152.0 11808 28736 5497.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187296 8 23412.0 24896.0 12064 28704 5557.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186848 8 23356.0 24912.0 11872 29856 5682.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187424 8 23428.0 25024.0 11424 29632 5781.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186048 8 23256.0 24848.0 11936 28832 5470.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186048 8 23256.0 24640.0 12000 28960 5546.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185312 8 23164.0 24672.0 11776 28800 5435.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186624 8 23328.0 24784.0 11392 29024 5682.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188384 8 23548.0 24880.0 11776 28800 5584.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185312 8 23164.0 24752.0 11616 28320 5584.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186688 8 23336.0 24848.0 11296 29280 5773.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187104 8 23388.0 25152.0 11520 28992 5656.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 142592 8 17824.0 18848.0 8736 22464 4408.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188832 8 23604.0 24992.0 12128 29088 5424.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 142112 8 17764.0 18896.0 8640 22272 4468.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185152 8 23144.0 24496.0 11392 29184 5621.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186464 8 23308.0 24800.0 11488 29248 5610.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187168 8 23396.0 24608.0 11360 29696 5850.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187200 8 23400.0 24720.0 11904 29472 5499.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185472 8 23184.0 24752.0 12000 29248 5526.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186464 8 23308.0 24800.0 12064 29600 5559.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 96896 8 12112.0 12944.0 5760 15424 3104.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186976 8 23372.0 24784.0 11872 28640 5506.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186208 8 23276.0 24928.0 11296 29376 5778.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 183328 8 22916.0 24432.0 11488 29056 5538.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185792 8 23224.0 24784.0 11296 29024 5724.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185056 8 23132.0 24576.0 12128 28800 5441.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185984 8 23248.0 24816.0 11296 29440 5783.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187200 8 23400.0 25104.0 11264 29344 5844.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185632 8 23204.0 24480.0 11680 28928 5579.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 184384 8 23048.0 24528.0 11328 28864 5557.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 184704 8 23088.0 24448.0 12000 29184 5269.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185728 8 23216.0 24720.0 11296 28832 5701.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187296 8 23412.0 24848.0 12096 29312 5505.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 98560 8 12320.0 13056.0 7136 15168 2534.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187808 8 23476.0 24752.0 11520 29600 5703.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187232 8 23404.0 25120.0 11424 28576 5693.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185504 8 23188.0 24848.0 11296 29056 5723.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187808 8 23476.0 25328.0 11648 28800 5644.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185088 8 23136.0 24576.0 11328 29024 5692.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187552 8 23444.0 24864.0 12160 29952 5737.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 99232 8 12404.0 13456.0 6240 15776 2977.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187104 8 23388.0 24512.0 12096 28960 5428.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 99040 8 12380.0 13408.0 5760 14976 3008.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185952 8 23244.0 24800.0 11968 28576 5379.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186912 8 23364.0 24672.0 11776 28608 5450.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
