7,0 21.513.408 12 1.792.784,0 567.872,0 211.296 8.955.744 2.610.758,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.464.448 12 1.788.704,0 575.504,0 210.464 8.943.808 2.606.734,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.573.440 12 1.797.786,0 588.688,0 213.024 8.936.832 2.603.540,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.458.304 12 1.788.192,0 575.776,0 212.320 8.943.008 2.606.929,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.524.608 12 1.793.717,0 573.552,0 210.816 8.946.912 2.608.911,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 15.868.640 12 1.322.386,0 409.344,0 154.528 6.705.984 1.956.629,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.461.184 12 1.788.432,0 572.064,0 212.576 8.939.328 2.605.973,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.397.952 12 1.783.162,0 572.176,0 210.656 8.948.096 2.606.735,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.424.672 12 1.785.389,0 568.864,0 211.392 8.939.488 2.605.444,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.465.248 12 1.788.770,0 569.664,0 213.472 8.946.080 2.607.237,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.451.936 12 1.787.661,0 574.400,0 212.096 8.946.944 2.607.528,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.427.584 12 1.785.632,0 565.008,0 212.704 8.943.424 2.606.690,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.454.560 12 1.787.880,0 568.080,0 210.208 8.939.936 2.606.990,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.392.576 12 1.782.714,0 563.264,0 208.864 8.933.440 2.603.589,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.464.832 12 1.788.736,0 566.368,0 211.584 8.949.728 2.609.855,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.419.808 12 1.784.984,0 563.360,0 210.752 8.933.632 2.604.681,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.481.888 12 1.790.157,0 581.856,0 212.352 8.939.840 2.602.815,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.493.984 12 1.791.165,0 571.328,0 210.880 8.940.768 2.607.657,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 16.769.504 12 1.397.458,0 419.200,0 159.392 6.686.528 1.974.046,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.531.232 12 1.794.269,0 572.608,0 211.712 8.934.112 2.606.679,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.529.664 12 1.794.138,0 578.944,0 211.584 8.934.464 2.606.332,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.481.056 12 1.790.088,0 580.848,0 213.344 8.935.648 2.602.733,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.447.872 12 1.787.322,0 573.536,0 211.104 8.936.960 2.604.723,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.510.432 12 1.792.536,0 573.152,0 214.048 8.942.816 2.607.207,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.439.296 12 1.786.608,0 570.320,0 213.152 8.943.296 2.606.662,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.498.240 12 1.791.520,0 583.600,0 212.960 8.946.272 2.606.441,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.451.872 12 1.787.656,0 570.944,0 211.616 8.942.080 2.605.421,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.504.128 12 1.792.010,0 572.880,0 212.096 8.941.568 2.606.363,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.538.496 12 1.794.874,0 567.760,0 208.864 8.945.728 2.609.649,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.539.648 12 1.794.970,0 569.872,0 212.352 8.941.440 2.608.953,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.453.280 12 1.787.773,0 566.432,0 209.536 8.940.736 2.607.283,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.535.392 12 1.794.616,0 582.512,0 212.992 8.958.176 2.610.279,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.504.448 12 1.792.037,0 569.472,0 211.520 8.946.880 2.609.098,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.426.624 12 1.785.552,0 569.760,0 210.752 8.946.368 2.605.634,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.497.344 12 1.791.445,0 577.920,0 211.616 8.943.584 2.606.780,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.517.632 12 1.793.136,0 567.312,0 210.144 8.929.760 2.606.558,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.498.336 12 1.791.528,0 588.768,0 212.992 8.944.960 2.605.284,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.524.576 12 1.793.714,0 568.144,0 213.888 8.953.536 2.610.429,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.445.280 12 1.787.106,0 572.176,0 213.440 8.927.904 2.602.655,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.538.432 12 1.794.869,0 583.280,0 212.192 8.941.056 2.606.535,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 15.896.096 12 1.324.674,0 413.136,0 156.768 6.695.648 1.953.333,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.413.088 12 1.784.424,0 575.488,0 213.856 8.932.992 2.602.037,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.461.120 12 1.788.426,0 568.768,0 212.864 8.942.880 2.606.319,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.560.288 12 1.796.690,0 583.632,0 212.224 8.932.224 2.603.774,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.492.000 12 1.791.000,0 571.120,0 212.832 8.930.592 2.604.613,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.456.832 12 1.788.069,0 578.112,0 213.376 8.934.400 2.602.619,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.441.344 12 1.786.778,0 570.784,0 211.872 8.935.808 2.604.990,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.463.104 12 1.788.592,0 572.512,0 210.368 8.937.216 2.604.178,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.467.424 12 1.788.952,0 572.944,0 209.824 8.945.952 2.606.996,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.435.872 12 1.786.322,0 572.272,0 213.216 8.938.848 2.604.792,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.507.392 12 1.792.282,0 579.712,0 214.240 8.947.648 2.608.190,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.498.784 12 1.791.565,0 574.432,0 213.920 8.933.248 2.604.915,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.464.928 12 1.788.744,0 570.016,0 212.416 8.931.744 2.604.281,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.459.008 12 1.788.250,0 566.384,0 212.128 8.945.600 2.607.960,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.426.944 12 1.785.578,0 570.896,0 212.928 8.935.712 2.603.196,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.466.784 12 1.788.898,0 572.352,0 212.160 8.949.184 2.608.821,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.538.048 12 1.794.837,0 573.888,0 210.432 8.938.592 2.608.734,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.554.208 12 1.796.184,0 585.120,0 213.472 8.946.880 2.605.799,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.455.712 12 1.787.976,0 578.272,0 210.592 8.942.528 2.604.718,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.503.648 12 1.791.970,0 570.656,0 213.568 8.930.336 2.606.767,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.457.312 12 1.788.109,0 563.136,0 212.992 8.936.032 2.605.614,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.521.632 12 1.793.469,0 573.392,0 211.136 8.941.440 2.608.449,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.480.960 12 1.790.080,0 575.024,0 211.008 8.931.392 2.604.404,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.556.864 12 1.796.405,0 587.984,0 213.408 8.952.576 2.606.437,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.483.904 12 1.790.325,0 565.776,0 212.000 8.945.664 2.610.452,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.532.640 12 1.794.386,0 584.480,0 213.824 8.936.832 2.605.626,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.574.464 12 1.797.872,0 569.568,0 211.680 8.940.736 2.611.244,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.559.328 12 1.796.610,0 572.832,0 213.056 8.938.528 2.608.472,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.432.736 12 1.786.061,0 573.952,0 211.808 8.937.504 2.604.178,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.489.280 12 1.790.773,0 570.816,0 210.944 8.932.032 2.605.272,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.505.984 12 1.792.165,0 568.704,0 209.568 8.938.272 2.607.907,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.479.776 12 1.789.981,0 575.904,0 213.600 8.943.872 2.604.487,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.498.880 12 1.791.573,0 572.400,0 211.744 8.933.440 2.604.139,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.436.992 12 1.786.416,0 569.056,0 212.384 8.931.200 2.603.923,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.491.232 12 1.790.936,0 565.568,0 210.496 8.934.496 2.606.950,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.488.992 12 1.790.749,0 575.280,0 212.096 8.939.296 2.606.109,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.470.176 12 1.789.181,0 578.528,0 209.088 8.940.768 2.605.837,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.500.480 12 1.791.706,0 583.856,0 212.992 8.933.856 2.603.519,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.424.768 12 1.785.397,0 572.176,0 211.904 8.939.104 2.604.901,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.472.640 12 1.789.386,0 570.784,0 213.568 8.939.680 2.606.626,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.422.688 12 1.785.224,0 566.080,0 211.040 8.935.456 2.605.500,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.423.104 12 1.785.258,0 569.760,0 209.760 8.946.144 2.607.011,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.470.720 12 1.789.226,0 564.496,0 210.624 8.932.192 2.604.285,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.472.768 12 1.789.397,0 564.944,0 207.648 8.943.840 2.610.138,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.421.760 12 1.785.146,0 566.016,0 211.328 8.940.928 2.606.443,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.457.536 12 1.788.128,0 573.504,0 210.656 8.939.488 2.606.691,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.603.168 12 1.800.264,0 593.968,0 213.504 8.930.720 2.602.230,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
