0,0 2.361.696 12 196.808,0 215.680,0 145.696 243.072 42.315,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.274.144 12 272.845,0 302.544,0 194.336 346.336 66.381,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.259.584 12 271.632,0 300.064,0 194.880 343.232 65.543,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.266.336 12 272.194,0 301.408,0 194.688 343.616 65.720,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.257.504 12 271.458,0 299.968,0 194.240 342.528 65.395,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.269.152 12 272.429,0 301.472,0 193.888 344.032 65.508,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.285.152 12 273.762,0 305.632,0 194.624 344.224 65.288,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.448 12 272.370,0 302.688,0 194.656 343.552 65.307,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.269.856 12 272.488,0 301.968,0 195.008 344.448 65.373,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.278.368 12 273.197,0 304.976,0 194.272 344.000 65.844,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.262.976 12 271.914,0 301.792,0 194.656 342.656 65.144,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.287.904 12 273.992,0 300.960,0 195.328 342.528 62.915,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.269.632 12 272.469,0 301.744,0 195.008 343.456 65.084,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 2.599.008 12 216.584,0 220.688,0 146.400 294.304 53.743,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.270.432 12 272.536,0 302.656,0 194.880 342.528 65.054,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.254.848 12 271.237,0 298.464,0 194.944 340.416 63.526,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.289.760 12 274.146,0 300.800,0 195.104 343.552 63.466,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.270.720 12 272.560,0 299.424,0 194.656 343.744 64.226,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.284.128 12 273.677,0 305.200,0 194.688 341.472 64.158,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.265.152 12 272.096,0 301.392,0 194.176 343.200 65.329,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.278.496 12 273.208,0 300.432,0 194.272 342.432 63.837,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.281.952 12 273.496,0 302.288,0 194.496 342.848 64.256,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.255.200 12 271.266,0 299.664,0 194.752 340.896 64.370,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.192 12 272.016,0 301.344,0 193.888 342.592 64.772,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.266.368 12 272.197,0 302.928,0 194.272 341.920 64.772,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.263.488 12 271.957,0 301.328,0 194.400 342.432 64.568,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.291.104 12 274.258,0 302.256,0 194.592 344.256 64.382,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.032 12 272.336,0 302.880,0 194.528 344.288 65.681,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.279.520 12 273.293,0 301.968,0 194.624 344.032 65.067,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.283.616 12 273.634,0 300.864,0 194.528 343.200 63.612,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.267.488 12 272.290,0 301.936,0 194.656 344.064 65.389,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.317.376 12 276.448,0 304.848,0 195.520 343.616 62.679,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.261.728 12 271.810,0 302.096,0 194.400 342.080 64.451,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.275.744 12 272.978,0 303.280,0 195.456 343.072 65.094,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.280.128 12 273.344,0 299.920,0 195.328 342.304 63.320,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 2.365.664 12 197.138,0 216.080,0 145.856 242.208 41.758,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.282.688 12 273.557,0 302.768,0 194.944 342.048 63.723,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.266.688 12 272.224,0 301.856,0 194.592 341.664 64.850,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.267.072 12 272.256,0 294.960,0 194.560 343.840 63.667,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.291.808 12 274.317,0 302.640,0 194.496 343.488 63.052,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.284.800 12 273.733,0 304.688,0 194.560 342.496 64.430,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.262.944 12 271.912,0 301.408,0 194.528 342.400 64.820,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
