3,0 3.837.920 12 319.826,0 313.888,0 301.280 349.856 19.008,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.835.584 12 319.632,0 314.080,0 302.240 347.424 18.192,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.829.152 12 319.096,0 312.416,0 299.104 350.016 20.313,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.512 12 319.042,0 312.448,0 299.520 348.352 19.429,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.896 12 319.074,0 312.912,0 299.104 349.280 20.315,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.834.912 12 319.576,0 312.912,0 300.192 350.752 20.352,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.832.352 12 319.362,0 313.488,0 300.864 348.768 19.129,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.843.488 12 320.290,0 314.512,0 301.952 348.384 17.893,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.827.200 12 318.933,0 312.960,0 299.968 348.128 19.448,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.831.840 12 319.320,0 313.024,0 299.648 349.280 19.738,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.835.328 12 319.610,0 314.304,0 300.512 348.448 18.335,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.832.992 12 319.416,0 312.400,0 300.352 350.016 19.569,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.848.096 12 320.674,0 314.576,0 301.056 349.472 18.454,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.480 12 319.040,0 312.672,0 300.064 346.368 18.880,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.822.112 12 318.509,0 313.728,0 300.288 347.488 18.583,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.841.184 12 320.098,0 314.080,0 301.472 350.016 19.244,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
