27,0 11.271.712 1 11.271.712,0 11.271.712,0 11.271.712 11.271.712 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.264 1 11.271.264,0 11.271.264,0 11.271.264 11.271.264 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.274.880 1 11.274.880,0 11.274.880,0 11.274.880 11.274.880 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.275.744 1 11.275.744,0 11.275.744,0 11.275.744 11.275.744 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.376 1 11.273.376,0 11.273.376,0 11.273.376 11.273.376 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.271.008 1 11.271.008,0 11.271.008,0 11.271.008 11.271.008 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.274.784 1 11.274.784,0 11.274.784,0 11.274.784 11.274.784 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.960 1 11.272.960,0 11.272.960,0 11.272.960 11.272.960 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.275.616 1 11.275.616,0 11.275.616,0 11.275.616 11.275.616 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.928 1 11.272.928,0 11.272.928,0 11.272.928 11.272.928 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.096 1 11.272.096,0 11.272.096,0 11.272.096 11.272.096 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.270.560 1 11.270.560,0 11.270.560,0 11.270.560 11.270.560 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.270.944 1 11.270.944,0 11.270.944,0 11.270.944 11.270.944 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
