0.3 6855936 1023 6701.8 6464.0 3488 34912 3050.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8175328 1023 7991.5 6464.0 3552 35104 4130.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7858592 1023 7681.9 6560.0 3520 34720 3844.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7062272 1023 6903.5 6496.0 3520 34624 3100.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7073728 1023 6914.7 6528.0 3552 34432 3056.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6888032 1023 6733.2 6528.0 3552 34272 2621.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6818240 1023 6664.9 6496.0 3488 35040 2413.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6649344 1023 6499.8 6496.0 3520 34208 2598.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7287136 1023 7123.3 6368.0 3488 34528 3685.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7183424 1023 7021.9 6528.0 3520 36960 3301.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6724032 1023 6572.9 6432.0 3488 34784 2584.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6513376 1023 6366.9 6400.0 3488 34880 2497.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7137920 1023 6977.4 6496.0 3552 36672 3305.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7024000 1023 6866.1 6112.0 3552 34336 3420.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8059808 1023 7878.6 7616.0 3520 34624 3729.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6608096 1023 6459.5 6400.0 3456 34688 2522.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6691360 1023 6540.9 6400.0 3488 36096 2725.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7599456 1023 7428.6 6432.0 3520 36224 3794.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6949888 1023 6793.6 6464.0 3520 34528 2967.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6843552 1023 6689.7 6496.0 3552 34624 2574.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7815264 1023 7639.6 6528.0 3520 34592 3801.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6560992 1023 6413.5 6464.0 3520 35680 2457.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12285632 1023 12009.4 12832.0 6944 34144 2825.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6504736 1023 6358.5 6400.0 3552 35776 2371.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6959232 1023 6802.8 6464.0 3488 34464 3159.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6596000 1023 6447.7 6336.0 3488 34528 2840.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7615296 1023 7444.1 6560.0 3552 34560 3527.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6748096 1023 6596.4 6432.0 3520 35456 2780.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7581632 1023 7411.2 6112.0 3520 34688 4006.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6531584 1023 6384.7 6368.0 3488 35584 2517.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7959008 1023 7780.1 7584.0 3520 34592 3939.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12379776 1023 12101.4 12864.0 6976 34880 2819.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8464640 1023 8274.3 6464.0 3520 34912 4428.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8370656 1023 8182.5 7552.0 4192 35264 3503.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7201376 1023 7039.5 6528.0 3552 35776 3284.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7570560 1023 7400.4 6464.0 3616 35616 3540.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6708992 1023 6558.2 6432.0 3520 34688 2703.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7027136 1023 6869.1 6432.0 3520 34624 3081.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7044192 1023 6885.8 6496.0 3520 35456 3055.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6947424 1023 6791.2 6464.0 3520 36704 3184.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6944224 1023 6788.1 6528.0 3488 34528 2974.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7186688 1023 7025.1 6528.0 3488 34496 3214.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6748928 1023 6597.2 6400.0 3488 34720 2945.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6625472 1023 6476.5 6464.0 3520 36096 2601.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7704480 1023 7531.3 6496.0 3552 34560 3875.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8999904 1023 8797.6 7712.0 4448 36096 3718.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 9641312 1023 9424.5 7648.0 3776 34336 4178.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7007904 1023 6850.3 6144.0 3552 34656 3313.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7241536 1023 7078.7 6144.0 3520 34240 3787.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7612992 1023 7441.8 6528.0 3520 34656 3678.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6871360 1023 6716.9 6464.0 3552 34656 2842.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6734880 1023 6583.5 6400.0 3520 34816 3077.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6565216 1023 6417.6 6496.0 3488 34880 2442.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6838528 1023 6684.8 6144.0 3520 34560 3165.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 10953856 1023 10707.6 12768.0 3744 34496 4150.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6306144 1023 6164.4 6400.0 3552 34624 2402.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7116320 1023 6956.3 6528.0 3584 35328 3198.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6585216 1023 6437.2 6496.0 3552 34656 2465.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6875712 1023 6721.1 6496.0 3520 34624 2907.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12212512 1023 11937.9 12736.0 6944 34560 2795.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6715424 1023 6564.4 6528.0 3520 35104 2586.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7554720 1023 7384.9 6464.0 3488 34464 3773.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7690592 1023 7517.7 6048.0 3456 35552 4054.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6628352 1023 6479.3 6496.0 3552 35424 2281.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6479648 1023 6334.0 6432.0 3552 34432 2440.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7159232 1023 6998.3 6464.0 3552 34560 3398.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6908512 1023 6753.2 6496.0 3552 34816 2973.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7199008 1023 7037.2 6464.0 3488 34816 3227.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7252352 1023 7089.3 6496.0 3520 34592 3254.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6746496 1023 6594.8 6464.0 3552 34816 2696.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6908320 1023 6753.0 6464.0 3520 35552 3112.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7253536 1023 7090.5 6464.0 3520 34432 3220.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6567808 1023 6420.1 6496.0 3552 34496 2201.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7212352 1023 7050.2 6496.0 3520 35488 3247.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8000256 1023 7820.4 6560.0 3520 35552 4177.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7738368 1023 7564.4 6432.0 3520 35488 4103.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6982400 1023 6825.4 6112.0 3520 34624 3515.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6698624 1023 6548.0 6496.0 3520 34784 2512.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7756704 1023 7582.3 6496.0 3520 34752 4065.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6575936 1023 6428.1 6464.0 3552 34432 2568.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6997184 1023 6839.9 6464.0 3552 35328 3307.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6758976 1023 6607.0 6496.0 3552 34944 2701.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6623296 1023 6474.4 6528.0 3520 34464 2383.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8451424 1023 8261.4 6592.0 3520 34336 4109.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6766560 1023 6614.4 6176.0 3552 35104 3054.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7361664 1023 7196.2 7552.0 3488 34720 3216.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7945312 1023 7766.7 6496.0 3456 35616 3808.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6729056 1023 6577.8 6144.0 3552 34208 3142.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7136128 1023 6975.7 6528.0 3520 34368 2909.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6864544 1023 6710.2 6560.0 3552 35616 2610.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7788832 1023 7613.7 6496.0 3552 34400 3790.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7215936 1023 7053.7 6464.0 3520 34496 3342.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6573408 1023 6425.6 6336.0 3552 34592 2681.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7811520 1023 7635.9 6656.0 3520 34272 3684.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7200512 1023 7038.6 6432.0 3456 35648 3161.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12199712 1023 11925.4 12832.0 7008 35840 2775.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6496032 1023 6350.0 6496.0 3488 24672 1795.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6625376 1023 6476.4 6464.0 3520 35008 2625.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6715200 1023 6564.2 6176.0 3520 34720 3057.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7919072 1023 7741.0 6656.0 3488 34304 3703.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6574208 1023 6426.4 6464.0 3488 34528 2297.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12157472 1023 11884.1 12800.0 6976 34368 2655.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6964320 1023 6807.7 6368.0 3488 34304 3133.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7096352 1023 6936.8 6560.0 3520 35744 3086.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 9293280 1023 9084.3 9312.0 3488 25216 3479.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6909792 1023 6754.4 6016.0 3488 34240 3253.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7549280 1023 7379.6 6560.0 3552 34560 3578.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6936544 1023 6780.6 6496.0 3520 52192 2776.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6726752 1023 6575.5 6496.0 3520 34560 2594.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7825504 1023 7649.6 6880.0 3488 34336 3617.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7810816 1023 7635.2 6592.0 3520 34656 3682.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7556192 1023 7386.3 6560.0 3520 34752 3657.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7084064 1023 6924.8 6432.0 3488 34880 3265.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 9621152 1023 9404.8 8160.0 3488 34368 4680.3 CUDA_KERNEL Fan1(float *, float *, int, int)
