3,0 2.364.489.152 6.000 394.081,0 392.416,0 389.312 2.224.832 32.512,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.355.156.288 6.000 392.526,0 391.840,0 387.360 1.261.792 20.688,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.367.799.520 6.000 394.633,0 392.416,0 389.280 1.494.112 30.191,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.360.960.736 6.000 393.493,0 392.384,0 389.216 1.266.720 21.982,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.329.680.320 6.000 388.280,0 386.944,0 383.040 1.263.680 26.743,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.334.510.464 6.000 389.085,0 387.392,0 385.024 1.401.056 28.459,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.363.103.168 6.000 393.850,0 392.352,0 389.504 1.266.048 21.370,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.333.580.384 6.000 388.930,0 387.168,0 385.120 1.957.440 31.202,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.369.391.616 6.000 394.898,0 392.160,0 389.248 1.265.952 33.112,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.368.997.376 6.000 394.832,0 392.256,0 389.536 2.933.504 43.633,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.355.726.848 6.000 392.621,0 391.936,0 387.264 1.261.856 20.744,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.331.252.864 6.000 388.542,0 387.456,0 385.376 1.405.984 24.236,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.363.667.168 6.000 393.944,0 392.064,0 387.552 1.261.600 29.616,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.524.416 6.000 393.587,0 392.640,0 389.728 1.266.272 20.686,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.350.539.808 6.000 391.756,0 387.520,0 385.088 3.644.640 54.200,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.331.539.616 6.000 388.589,0 386.976,0 382.656 2.227.424 34.850,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.338.144 6.000 389.223,0 387.136,0 382.720 1.263.072 29.428,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.366.597.344 6.000 394.432,0 392.608,0 389.504 1.267.104 27.611,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.360.669.920 6.000 393.445,0 392.480,0 389.824 1.266.592 20.724,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.815.712 6.000 393.636,0 392.352,0 389.376 1.895.648 29.181,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.331.202.752 6.000 388.533,0 387.264,0 385.024 1.267.296 21.052,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.741.216 6.000 393.623,0 392.352,0 389.408 1.266.336 23.510,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.330.664.704 6.000 388.444,0 387.520,0 385.344 1.265.984 20.402,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.355.110.368 6.000 392.518,0 391.776,0 387.584 1.263.264 21.324,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.369.177.216 6.000 394.862,0 392.352,0 389.280 2.784.960 44.025,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.333.694.688 6.000 388.949,0 387.040,0 382.816 1.263.232 25.903,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.333.661.568 6.000 388.943,0 387.328,0 385.152 1.266.656 24.205,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.356.792.672 6.000 392.798,0 391.808,0 387.168 1.262.816 22.585,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.333.205.824 6.000 388.867,0 387.328,0 385.152 1.266.560 24.465,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.334.688.064 6.000 389.114,0 387.520,0 385.120 1.266.944 26.137,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.358.106.656 6.000 393.017,0 391.840,0 387.232 1.262.528 21.647,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.359.059.552 6.000 393.176,0 392.032,0 389.120 1.266.176 22.401,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
