1,0 865.963.616 6.000 144.327,0 143.744,0 141.952 326.880 9.674,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.161.376 6.000 146.193,0 145.664,0 144.320 329.792 7.091,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.760.384 6.000 144.460,0 143.904,0 142.240 336.320 8.737,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 887.330.304 6.000 147.888,0 146.016,0 144.608 3.276.576 44.941,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.353.568 6.000 146.392,0 145.440,0 144.032 336.448 11.994,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.258.016 6.000 145.709,0 145.376,0 144.000 340.576 7.109,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.549.536 6.000 144.424,0 144.096,0 142.080 327.296 6.703,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.710.432 6.000 146.285,0 145.376,0 143.008 333.408 12.169,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.699.584 6.000 146.116,0 145.728,0 144.224 326.240 7.294,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 871.431.712 6.000 145.238,0 143.712,0 141.728 337.600 14.654,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.387.392 6.000 144.397,0 143.744,0 142.048 331.104 9.791,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 870.997.632 6.000 145.166,0 144.160,0 142.240 329.600 12.128,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.356.384 6.000 146.392,0 145.632,0 144.160 326.976 11.003,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.556.000 6.000 145.926,0 145.536,0 144.192 335.712 7.251,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.364.416 6.000 145.894,0 145.504,0 144.096 328.576 7.668,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.272.896 6.000 144.212,0 143.744,0 141.760 326.912 7.084,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.597.696 6.000 146.266,0 145.728,0 144.224 330.752 8.985,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 867.801.024 6.000 144.633,0 143.840,0 141.888 2.599.456 32.461,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.108.576 6.000 145.851,0 145.472,0 143.264 326.304 7.660,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.127.520 6.000 146.354,0 145.504,0 143.936 324.160 11.559,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.743.776 6.000 144.457,0 143.552,0 141.664 323.552 10.104,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 869.608.384 6.000 144.934,0 143.808,0 142.016 3.284.800 41.448,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.013.696 6.000 146.168,0 145.664,0 144.320 332.160 8.482,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.303.680 6.000 144.217,0 143.616,0 141.824 337.152 9.212,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 869.346.112 6.000 144.891,0 144.224,0 142.272 325.120 10.162,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.964.064 6.000 146.160,0 145.632,0 144.320 325.408 7.285,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.202.208 6.000 146.367,0 145.664,0 144.352 1.753.344 22.314,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.114.112 6.000 146.019,0 145.376,0 143.968 897.376 13.007,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.692.704 6.000 146.115,0 145.440,0 144.192 327.040 10.301,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.944.992 6.000 146.157,0 145.600,0 144.032 332.800 9.276,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.194.144 6.000 145.865,0 145.248,0 144.000 325.824 9.566,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 867.436.448 6.000 144.572,0 143.680,0 141.984 334.048 11.839,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.392.928 6.000 146.065,0 145.440,0 144.096 327.168 9.382,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.885.888 6.000 144.814,0 143.744,0 141.888 337.504 11.794,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.753.312 6.000 144.458,0 143.712,0 141.728 331.136 9.166,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.914.368 6.000 145.819,0 145.216,0 143.904 325.152 7.374,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.039.520 6.000 144.339,0 143.520,0 141.568 324.128 7.651,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 890.814.880 6.000 148.469,0 145.728,0 144.256 347.776 21.394,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.754.656 6.000 146.125,0 145.632,0 144.096 328.000 8.377,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.701.824 6.000 144.450,0 143.744,0 141.984 332.000 7.721,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.742.336 6.000 144.457,0 143.808,0 141.888 329.376 7.978,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.041.856 6.000 145.840,0 145.312,0 143.872 326.496 8.932,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.766.912 6.000 144.294,0 143.712,0 141.696 326.464 7.140,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.386.976 6.000 146.731,0 145.568,0 144.128 333.504 13.850,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.373.376 6.000 145.728,0 145.344,0 144.064 326.560 7.020,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.157.440 6.000 144.359,0 143.488,0 141.632 329.408 12.174,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 864.740.512 6.000 144.123,0 143.520,0 141.696 325.216 9.355,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.313.376 6.000 146.052,0 145.568,0 144.128 327.904 8.727,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.505.120 6.000 144.417,0 143.680,0 141.920 335.168 10.775,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.894.496 6.000 146.149,0 145.632,0 144.160 331.200 9.052,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.343.200 6.000 146.057,0 145.568,0 144.128 325.600 8.079,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 870.916.800 6.000 145.152,0 144.256,0 142.208 327.296 9.257,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.034.688 6.000 146.005,0 145.600,0 144.288 331.200 7.748,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
