45,0 1.099.766.144 1.023 1.075.040,0 880.672,0 784.640 2.219.392 379.064,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.182.361.856 1.023 1.155.778,0 1.045.664,0 782.720 2.214.784 420.034,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.347.147.296 1.023 1.316.859,0 1.040.672,0 939.136 2.073.472 400.090,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.076.310.304 1.023 1.052.111,0 890.720,0 779.264 2.324.768 352.662,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.053.599.552 1.023 1.029.911,0 881.664,0 784.864 2.353.984 378.538,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.285.176.064 1.023 1.256.281,0 1.042.016,0 779.872 2.284.128 443.078,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.089.277.248 1.023 1.064.787,0 878.112,0 783.520 2.059.168 368.378,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.151.410.912 1.023 1.125.523,0 1.036.000,0 782.560 2.106.688 401.006,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.629.954.464 1.023 1.593.308,0 1.664.288,0 843.168 2.224.448 346.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.704.316.416 1.023 1.665.998,0 1.650.336,0 1.037.312 2.216.320 208.622,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.087.596.160 1.023 1.063.143,0 878.624,0 780.320 2.012.192 355.034,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.081.869.888 1.023 1.057.546,0 879.232,0 780.832 2.266.080 378.776,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.275.077.248 1.023 1.246.409,0 1.054.400,0 782.368 2.225.440 476.123,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.233.539.008 1.023 1.205.805,0 1.041.984,0 950.592 2.348.288 386.877,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.429.488.256 1.023 1.397.349,0 1.381.632,0 781.664 2.199.680 457.621,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.080.845.312 1.023 1.056.544,0 879.296,0 783.040 2.133.728 349.569,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.105.828.928 1.023 1.080.966,0 877.152,0 785.184 2.362.112 409.070,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.131.227.200 1.023 1.105.793,0 878.112,0 784.320 2.203.552 390.281,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.073.180.320 1.023 1.049.052,0 882.688,0 783.456 2.362.080 416.250,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.038.851.648 1.023 1.015.495,0 881.664,0 779.968 2.338.528 368.466,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.117.511.808 1.023 1.092.386,0 878.336,0 779.488 2.216.960 383.881,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.352.149.600 1.023 1.321.749,0 1.039.744,0 784.544 2.307.168 543.418,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.188.166.624 1.023 1.161.453,0 889.632,0 783.936 2.126.656 450.542,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.253.194.560 1.023 1.225.019,0 889.248,0 782.720 2.263.840 510.148,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.657.856.704 1.023 1.620.583,0 1.684.192,0 948.128 2.197.408 336.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.543.221.728 1.023 1.508.525,0 1.677.472,0 782.112 2.221.728 438.522,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.142.243.296 1.023 1.116.562,0 879.904,0 783.008 2.247.104 450.420,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.036.412.736 1.023 1.013.111,0 966.112,0 780.448 1.439.072 165.530,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.103.175.808 1.023 1.078.373,0 880.224,0 782.752 2.225.600 370.200,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.212.580.704 1.023 1.185.318,0 1.052.928,0 780.192 2.141.728 445.030,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.153.114.848 1.023 1.127.189,0 892.832,0 791.072 2.335.232 418.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.303.137.408 1.023 1.273.839,0 950.336,0 780.928 2.307.680 533.225,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.100.873.760 1.023 1.076.122,0 879.552,0 781.216 2.143.744 359.989,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.098.007.264 1.023 1.073.320,0 880.992,0 784.352 2.139.808 346.478,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.093.425.120 1.023 1.068.841,0 880.000,0 779.424 2.079.936 372.364,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.251.622.496 1.023 1.223.482,0 889.568,0 781.728 2.256.128 506.577,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.720.196.768 1.023 1.681.521,0 1.655.616,0 1.059.872 2.224.224 205.304,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
