5,0 195.168 8 24.396,0 26.064,0 12.064 30.464 6.025,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 191.712 8 23.964,0 25.680,0 12.480 29.344 5.578,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 192.480 8 24.060,0 25.184,0 12.288 29.920 5.659,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 191.136 8 23.892,0 25.312,0 11.616 30.336 5.966,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 192.352 8 24.044,0 25.248,0 12.352 29.632 5.659,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 191.488 8 23.936,0 25.536,0 12.096 29.632 5.703,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 194.400 8 24.300,0 25.488,0 12.128 31.040 6.087,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.712 8 24.464,0 25.024,0 12.064 32.096 6.472,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 193.088 8 24.136,0 25.376,0 11.264 31.648 6.455,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 194.336 8 24.292,0 25.152,0 11.424 30.560 6.211,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 192.640 8 24.080,0 25.952,0 11.232 29.568 6.104,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 125.824 8 15.728,0 16.928,0 9.248 19.776 3.521,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 192.000 8 24.000,0 25.504,0 12.416 29.792 5.799,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.200 8 24.400,0 25.616,0 12.064 31.264 6.188,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 192.608 8 24.076,0 25.152,0 11.808 30.976 6.144,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 142.752 8 17.844,0 18.176,0 10.976 24.000 4.212,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 195.296 8 24.412,0 26.032,0 11.904 30.240 6.071,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 192.448 8 24.056,0 25.808,0 11.744 30.048 6.089,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 136.064 8 17.008,0 16.864,0 9.312 22.496 4.246,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.368 8 24.296,0 25.632,0 11.328 31.424 6.479,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
