1,0 67.744 8 8.468,0 8.384,0 7.808 9.856 638,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.608 8 8.576,0 8.368,0 7.968 9.568 539,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.056 8 8.632,0 8.352,0 7.968 10.144 685,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.472 8 8.684,0 8.368,0 7.936 9.728 665,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.224 8 8.528,0 8.496,0 7.936 9.056 360,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.792 8 8.724,0 8.352,0 7.840 9.984 820,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.824 8 8.728,0 8.608,0 7.872 9.824 632,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 51.648 8 6.456,0 6.576,0 4.448 8.256 1.240,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.568 8 8.696,0 8.512,0 8.032 9.888 639,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.184 8 8.648,0 8.448,0 7.936 9.632 606,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.384 8 8.548,0 8.352,0 7.872 9.888 612,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 53.760 8 6.720,0 6.368,0 6.080 8.224 790,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.456 8 8.432,0 8.288,0 7.840 9.536 488,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.840 8 8.480,0 8.288,0 8.000 9.472 469,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 55.712 8 6.964,0 6.976,0 6.208 7.936 591,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.016 8 8.752,0 8.768,0 7.872 9.472 621,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.224 8 8.528,0 8.368,0 7.904 9.184 430,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.328 8 8.416,0 8.384,0 7.936 8.992 306,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.800 8 8.600,0 8.384,0 7.872 9.760 683,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.024 8 8.628,0 8.416,0 7.904 9.568 585,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.792 8 8.724,0 8.608,0 8.160 9.824 578,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.656 8 8.832,0 8.320,0 7.936 10.272 946,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.456 8 8.432,0 8.400,0 7.840 9.056 373,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.352 8 8.544,0 8.288,0 7.904 9.472 535,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.472 8 8.684,0 8.400,0 8.320 9.728 546,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.328 8 8.416,0 8.288,0 7.968 9.536 503,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 67.008 8 8.376,0 8.272,0 7.936 8.992 384,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.408 8 8.676,0 8.384,0 7.936 9.664 637,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.232 8 8.404,0 8.320,0 7.936 9.312 419,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.160 8 8.520,0 8.496,0 7.872 9.184 512,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.784 8 8.348,0 8.336,0 7.904 8.992 348,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.488 8 8.436,0 8.384,0 7.904 8.832 293,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.792 8 8.724,0 8.432,0 7.904 10.048 767,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.944 8 8.368,0 8.320,0 7.872 9.280 424,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.600 8 8.700,0 8.416,0 7.904 10.304 749,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.992 8 8.624,0 8.528,0 7.904 10.144 674,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.832 8 8.604,0 8.320,0 7.872 9.920 684,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.352 8 8.544,0 8.496,0 7.968 9.472 482,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.416 8 8.552,0 8.352,0 8.064 9.760 523,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.456 8 8.432,0 8.448,0 7.968 8.832 338,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.576 8 8.572,0 8.336,0 7.968 9.600 541,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.104 8 8.388,0 8.320,0 7.808 8.992 437,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.184 8 8.648,0 8.304,0 7.872 10.336 898,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.192 8 8.524,0 8.288,0 7.904 10.432 788,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.192 8 8.524,0 8.416,0 7.904 9.248 505,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.896 8 8.612,0 8.624,0 7.904 9.408 468,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
