5,0 4.167.264 12 347.272,0 310.208,0 295.072 471.648 74.510,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.168.320 12 347.360,0 310.368,0 294.240 471.264 74.701,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.149.696 12 345.808,0 309.152,0 294.560 469.472 73.775,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.151.968 12 345.997,0 310.240,0 294.368 466.976 73.712,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.175.744 12 347.978,0 312.080,0 294.880 471.552 73.712,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.176.512 12 348.042,0 309.232,0 295.104 474.560 75.720,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.157.216 12 346.434,0 310.016,0 294.240 468.768 73.671,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.189.632 12 349.136,0 309.888,0 294.912 478.848 76.135,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.167.040 12 347.253,0 310.192,0 294.912 472.960 75.486,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.157.536 12 346.461,0 310.144,0 294.688 467.488 73.489,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.173.088 12 347.757,0 310.368,0 295.392 474.560 75.676,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.186.336 12 348.861,0 310.416,0 295.488 483.136 75.992,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.161.440 12 346.786,0 309.920,0 296.032 470.080 73.729,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.163.360 12 346.946,0 310.624,0 295.072 468.736 74.097,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.161.440 12 346.786,0 309.840,0 295.104 468.672 73.616,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.168.544 12 347.378,0 311.584,0 295.360 469.632 73.858,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.168.640 12 347.386,0 311.072,0 296.160 469.312 74.117,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.169.792 12 347.482,0 309.840,0 294.176 473.248 75.657,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.184.160 12 348.680,0 310.352,0 294.208 482.592 77.328,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.174.464 12 347.872,0 311.424,0 295.232 471.456 75.193,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.162.336 12 346.861,0 310.320,0 296.064 468.032 73.504,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.158.944 12 346.578,0 309.424,0 294.496 471.808 74.514,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.242.944 12 353.578,0 310.000,0 294.816 507.040 85.298,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.192.576 12 349.381,0 310.960,0 295.744 478.912 76.468,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.165.632 12 347.136,0 309.248,0 295.040 469.088 74.266,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.156.384 12 346.365,0 310.016,0 294.816 473.728 74.094,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.154.240 12 346.186,0 310.480,0 295.072 465.856 72.732,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.164.512 12 347.042,0 310.016,0 295.040 470.272 74.460,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.185.696 12 348.808,0 311.392,0 295.776 473.088 74.650,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.183.008 12 348.584,0 309.968,0 295.616 479.616 77.064,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.174.304 12 347.858,0 310.352,0 295.328 477.728 75.833,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
