1,0 3.163.136 1 3.163.136,0 3.163.136,0 3.163.136 3.163.136 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.706.688 1 5.706.688,0 5.706.688,0 5.706.688 5.706.688 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.149.888 1 3.149.888,0 3.149.888,0 3.149.888 3.149.888 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.856.576 1 4.856.576,0 4.856.576,0 4.856.576 4.856.576 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.071.968 1 5.071.968,0 5.071.968,0 5.071.968 5.071.968 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 3.169.056 1 3.169.056,0 3.169.056,0 3.169.056 3.169.056 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.865.792 1 11.865.792,0 11.865.792,0 11.865.792 11.865.792 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.732.512 1 10.732.512,0 10.732.512,0 10.732.512 10.732.512 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.232.128 1 3.232.128,0 3.232.128,0 3.232.128 3.232.128 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 3.196.512 1 3.196.512,0 3.196.512,0 3.196.512 3.196.512 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.995.616 1 10.995.616,0 10.995.616,0 10.995.616 10.995.616 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 12.414.240 1 12.414.240,0 12.414.240,0 12.414.240 12.414.240 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 6.703.264 1 6.703.264,0 6.703.264,0 6.703.264 6.703.264 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.334.240 1 10.334.240,0 10.334.240,0 10.334.240 10.334.240 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 6.742.528 1 6.742.528,0 6.742.528,0 6.742.528 6.742.528 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 9.244.128 1 9.244.128,0 9.244.128,0 9.244.128 9.244.128 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.248.064 1 3.248.064,0 3.248.064,0 3.248.064 3.248.064 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.592.704 1 10.592.704,0 10.592.704,0 10.592.704 10.592.704 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.017.728 1 11.017.728,0 11.017.728,0 11.017.728 11.017.728 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 9.856.960 1 9.856.960,0 9.856.960,0 9.856.960 9.856.960 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.361.952 1 3.361.952,0 3.361.952,0 3.361.952 3.361.952 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 7.586.400 1 7.586.400,0 7.586.400,0 7.586.400 7.586.400 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.819.360 1 4.819.360,0 4.819.360,0 4.819.360 4.819.360 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 7.682.656 1 7.682.656,0 7.682.656,0 7.682.656 7.682.656 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.321.600 1 3.321.600,0 3.321.600,0 3.321.600 3.321.600 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.278.016 1 3.278.016,0 3.278.016,0 3.278.016 3.278.016 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 6.755.008 1 6.755.008,0 6.755.008,0 6.755.008 6.755.008 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 7.279.680 1 7.279.680,0 7.279.680,0 7.279.680 7.279.680 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.671.360 1 10.671.360,0 10.671.360,0 10.671.360 10.671.360 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.525.728 1 4.525.728,0 4.525.728,0 4.525.728 4.525.728 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.426.688 1 5.426.688,0 5.426.688,0 5.426.688 5.426.688 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.270.592 1 4.270.592,0 4.270.592,0 4.270.592 4.270.592 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.277.888 1 3.277.888,0 3.277.888,0 3.277.888 3.277.888 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.251.072 1 4.251.072,0 4.251.072,0 4.251.072 4.251.072 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
6,0 11.506.336 1 11.506.336,0 11.506.336,0 11.506.336 11.506.336 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.163.680 1 3.163.680,0 3.163.680,0 3.163.680 3.163.680 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.158.656 1 3.158.656,0 3.158.656,0 3.158.656 3.158.656 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.944.256 1 4.944.256,0 4.944.256,0 4.944.256 4.944.256 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.221.472 1 3.221.472,0 3.221.472,0 3.221.472 3.221.472 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 9.790.912 1 9.790.912,0 9.790.912,0 9.790.912 9.790.912 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.256.032 1 3.256.032,0 3.256.032,0 3.256.032 3.256.032 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.649.056 1 10.649.056,0 10.649.056,0 10.649.056 10.649.056 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.198.560 1 3.198.560,0 3.198.560,0 3.198.560 3.198.560 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.845.760 1 10.845.760,0 10.845.760,0 10.845.760 10.845.760 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.513.568 1 10.513.568,0 10.513.568,0 10.513.568 10.513.568 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.468.576 1 5.468.576,0 5.468.576,0 5.468.576 5.468.576 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
5,0 10.888.640 1 10.888.640,0 10.888.640,0 10.888.640 10.888.640 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.372.640 1 11.372.640,0 11.372.640,0 11.372.640 11.372.640 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.114.624 1 11.114.624,0 11.114.624,0 11.114.624 11.114.624 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.235.776 1 3.235.776,0 3.235.776,0 3.235.776 3.235.776 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.217.120 1 3.217.120,0 3.217.120,0 3.217.120 3.217.120 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.098.720 1 4.098.720,0 4.098.720,0 4.098.720 4.098.720 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.964.288 1 3.964.288,0 3.964.288,0 3.964.288 3.964.288 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.279.392 1 3.279.392,0 3.279.392,0 3.279.392 3.279.392 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 3.264.096 1 3.264.096,0 3.264.096,0 3.264.096 3.264.096 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.178.464 1 11.178.464,0 11.178.464,0 11.178.464 11.178.464 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
6,0 10.448.608 1 10.448.608,0 10.448.608,0 10.448.608 10.448.608 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.119.648 1 3.119.648,0 3.119.648,0 3.119.648 3.119.648 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.187.008 1 3.187.008,0 3.187.008,0 3.187.008 3.187.008 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.950.528 1 4.950.528,0 4.950.528,0 4.950.528 4.950.528 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.314.400 1 10.314.400,0 10.314.400,0 10.314.400 10.314.400 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.179.616 1 3.179.616,0 3.179.616,0 3.179.616 3.179.616 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.412.160 1 5.412.160,0 5.412.160,0 5.412.160 5.412.160 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
