8,0 12.986.112 2 6.493.056,0 6.493.056,0 2.742.688 10.243.424 5.303.821,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.209.312 2 9.104.656,0 9.104.656,0 7.897.568 10.311.744 1.707.080,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.097.248 2 8.548.624,0 8.548.624,0 6.835.552 10.261.696 2.422.649,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 16.236.928 2 8.118.464,0 8.118.464,0 5.855.968 10.380.960 3.199.652,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.181.856 2 9.590.928,0 9.590.928,0 8.771.104 10.410.752 1.159.406,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.335.360 2 9.667.680,0 9.667.680,0 8.974.336 10.361.024 980.536,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.930.784 2 7.965.392,0 7.965.392,0 5.565.792 10.364.992 3.393.546,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.905.920 2 9.952.960,0 9.952.960,0 9.487.616 10.418.304 658.095,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 13.144.352 2 6.572.176,0 6.572.176,0 2.728.128 10.416.224 5.436.304,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 16.304.928 2 8.152.464,0 8.152.464,0 5.817.088 10.487.840 3.302.720,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 13.131.232 2 6.565.616,0 6.565.616,0 2.721.632 10.409.600 5.436.214,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.792.544 2 7.896.272,0 7.896.272,0 5.415.104 10.377.440 3.508.901,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
