0,0 4.537.024 1 4.537.024,0 4.537.024,0 4.537.024 4.537.024 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.080 1 4.534.080,0 4.534.080,0 4.534.080 4.534.080 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.924.256 1 3.924.256,0 3.924.256,0 3.924.256 3.924.256 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.959.104 1 2.959.104,0 2.959.104,0 2.959.104 2.959.104 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.592 1 4.534.592,0 4.534.592,0 4.534.592 4.534.592 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.840 1 4.535.840,0 4.535.840,0 4.535.840 4.535.840 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.285.728 1 2.285.728,0 2.285.728,0 2.285.728 2.285.728 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.971.136 1 2.971.136,0 2.971.136,0 2.971.136 2.971.136 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.847.776 1 2.847.776,0 2.847.776,0 2.847.776 2.847.776 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.504 1 4.533.504,0 4.533.504,0 4.533.504 4.533.504 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.857.280 1 2.857.280,0 2.857.280,0 2.857.280 2.857.280 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.424 1 4.535.424,0 4.535.424,0 4.535.424 4.535.424 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.970.496 1 2.970.496,0 2.970.496,0 2.970.496 2.970.496 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.955.008 1 2.955.008,0 2.955.008,0 2.955.008 2.955.008 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.208 1 4.534.208,0 4.534.208,0 4.534.208 4.534.208 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.005.408 1 3.005.408,0 3.005.408,0 3.005.408 3.005.408 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.966.432 1 2.966.432,0 2.966.432,0 2.966.432 2.966.432 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.648.128 1 3.648.128,0 3.648.128,0 3.648.128 3.648.128 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.961.056 1 2.961.056,0 2.961.056,0 2.961.056 2.961.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.680 1 4.535.680,0 4.535.680,0 4.535.680 4.535.680 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.307.904 1 2.307.904,0 2.307.904,0 2.307.904 2.307.904 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.152 1 4.537.152,0 4.537.152,0 4.537.152 4.537.152 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.240 1 4.534.240,0 4.534.240,0 4.534.240 4.534.240 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.152 1 4.537.152,0 4.537.152,0 4.537.152 4.537.152 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.368 1 4.534.368,0 4.534.368,0 4.534.368 4.534.368 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.308.864 1 2.308.864,0 2.308.864,0 2.308.864 2.308.864 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.311.456 1 2.311.456,0 2.311.456,0 2.311.456 2.311.456 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.539.296 1 4.539.296,0 4.539.296,0 4.539.296 4.539.296 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.311.104 1 2.311.104,0 2.311.104,0 2.311.104 2.311.104 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.760 1 4.537.760,0 4.537.760,0 4.537.760 4.537.760 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.400 1 4.534.400,0 4.534.400,0 4.534.400 4.534.400 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.247.616 1 3.247.616,0 3.247.616,0 3.247.616 3.247.616 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.539.584 1 4.539.584,0 4.539.584,0 4.539.584 4.539.584 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.140.224 1 5.140.224,0 5.140.224,0 5.140.224 5.140.224 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.208 1 4.534.208,0 4.534.208,0 4.534.208 4.534.208 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.087.328 1 3.087.328,0 3.087.328,0 3.087.328 3.087.328 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.135.040 1 3.135.040,0 3.135.040,0 3.135.040 3.135.040 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.264 1 4.535.264,0 4.535.264,0 4.535.264 4.535.264 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.840 1 4.535.840,0 4.535.840,0 4.535.840 4.535.840 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.867.936 1 2.867.936,0 2.867.936,0 2.867.936 2.867.936 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.986.240 1 2.986.240,0 2.986.240,0 2.986.240 2.986.240 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.858.880 1 2.858.880,0 2.858.880,0 2.858.880 2.858.880 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.296 1 4.535.296,0 4.535.296,0 4.535.296 4.535.296 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.056 1 4.533.056,0 4.533.056,0 4.533.056 4.533.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.867.936 1 2.867.936,0 2.867.936,0 2.867.936 2.867.936 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.296 1 4.535.296,0 4.535.296,0 4.535.296 4.535.296 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.056 1 4.537.056,0 4.537.056,0 4.537.056 4.537.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.102.464 1 3.102.464,0 3.102.464,0 3.102.464 3.102.464 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.141.696 1 5.141.696,0 5.141.696,0 5.141.696 5.141.696 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.151.168 1 5.151.168,0 5.151.168,0 5.151.168 5.151.168 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.539.104 1 4.539.104,0 4.539.104,0 4.539.104 4.539.104 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.998.048 1 2.998.048,0 2.998.048,0 2.998.048 2.998.048 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.056 1 4.537.056,0 4.537.056,0 4.537.056 4.537.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.993.536 1 2.993.536,0 2.993.536,0 2.993.536 2.993.536 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.953.280 1 2.953.280,0 2.953.280,0 2.953.280 2.953.280 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.538.240 1 4.538.240,0 4.538.240,0 4.538.240 4.538.240 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.910.176 1 2.910.176,0 2.910.176,0 2.910.176 2.910.176 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.672 1 4.536.672,0 4.536.672,0 4.536.672 4.536.672 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.312 1 4.537.312,0 4.537.312,0 4.537.312 4.537.312 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.311.040 1 2.311.040,0 2.311.040,0 2.311.040 2.311.040 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.012.384 1 3.012.384,0 3.012.384,0 3.012.384 3.012.384 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.400.512 1 3.400.512,0 3.400.512,0 3.400.512 3.400.512 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.896 1 4.536.896,0 4.536.896,0 4.536.896 4.536.896 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.152 1 4.537.152,0 4.537.152,0 4.537.152 4.537.152 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.184 1 4.537.184,0 4.537.184,0 4.537.184 4.537.184 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.018.720 1 3.018.720,0 3.018.720,0 3.018.720 3.018.720 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.306.880 1 2.306.880,0 2.306.880,0 2.306.880 2.306.880 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.304.576 1 2.304.576,0 2.304.576,0 2.304.576 2.304.576 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.538.400 1 4.538.400,0 4.538.400,0 4.538.400 4.538.400 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.480 1 4.536.480,0 4.536.480,0 4.536.480 4.536.480 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.376 1 4.537.376,0 4.537.376,0 4.537.376 4.537.376 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.680 1 4.535.680,0 4.535.680,0 4.535.680 4.535.680 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.327.712 1 2.327.712,0 2.327.712,0 2.327.712 2.327.712 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.984 1 4.537.984,0 4.537.984,0 4.537.984 4.537.984 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.979.680 1 2.979.680,0 2.979.680,0 2.979.680 2.979.680 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.532.352 1 4.532.352,0 4.532.352,0 4.532.352 4.532.352 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.531.488 1 4.531.488,0 4.531.488,0 4.531.488 4.531.488 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.280 1 4.533.280,0 4.533.280,0 4.533.280 4.533.280 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.648 1 4.535.648,0 4.535.648,0 4.535.648 4.535.648 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.321.440 1 2.321.440,0 2.321.440,0 2.321.440 2.321.440 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.991.168 1 2.991.168,0 2.991.168,0 2.991.168 2.991.168 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.760 1 4.537.760,0 4.537.760,0 4.537.760 4.537.760 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.307.808 1 2.307.808,0 2.307.808,0 2.307.808 2.307.808 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.072 1 4.535.072,0 4.535.072,0 4.535.072 4.535.072 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.140.160 1 5.140.160,0 5.140.160,0 5.140.160 5.140.160 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.538.112 1 4.538.112,0 4.538.112,0 4.538.112 4.538.112 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.538.528 1 4.538.528,0 4.538.528,0 4.538.528 4.538.528 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.024 1 4.537.024,0 4.537.024,0 4.537.024 4.537.024 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.512 1 4.536.512,0 4.536.512,0 4.536.512 4.536.512 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.308.576 1 2.308.576,0 2.308.576,0 2.308.576 2.308.576 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.307.776 1 2.307.776,0 2.307.776,0 2.307.776 2.307.776 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.538.080 1 4.538.080,0 4.538.080,0 4.538.080 4.538.080 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.313.696 1 2.313.696,0 2.313.696,0 2.313.696 2.313.696 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
