46,0 961.682.368 10 96.168.236,0 92.230.672,0 86.894.560 115.025.120 9.277.503,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 957.042.944 10 95.704.294,0 93.004.000,0 86.954.240 121.926.432 9.745.983,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 944.994.016 10 94.499.401,0 92.058.032,0 86.987.072 111.324.000 6.717.654,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 953.327.872 10 95.332.787,0 92.464.320,0 86.802.144 122.110.944 9.887.727,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 945.403.168 10 94.540.316,0 92.355.600,0 86.940.096 111.350.208 6.708.398,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 950.946.464 10 95.094.646,0 92.014.000,0 86.922.080 117.861.344 8.614.812,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 937.859.264 10 93.785.926,0 91.922.512,0 86.919.200 110.486.016 6.519.183,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 949.432.768 10 94.943.276,0 92.435.424,0 86.654.592 118.643.712 8.866.573,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 958.292.064 10 95.829.206,0 92.764.432,0 86.776.352 127.201.664 11.333.689,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 946.542.368 10 94.654.236,0 92.693.776,0 86.813.312 115.527.552 7.794.526,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 982.291.360 10 98.229.136,0 92.531.600,0 86.893.824 125.636.864 12.559.835,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 981.491.392 10 98.149.139,0 93.669.184,0 86.863.552 127.552.992 12.362.422,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 969.398.784 10 96.939.878,0 92.609.888,0 86.744.896 119.748.384 9.960.441,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 960.218.304 10 96.021.830,0 92.696.256,0 86.846.688 125.992.448 10.996.998,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 937.683.520 10 93.768.352,0 92.314.224,0 86.726.400 105.343.296 5.099.094,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
