0,0 7.261.312 1.023 7.098,0 7.200,0 4.192 36.896 2.370,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.091.808 1.023 6.932,0 7.168,0 4.224 37.088 2.119,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.912.032 1.023 10.666,0 8.832,0 4.960 36.896 4.237,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.855.840 1.023 8.656,0 7.168,0 4.352 37.536 3.940,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.692.320 1.023 11.429,0 13.888,0 4.960 37.312 4.156,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.483.136 1.023 7.314,0 7.200,0 4.192 35.104 2.630,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.619.264 1.023 10.380,0 8.512,0 4.960 36.608 4.142,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.998.240 1.023 7.818,0 7.104,0 4.192 35.520 3.373,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.208.672 1.023 8.024,0 8.448,0 4.192 36.768 2.850,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.412.320 1.023 12.133,0 13.824,0 4.960 36.288 3.638,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.641.952 1.023 7.470,0 7.200,0 4.224 36.672 2.895,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.863.200 1.023 7.686,0 7.520,0 4.192 36.992 2.800,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.731.936 1.023 7.558,0 7.200,0 4.192 36.384 2.655,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.973.344 1.023 6.816,0 7.104,0 4.224 36.480 1.982,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.525.824 1.023 7.356,0 7.200,0 4.256 36.832 2.647,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.257.856 1.023 8.072,0 7.168,0 4.192 35.968 3.791,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.163.712 1.023 7.002,0 7.232,0 4.256 36.800 2.119,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.334.784 1.023 8.147,0 7.168,0 4.192 36.032 3.582,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.696.288 1.023 7.523,0 7.232,0 4.224 35.680 2.780,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.604.480 1.023 7.433,0 7.168,0 4.192 36.096 2.752,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.169.632 1.023 7.008,0 7.136,0 4.192 36.448 2.252,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.792.704 1.023 7.617,0 7.264,0 4.192 35.264 2.719,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.432.544 1.023 7.265,0 7.136,0 4.256 34.336 2.474,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.085.408 1.023 6.926,0 7.104,0 4.192 35.296 2.074,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.820.000 1.023 7.644,0 7.200,0 4.224 35.328 3.039,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.809.280 1.023 7.633,0 7.200,0 4.256 36.576 3.070,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.922.976 1.023 7.744,0 7.200,0 4.256 35.520 3.177,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.575.968 1.023 7.405,0 7.136,0 4.224 36.064 2.662,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.322.272 1.023 7.157,0 7.168,0 4.160 38.368 2.305,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.200.352 1.023 7.038,0 7.200,0 4.224 36.928 2.175,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.479.680 1.023 7.311,0 7.232,0 4.160 37.152 2.483,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.436.480 1.023 11.179,0 13.760,0 4.192 35.392 4.419,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.177.216 1.023 7.015,0 7.104,0 4.160 36.576 2.214,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.254.080 1.023 7.091,0 7.200,0 4.160 36.224 2.337,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.137.824 1.023 6.977,0 7.104,0 4.160 37.408 2.226,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.379.744 1.023 7.213,0 7.232,0 4.288 36.160 2.419,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.406.016 1.023 7.239,0 7.232,0 4.192 36.192 2.276,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.435.616 1.023 7.268,0 7.168,0 4.192 34.624 2.576,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.777.920 1.023 7.603,0 7.168,0 4.192 36.768 3.069,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.242.496 1.023 7.079,0 7.168,0 4.224 37.696 2.302,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.422.496 1.023 7.255,0 7.232,0 4.192 36.832 2.393,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.577.440 1.023 7.407,0 7.168,0 4.192 34.656 2.782,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.449.152 1.023 7.281,0 7.168,0 4.160 36.768 2.508,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.820.448 1.023 9.599,0 7.520,0 4.160 57.024 4.641,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.602.624 1.023 7.431,0 7.232,0 4.256 37.888 2.485,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.433.664 1.023 9.221,0 7.232,0 4.224 35.904 4.290,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.186.656 1.023 7.025,0 7.168,0 4.224 39.040 2.263,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.374.784 1.023 7.209,0 7.232,0 4.224 36.576 2.295,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.308.704 1.023 7.144,0 7.104,0 4.192 39.552 2.438,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.268.768 1.023 7.105,0 7.104,0 4.160 34.688 2.413,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.473.536 1.023 7.305,0 7.200,0 4.224 36.448 2.454,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.203.168 1.023 7.041,0 7.104,0 4.128 37.024 2.396,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.289.600 1.023 7.125,0 7.200,0 4.192 35.936 2.284,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.568.352 1.023 7.398,0 7.200,0 4.224 35.456 2.461,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.381.952 1.023 7.216,0 7.168,0 4.224 36.576 2.556,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.800.864 1.023 7.625,0 7.584,0 4.192 26.848 2.460,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.411.232 1.023 7.244,0 7.200,0 4.224 36.704 2.385,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.302.368 1.023 7.138,0 7.104,0 4.192 36.480 2.496,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.147.104 1.023 6.986,0 7.168,0 4.224 36.736 2.109,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.523.808 1.023 7.354,0 7.104,0 4.128 36.960 2.780,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.133.568 1.023 6.973,0 7.200,0 4.224 37.056 2.100,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.453.952 1.023 7.286,0 7.200,0 4.224 35.808 2.595,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.427.296 1.023 7.260,0 7.168,0 4.256 37.152 2.618,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.688.800 1.023 7.515,0 7.200,0 4.160 36.544 2.826,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.528.864 1.023 7.359,0 7.168,0 4.224 36.832 2.601,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.212.800 1.023 7.050,0 7.200,0 4.224 37.312 2.211,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.507.648 1.023 7.338,0 7.200,0 4.224 36.576 2.705,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.294.112 1.023 7.130,0 7.168,0 4.224 37.184 2.398,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.259.712 1.023 7.096,0 7.168,0 4.224 36.800 2.265,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.333.152 1.023 7.168,0 7.200,0 4.192 36.832 2.430,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.355.648 1.023 7.190,0 7.232,0 4.224 35.264 2.388,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.481.472 1.023 7.313,0 7.104,0 4.128 35.488 2.575,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.746.560 1.023 7.572,0 7.200,0 4.160 35.968 2.651,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.516.864 1.023 7.347,0 7.136,0 4.128 37.856 2.767,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.630.368 1.023 8.436,0 7.904,0 4.960 26.400 2.666,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.588.256 1.023 7.417,0 7.232,0 4.256 36.032 2.534,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.258.368 1.023 7.095,0 7.200,0 4.224 35.936 2.310,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.954.304 1.023 7.775,0 7.232,0 4.224 38.784 3.282,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.703.200 1.023 8.507,0 7.200,0 4.224 38.880 3.868,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.967.552 1.023 7.788,0 7.264,0 4.224 35.840 3.136,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.349.760 1.023 7.184,0 7.232,0 4.256 36.320 2.380,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.277.280 1.023 7.113,0 7.136,0 4.160 34.976 2.260,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.574.848 1.023 7.404,0 7.200,0 4.288 34.304 2.581,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.041.632 1.023 6.883,0 7.168,0 4.224 36.000 2.348,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.702.496 1.023 7.529,0 7.200,0 4.256 36.128 2.954,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.389.440 1.023 7.223,0 7.200,0 4.224 37.376 2.530,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.476.096 1.023 9.263,0 7.232,0 4.192 36.864 4.318,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.204.736 1.023 9.975,0 8.704,0 4.192 36.736 4.361,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.239.584 1.023 7.076,0 7.168,0 4.192 38.528 2.331,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.922.272 1.023 6.766,0 6.880,0 4.192 36.704 2.074,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.647.584 1.023 7.475,0 7.168,0 4.192 36.992 2.894,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.399.520 1.023 8.210,0 7.200,0 4.224 36.096 3.578,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.189.536 1.023 7.027,0 7.168,0 4.160 35.968 2.235,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.412.288 1.023 7.245,0 7.232,0 4.224 37.216 2.410,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.369.664 1.023 7.204,0 7.200,0 4.192 36.192 2.446,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.049.088 1.023 6.890,0 7.136,0 4.224 36.128 2.050,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.210.368 1.023 7.048,0 7.232,0 4.224 35.968 2.158,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.733.856 1.023 7.560,0 7.232,0 4.224 36.768 2.741,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.522.176 1.023 7.353,0 7.200,0 4.192 36.832 2.723,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.194.304 1.023 7.032,0 7.232,0 4.192 36.160 2.024,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.822.400 1.023 9.601,0 7.584,0 4.224 36.480 4.460,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.366.784 1.023 7.201,0 7.200,0 4.192 37.312 2.519,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.260.000 1.023 7.096,0 7.200,0 4.256 37.568 2.282,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.452.160 1.023 7.284,0 7.232,0 4.256 36.384 2.446,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.161.216 1.023 7.000,0 6.816,0 4.160 36.512 2.470,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.409.856 1.023 7.243,0 7.200,0 4.224 37.216 2.519,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.518.464 1.023 7.349,0 7.232,0 4.224 37.920 2.603,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.059.648 1.023 7.878,0 8.480,0 4.224 36.512 2.662,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.287.616 1.023 7.123,0 7.232,0 4.192 38.496 2.144,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.540.480 1.023 7.370,0 7.232,0 4.192 36.640 2.551,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.680.160 1.023 7.507,0 7.104,0 4.192 36.544 2.794,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.394.752 1.023 9.183,0 7.424,0 4.224 34.912 4.230,0 CUDA_KERNEL Fan1(float *, float *, int, int)
