47,0 1.009.236.992 1.023 986.546,0 891.936,0 793.920 2.330.496 312.317,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.193.951.040 1.023 1.167.107,0 1.058.304,0 790.848 2.359.776 358.467,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.045.713.248 1.023 1.022.202,0 890.208,0 790.688 2.319.936 350.395,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.821.824.736 1.023 1.780.864,0 1.739.424,0 1.563.680 2.347.008 184.326,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.000.620.800 1.023 978.123,0 891.648,0 792.736 2.358.400 293.002,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.040.076.384 1.023 1.016.692,0 891.040,0 794.848 2.349.056 365.261,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.014.847.232 1.023 992.030,0 891.008,0 794.432 2.352.576 323.018,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 995.935.488 1.023 973.544,0 891.936,0 791.520 2.337.344 283.216,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.481.812.768 1.023 1.448.497,0 1.084.224,0 951.424 2.344.416 484.718,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.204.075.552 1.023 1.177.004,0 878.784,0 786.176 2.353.856 510.752,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.587.354.240 1.023 1.551.665,0 1.739.968,0 940.960 2.358.976 460.038,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.028.159.904 1.023 1.005.043,0 890.688,0 794.048 2.349.536 351.797,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.457.040.000 1.023 1.424.281,0 1.053.888,0 944.672 2.349.152 481.944,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.103.077.984 1.023 1.078.277,0 878.656,0 781.952 2.325.824 451.454,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.118.480.160 1.023 1.093.333,0 1.040.320,0 792.320 2.341.376 373.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.684.935.456 1.023 1.647.053,0 1.736.128,0 934.848 2.339.072 382.948,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.060.026.560 1.023 1.036.194,0 891.392,0 792.640 2.345.600 398.935,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.084.625.280 1.023 1.060.239,0 891.360,0 781.248 2.372.384 372.126,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.066.030.624 1.023 1.042.063,0 889.952,0 793.216 2.347.584 348.186,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 983.958.208 1.023 961.836,0 880.640,0 798.496 2.353.792 266.032,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.027.255.776 1.023 1.004.160,0 890.592,0 791.072 2.315.424 348.484,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.154.578.304 1.023 1.128.620,0 890.208,0 790.400 2.335.648 479.468,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 987.968.672 1.023 965.756,0 892.160,0 792.512 2.333.696 263.715,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.148.807.552 1.023 1.122.979,0 891.104,0 792.864 2.322.880 473.039,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.054.082.656 1.023 1.030.383,0 890.176,0 794.304 2.371.712 387.970,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.052.804.160 1.023 1.029.134,0 892.384,0 792.160 2.360.128 373.972,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 986.540.384 1.023 964.360,0 881.440,0 784.544 2.347.104 295.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.058.547.872 1.023 1.034.748,0 890.048,0 792.576 2.332.000 354.579,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
