2,0 79.264 2 39.632,0 39.632,0 36.416 42.848 4.548,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.296 2 39.648,0 39.648,0 35.968 43.328 5.204,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.600 2 22.800,0 22.800,0 18.752 26.848 5.724,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.152 2 22.576,0 22.576,0 17.952 27.200 6.539,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.352 2 22.176,0 22.176,0 18.112 26.240 5.747,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.840 2 39.920,0 39.920,0 37.216 42.624 3.824,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.408 2 22.704,0 22.704,0 18.336 27.072 6.177,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 82.720 2 41.360,0 41.360,0 36.352 46.368 7.082,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 82.112 2 41.056,0 41.056,0 36.256 45.856 6.788,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.768 2 22.384,0 22.384,0 18.496 26.272 5.498,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.376 2 22.688,0 22.688,0 18.368 27.008 6.109,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.504 2 22.752,0 22.752,0 18.304 27.200 6.290,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.576 2 22.288,0 22.288,0 18.048 26.528 5.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.672 2 22.336,0 22.336,0 17.888 26.784 6.290,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.800 2 22.400,0 22.400,0 18.400 26.400 5.656,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.664 2 22.832,0 22.832,0 18.272 27.392 6.448,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.920 2 22.960,0 22.960,0 18.304 27.616 6.584,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 78.400 2 39.200,0 39.200,0 35.552 42.848 5.159,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 77.952 2 38.976,0 38.976,0 35.456 42.496 4.978,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 72.608 2 36.304,0 36.304,0 33.504 39.104 3.959,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.864 2 22.432,0 22.432,0 18.656 26.208 5.340,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 54.976 2 27.488,0 27.488,0 22.304 32.672 7.331,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 48.480 2 24.240,0 24.240,0 19.840 28.640 6.222,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.992 2 22.496,0 22.496,0 18.080 26.912 6.245,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
