0.0 19200 2 9600.0 9600.0 7552 11648 2896.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21216 2 10608.0 10608.0 8704 12512 2692.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19680 2 9840.0 9840.0 7584 12096 3190.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20896 2 10448.0 10448.0 8064 12832 3371.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 23488 2 11744.0 11744.0 8448 15040 4661.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20992 2 10496.0 10496.0 8288 12704 3122.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19520 2 9760.0 9760.0 7552 11968 3122.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 11104 2 5552.0 5552.0 3904 7200 2330.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19520 2 9760.0 9760.0 7872 11648 2670.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19648 2 9824.0 9824.0 7616 12032 3122.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20864 2 10432.0 10432.0 8064 12800 3348.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20224 2 10112.0 10112.0 8512 11712 2262.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 10912 2 5456.0 5456.0 3840 7072 2285.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19584 2 9792.0 9792.0 7744 11840 2896.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20512 2 10256.0 10256.0 7584 12928 3778.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19648 2 9824.0 9824.0 7648 12000 3077.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20224 2 10112.0 10112.0 7744 12480 3348.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19136 2 9568.0 9568.0 7552 11584 2851.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 11104 2 5552.0 5552.0 3872 7232 2375.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20480 2 10240.0 10240.0 8544 11936 2398.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19232 2 9616.0 9616.0 7648 11584 2783.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20320 2 10160.0 10160.0 8640 11680 2149.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21664 2 10832.0 10832.0 8736 12928 2964.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 18496 2 9248.0 9248.0 7552 10944 2398.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20608 2 10304.0 10304.0 8704 11904 2262.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 22496 2 11248.0 11248.0 9184 13312 2918.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
