0.0 78304 1 78304.0 78304.0 78304 78304 0.0 CUDA_KERNEL compress(long, float *)
0.0 76032 1 76032.0 76032.0 76032 76032 0.0 CUDA_KERNEL compress(long, float *)
0.0 79008 1 79008.0 79008.0 79008 79008 0.0 CUDA_KERNEL compress(long, float *)
0.0 77632 1 77632.0 77632.0 77632 77632 0.0 CUDA_KERNEL compress(long, float *)
0.0 75680 1 75680.0 75680.0 75680 75680 0.0 CUDA_KERNEL compress(long, float *)
0.0 77728 1 77728.0 77728.0 77728 77728 0.0 CUDA_KERNEL compress(long, float *)
0.0 75168 1 75168.0 75168.0 75168 75168 0.0 CUDA_KERNEL compress(long, float *)
0.0 42656 1 42656.0 42656.0 42656 42656 0.0 CUDA_KERNEL compress(long, float *)
0.0 76448 1 76448.0 76448.0 76448 76448 0.0 CUDA_KERNEL compress(long, float *)
0.0 74688 1 74688.0 74688.0 74688 74688 0.0 CUDA_KERNEL compress(long, float *)
0.0 78176 1 78176.0 78176.0 78176 78176 0.0 CUDA_KERNEL compress(long, float *)
0.0 73440 1 73440.0 73440.0 73440 73440 0.0 CUDA_KERNEL compress(long, float *)
0.0 75360 1 75360.0 75360.0 75360 75360 0.0 CUDA_KERNEL compress(long, float *)
0.0 76960 1 76960.0 76960.0 76960 76960 0.0 CUDA_KERNEL compress(long, float *)
0.0 78528 1 78528.0 78528.0 78528 78528 0.0 CUDA_KERNEL compress(long, float *)
0.0 77024 1 77024.0 77024.0 77024 77024 0.0 CUDA_KERNEL compress(long, float *)
0.0 44128 1 44128.0 44128.0 44128 44128 0.0 CUDA_KERNEL compress(long, float *)
0.0 75616 1 75616.0 75616.0 75616 75616 0.0 CUDA_KERNEL compress(long, float *)
0.0 75584 1 75584.0 75584.0 75584 75584 0.0 CUDA_KERNEL compress(long, float *)
0.0 76544 1 76544.0 76544.0 76544 76544 0.0 CUDA_KERNEL compress(long, float *)
0.0 77664 1 77664.0 77664.0 77664 77664 0.0 CUDA_KERNEL compress(long, float *)
0.0 80096 1 80096.0 80096.0 80096 80096 0.0 CUDA_KERNEL compress(long, float *)
0.0 78784 1 78784.0 78784.0 78784 78784 0.0 CUDA_KERNEL compress(long, float *)
0.0 77504 1 77504.0 77504.0 77504 77504 0.0 CUDA_KERNEL compress(long, float *)
0.0 75392 1 75392.0 75392.0 75392 75392 0.0 CUDA_KERNEL compress(long, float *)
0.0 44320 1 44320.0 44320.0 44320 44320 0.0 CUDA_KERNEL compress(long, float *)
0.0 75808 1 75808.0 75808.0 75808 75808 0.0 CUDA_KERNEL compress(long, float *)
0.0 77056 1 77056.0 77056.0 77056 77056 0.0 CUDA_KERNEL compress(long, float *)
0.0 76096 1 76096.0 76096.0 76096 76096 0.0 CUDA_KERNEL compress(long, float *)
0.0 43168 1 43168.0 43168.0 43168 43168 0.0 CUDA_KERNEL compress(long, float *)
0.0 76384 1 76384.0 76384.0 76384 76384 0.0 CUDA_KERNEL compress(long, float *)
0.0 77696 1 77696.0 77696.0 77696 77696 0.0 CUDA_KERNEL compress(long, float *)
0.0 77632 1 77632.0 77632.0 77632 77632 0.0 CUDA_KERNEL compress(long, float *)
0.0 77952 1 77952.0 77952.0 77952 77952 0.0 CUDA_KERNEL compress(long, float *)
0.0 78048 1 78048.0 78048.0 78048 78048 0.0 CUDA_KERNEL compress(long, float *)
0.0 77696 1 77696.0 77696.0 77696 77696 0.0 CUDA_KERNEL compress(long, float *)
0.0 76352 1 76352.0 76352.0 76352 76352 0.0 CUDA_KERNEL compress(long, float *)
0.0 76064 1 76064.0 76064.0 76064 76064 0.0 CUDA_KERNEL compress(long, float *)
0.0 80736 1 80736.0 80736.0 80736 80736 0.0 CUDA_KERNEL compress(long, float *)
0.0 76032 1 76032.0 76032.0 76032 76032 0.0 CUDA_KERNEL compress(long, float *)
0.0 78080 1 78080.0 78080.0 78080 78080 0.0 CUDA_KERNEL compress(long, float *)
0.0 78176 1 78176.0 78176.0 78176 78176 0.0 CUDA_KERNEL compress(long, float *)
0.0 76320 1 76320.0 76320.0 76320 76320 0.0 CUDA_KERNEL compress(long, float *)
